Date,MSCI ACWI
2006-11,51176.70640909091
2006-12,52450.87804100229
2007-01,53867.51338582678
2007-02,52562.13558398305
2007-03,53207.514116233666
2007-04,54426.15148842336
2007-05,56728.635427042296
2007-06,56364.317260273965
2007-07,54698.477478660534
2007-08,54578.303947464425
2007-09,55602.366753649774
2007-10,56710.88883505226
2007-11,53073.16145247612
2007-12,52642.30760138578
2008-01,47858.41513113651
2008-02,47075.933579481774
2008-03,44513.23797116114
2008-04,47852.23285714285
2008-05,48754.86325767346
2008-06,44040.63996447602
2008-07,43331.37809237077
2008-08,44938.05959959281
2008-09,40527.74602530938
2008-10,36446.53545504429
2008-11,34155.55907912313
2008-12,32382.492519939646
2009-01,32170.840028089882
2009-02,29435.862100601076
2009-03,30286.20987376014
2009-04,33973.34481355933
2009-05,35215.51293800539
2009-06,34942.999476439785
2009-07,38020.4457631914
2009-08,39026.22338845292
2009-09,39794.72575291948
2009-10,38772.1125
2009-11,39784.58704652866
2009-12,42359.893044564764
2010-01,41814.64738651009
2010-02,43599.04461311717
2010-03,46738.782105497434
2010-04,47418.71481787458
2010-05,46483.888583732834
2010-06,45200.38498899845
2010-07,46051.701811482955
2010-08,45680.34123028392
2010-09,46515.50319460727
2010-10,47479.02801472181
2010-11,49511.42788121249
2010-12,51703.83488998653
2011-01,51260.99171779141
2011-02,52233.011797021834
2011-03,50831.991764623075
2011-04,50614.55236877524
2011-05,51210.83036496351
2011-06,50186.553725870064
2011-07,50054.023969144466
2011-08,45807.83028373703
2011-09,44410.170273272604
2011-10,47430.944546818086
2011-11,48034.93481889998
2011-12,49729.662555066076
2012-01,51688.363114754095
2012-02,53236.224235661684
2012-03,53965.10336927225
2012-04,53956.56406841229
2012-05,52382.132338950265
2012-06,54178.41760127085
2012-07,56306.48855421687
2012-08,56066.52160811989
2012-09,56428.521438515076
2012-10,55795.05342876935
2012-11,56565.99148313568
2012-12,56962.27735334244
2013-01,58036.847247232465
2013-02,59915.71172214183
2013-03,62584.28265521282
2013-04,63098.56308139534
2013-05,63298.11783792097
2013-06,61125.978990825686
2013-07,63130.63918644068
2013-08,62028.78936154138
2013-09,63952.03232876713
2013-10,65873.34180778536
2013-11,66981.41234295792
2013-12,67270.44772677834
2014-01,65908.8402189997
2014-02,67639.39972489684
2014-03,68099.40809399477
2014-04,68475.77337184115
2014-05,71241.54571911515
2014-06,72342.6530238688
2014-07,72977.89456611108
2014-08,75700.62638762512
2014-09,76798.10449018517
2014-10,77720.7588789524
2014-11,79313.70684931507
2014-12,80008.27887323944
2015-01,84600.69277310924
2015-02,89865.91601423487
2015-03,92484.87398457105
2015-04,91342.36023183235
2015-05,93333.11250683683
2015-06,89392.61043882383
2015-07,92027.36017142337
2015-08,83859.74482389656
2015-09,80945.38912791215
2015-10,88794.04950530999
2015-11,91747.89936666981
2015-12,87582.02198952879
2016-01,82071.73500000002
2016-02,81792.51331741367
2016-03,84072.7981027668
2016-04,85228.67940015784
2016-05,87314.9824098978
2016-06,87239.08324626193
2016-07,90934.9256366418
2016-08,91129.261013295
2016-09,91488.95287160648
2016-10,91724.96864608076
2016-11,95171.04930888576
2016-12,98132.06411156437
2017-01,98829.91665271966
2017-02,103161.9230725677
2017-03,103574.01382471238
2017-04,102934.9065507777
2017-05,102568.21999821761
2017-06,101351.97570977919
2017-07,101421.80460475825
2017-08,101015.83864693446
2017-09,103170.93664238522
2017-10,106857.69135590308
2017-11,107034.53553886405
2017-12,107489.88993579589
2018-01,109345.9191137513
2018-02,106880.92213852955
2018-03,103748.11351351351
2018-04,106897.01948836824
2018-05,110602.1685614155
2018-06,110434.3170355121
2018-07,113044.23297546012
2018-08,114814.6044116385
2018-09,116108.75774015204
2018-10,109882.17959003357
2018-11,111138.74853420196
2018-12,102534.3121048035
2019-01,110295.89012883008
2019-02,114010.58913805186
2019-03,117376.29644859812
2019-04,121585.67361383491
2019-05,115162.40742534303
2019-06,120286.7223374341
2019-07,123158.90476190476
2019-08,121547.08200434943
2019-09,125836.58681237948
2019-10,126240.72393760087
2019-11,131402.72179930794
2019-12,133032.13053231264
2020-01,133763.153257329
2020-02,123851.38524186939
2020-03,107411.50859802848
2020-04,119847.43482898126
2020-05,122210.75479525862
2020-06,125470.32002143243
2020-07,124906.0234132343
2020-08,131576.3767839196
2020-09,129906.79837717801
2020-10,126888.96395965123
2020-11,139220.51213689483
2020-12,142279.59194849644
2021-01,143242.73780487804
2021-02,146784.8340400957
2021-03,155875.91119829423
2021-04,157946.46972355573
2021-05,158924.11762970246
2021-06,165367.14431167959
2021-07,166456.44759902445
2021-08,171496.6658441778
2021-09,168108.0457552466
2021-10,175730.3196221554
2021-11,175809.52887441695
2021-12,183495.84840190713
2022-01,177177.55127285767
2022-02,171991.69006161264
2022-03,177370.5286730925
2022-04,171928.36127134727
2022-05,169470.1685242229
2022-06,160127.00772118996
2022-07,174541.5679545009
2022-08,171513.96102
2022-09,159178.31109971277
2022-10,165998.16893282227
2022-11,170981.809001542
2022-12,159853.73710856933
2023-01,168710.18798116868
2023-02,167237.88083623693
2023-03,168449.46620689658
2023-04,169300.4023312995
