Date,Silver spot price
1990-11,6746.274386882166
1990-12,7003.111408551379
1991-01,6406.054143538167
1991-02,6057.503481211714
1991-03,6874.667900830328
1991-04,7426.143339046133
1991-05,7906.181434055901
1991-06,8838.044118313175
1991-07,8082.623698147424
1991-08,7413.174260458764
1991-09,7813.304763247683
1991-10,7718.074184669776
1991-11,7383.992839165992
1991-12,6788.963523868214
1992-01,7316.79192512617
1992-02,7456.621435611636
1992-03,7657.816153254785
1992-04,7334.56816112605
1992-05,7331.687643913705
1992-06,7065.7126939248
1992-07,6607.5724369165355
1992-08,6059.683266129627
1992-09,6278.021822324677
1992-10,6535.696490853442
1992-11,6906.51427541618
1992-12,6785.5659089082155
1993-01,6989.721389229169
1993-02,6891.4613885185645
1993-03,7552.495987351012
1993-04,8062.585656278291
1993-05,8862.698808464778
1993-06,8852.380312958107
1993-07,10690.165761866796
1993-08,9843.031840800644
1993-09,7865.028496159697
1993-10,8693.858504298398
1993-11,9057.112815657518
1993-12,10366.377817622375
1994-01,10389.8558708314
1994-02,10728.446055586914
1994-03,11492.577118936113
1994-04,10611.46293717902
1994-05,10806.205533041506
1994-06,10158.685551179804
1994-07,9924.347978795526
1994-08,10057.764343753044
1994-09,10436.52784340698
1994-10,9736.147643147058
1994-11,9381.79318884631
1994-12,9149.220512307205
1995-01,8681.352080063263
1995-02,8206.173725931754
1995-03,9064.251161481581
1995-04,10043.538110737158
1995-05,9264.402265316003
1995-06,9244.36196612826
1995-07,8742.516866803953
1995-08,9404.749631022249
1995-09,9892.251873975778
1995-10,9442.407868187183
1995-11,9145.031826747927
1995-12,9221.711465769455
1996-01,10019.810839810227
1996-02,10082.863608654625
1996-03,10067.307890241866
1996-04,9711.544504145402
1996-05,9935.503763368955
1996-06,9287.457546700289
1996-07,9304.658436918677
1996-08,9368.175123763715
1996-09,8878.226065640489
1996-10,8803.667104513639
1996-11,8542.978708378942
1996-12,8833.315989609808
1997-01,9376.152546774123
1997-02,10366.840465239062
1997-03,10241.615508227751
1997-04,9359.936344241278
1997-05,9719.497200267962
1997-06,9541.342121400294
1997-07,9116.280416251791
1997-08,10107.928618487682
1997-09,10765.656873377384
1997-10,9848.249741783588
1997-11,10613.137755486066
1997-12,12333.4159204364
1998-01,12728.643234739686
1998-02,13376.788145008491
1998-03,13373.397200831825
1998-04,13010.68343710895
1998-05,10219.093931872909
1998-06,11125.990948890212
1998-07,11499.911819097219
1998-08,9919.037333988947
1998-09,10642.033659728748
1998-10,9620.834525703012
1998-11,9644.642433103862
1998-12,9738.777073709183
1999-01,10525.204125686592
1999-02,11584.874974257373
1999-03,10700.666731789695
1999-04,11742.914144177554
1999-05,10796.463048801266
1999-06,11557.070586024052
1999-07,11653.512314156858
1999-08,10986.374135244323
1999-09,11957.597541282492
1999-10,11576.429783617286
1999-11,11735.384508187866
1999-12,12136.51384002299
2000-01,12289.058563641289
2000-02,11997.921316980028
2000-03,11817.001741679689
2000-04,12433.290308356634
2000-05,12048.499926704992
2000-06,12011.97545718491
2000-07,12250.453500382548
2000-08,12611.267032934697
2000-09,12756.725107304128
2000-10,12881.92999682293
2000-11,12196.103366453252
2000-12,11246.946809219853
2001-01,11790.697478656833
2001-02,10957.609655134365
2001-03,11214.728296975081
2001-04,11249.335639816749
2001-05,11936.509363454325
2001-06,11693.732901824746
2001-07,11012.891202891537
2001-08,10490.79912814431
2001-09,11486.320166134114
2001-10,10815.124833487573
2001-11,10643.09307175392
2001-12,11732.068363247641
2002-01,11322.259898621583
2002-02,11727.008297222581
2002-03,12258.176734478388
2002-04,11681.25149897207
2002-05,12294.030125412235
2002-06,11168.01470542325
2002-07,10896.167818237722
2002-08,10619.759044300912
2002-09,10516.439419435628
2002-10,10377.67095377048
2002-11,10208.116660691308
2002-12,10175.60641312192
2003-01,10305.988489252117
2003-02,9748.686590071457
2003-03,9364.132374687677
2003-04,9463.578132362803
2003-05,8823.356115210703
2003-06,9018.254521705752
2003-07,10267.245415035713
2003-08,10686.97328180872
2003-09,10041.650053853737
2003-10,10106.935568909264
2003-11,10203.51148834673
2003-12,10803.563221519615
2004-01,11498.424361633508
2004-02,12120.880188786823
2004-03,14643.029093852147
2004-04,11392.473375912188
2004-05,11561.238812214307
2004-06,11122.24450130016
2004-07,12198.446727259476
2004-08,12730.334424839624
2004-09,12286.361502972331
2004-10,12858.95847222951
2004-11,13342.996765926253
2004-12,11445.0261029353
2005-01,11792.833253921974
2005-02,12682.41625007202
2005-03,12683.203665295501
2005-04,12322.842114034853
2005-05,13226.68931386324
2005-06,13431.364356409858
2005-07,13515.375009924537
2005-08,12639.537647092367
2005-09,14303.959559578348
2005-10,14773.674738432122
2005-11,15957.450816949075
2005-12,17121.785203850606
2006-01,18706.934542437008
2006-02,18675.580730600792
2006-03,22215.374493963795
2006-04,22907.78041392098
2006-05,23340.68481793363
2006-06,19252.87765141677
2006-07,20497.32023919259
2006-08,22428.154637509673
2006-09,20869.31521664695
2006-10,21765.06361320758
2006-11,23706.753635004756
2006-12,22405.9754413085
2007-01,23591.876479257902
2007-02,24777.863806251964
2007-03,22929.90077602696
2007-04,22698.39464849872
2007-05,22529.764718897524
2007-06,21240.40866224047
2007-07,21578.240657589
2007-08,19945.677178398044
2007-09,22021.503621589898
2007-10,22673.849804220565
2007-11,22052.053636403743
2007-12,22935.539753922207
2008-01,25751.61112300626
2008-02,29590.97237600751
2008-03,26025.81138038116
2008-04,24243.90117215229
2008-05,24854.442903538933
2008-06,25611.688069174787
2008-07,25613.600109564642
2008-08,21361.32629789629
2008-09,20727.0637506196
2008-10,16640.23062028061
2008-11,18189.23310332591
2008-12,17735.18559869801
2009-01,22328.766452248587
2009-02,23898.918637662835
2009-03,22534.59824788174
2009-04,21763.500066152646
2009-05,25182.226796932824
2009-06,22560.961637805252
2009-07,22053.00616043029
2009-08,23304.48391392458
2009-09,25697.789077435424
2009-10,25610.656620746307
2009-11,27621.07236931938
2009-12,26978.008595626812
2010-01,26681.42169740863
2010-02,27173.47059793303
2010-03,29698.895323449313
2010-04,31988.835171529765
2010-05,34441.58575723572
2010-06,34934.099326467054
2010-07,31007.936759260916
2010-08,34041.804001452336
2010-09,36990.75875117044
2010-10,39552.825844192084
2010-11,47745.58088082693
2010-12,52436.71174239957
2011-01,46361.34397269504
2011-02,55376.72865226154
2011-03,60975.1454480305
2011-04,74966.98969488354
2011-05,61460.990114716675
2011-06,55426.57710398578
2011-07,63571.79395258252
2011-08,65458.73180891102
2011-09,51584.22969063953
2011-10,55941.56613555292
2011-11,53445.31953039901
2011-12,49819.595400948674
2012-01,58333.17450852798
2012-02,63351.478928859455
2012-03,55543.14391991015
2012-04,54010.75047685756
2012-05,51825.0221620121
2012-06,49202.01059595625
2012-07,52513.28912790905
2012-08,55359.85244254735
2012-09,61300.58715609059
2012-10,56830.831181145375
2012-11,60384.480592376094
2012-12,51925.44979943247
2013-01,54072.63875329336
2013-02,50440.20465654086
2013-03,51162.68771910574
2013-04,42733.01553497887
2013-05,39696.08982738487
2013-06,32983.28175544616
2013-07,34359.79345360917
2013-08,40858.596724836716
2013-09,36721.85484827539
2013-10,37227.741172884125
2013-11,33494.784271507
2013-12,32344.375716100894
2014-01,32680.900217100458
2014-02,35224.05887653547
2014-03,33131.16523268068
2014-04,31843.23459947944
2014-05,31941.19325654103
2014-06,34953.86953978545
2014-07,35375.02514277241
2014-08,33771.23425608187
2014-09,31104.679675336432
2014-10,29589.10819477724
2014-11,29264.820584495166
2014-12,30089.18172772038
2015-01,34236.5277477524
2015-02,33640.81143045604
2015-03,35293.61149907844
2015-04,33695.40535899652
2015-05,34760.73033353182
2015-06,32097.28502747311
2015-07,30369.20700044601
2015-08,29452.884587403743
2015-09,29913.22302673482
2015-10,32453.0522403683
2015-11,30445.138772025482
2015-12,29037.534606648387
2016-01,29494.425189492453
2016-02,30988.73359113785
2016-03,30901.76039548887
2016-04,35817.94378274653
2016-05,32936.30085627326
2016-06,37829.56733041273
2016-07,41250.22512988935
2016-08,38508.47402399185
2016-09,39658.63675683625
2016-10,37114.82677429654
2016-11,35855.68516773335
2016-12,35242.29091548331
2017-01,36774.30712635947
2017-02,39459.64532271428
2017-03,38641.97691393191
2017-04,36436.65742636363
2017-05,35287.86845186308
2017-06,33013.51421444503
2017-07,32692.415464608413
2017-08,33543.46046764443
2017-09,32667.410632327763
2017-10,33060.358516630185
2017-11,31989.004809439222
2017-12,32167.583141320058
2018-01,31639.654562167194
2018-02,30789.583763198545
2018-03,30225.142930673574
2018-04,31020.074494629338
2018-05,32360.04951129888
2018-06,31453.529903871367
2018-07,30075.007582527276
2018-08,28772.827418856763
2018-09,28267.62129023883
2018-10,28982.736073151995
2018-11,28666.672983145138
2018-12,30896.149502940578
2019-01,32008.584942256417
2019-02,31689.483182372554
2019-03,30744.24205977787
2019-04,30556.332831523974
2019-05,29703.981540350862
2019-06,30593.721622826262
2019-07,33796.48452191164
2019-08,38107.623228089156
2019-09,36248.23678242873
2019-10,37027.70311083523
2019-11,35337.217117615204
2019-12,36743.65774622363
2020-01,37017.57700743742
2020-02,35811.770491355324
2020-03,29084.32661660821
2020-04,32253.325662498286
2020-05,36132.377376023
2020-06,36453.229467536956
2020-07,46471.95736596457
2020-08,52397.78447126849
2020-09,46353.59560635827
2020-10,46197.67512287947
2020-11,42293.8122248258
2020-12,49371.91145472145
2021-01,51674.06209118448
2021-02,50360.34262886596
2021-03,46822.900232979875
2021-04,48989.32407324241
2021-05,51801.86289222048
2021-06,49593.80430023025
2021-07,49035.58678256579
2021-08,46478.610565235635
2021-09,42523.79604280777
2021-10,47164.21250398188
2021-11,46029.69734416736
2021-12,46624.398483112396
2022-01,46125.1097137073
2022-02,49737.00628922088
2022-03,51134.27434211769
2022-04,50882.62948749585
2022-05,46484.40157944348
2022-06,44959.26191515409
2022-07,45007.41570027555
2022-08,41049.075734927756
2022-09,44632.880118600086
2022-10,44220.11109191262
2022-11,47531.192868138074
2022-12,51353.87058477403
2023-01,48556.18875889524
2023-02,44213.96521910576
2023-03,50240.725277620295
2023-04,51588.911081499784
