Date,S&P 500 Minimum Volatility
2006-01,61664.291906663035
2006-02,63616.72093945579
2006-03,63041.964234829815
2006-04,61931.37350867445
2006-05,59365.842406064854
2006-06,61273.768325326375
2006-07,61825.080663531015
2006-08,62396.11935349483
2006-09,64533.60885245213
2006-10,66498.37855309431
2006-11,65214.790048001196
2006-12,66206.9378987087
2007-01,68696.7634101492
2007-02,66829.00842362842
2007-03,66896.50533526279
2007-04,67559.56191341279
2007-05,70591.30068679167
2007-06,69001.41877228618
2007-07,65273.29944139479
2007-08,66589.88739344425
2007-09,65837.72257963145
2007-10,64729.30639653345
2007-11,61214.207520620075
2007-12,60633.432421475976
2008-01,57747.91810969968
2008-02,55040.29204139704
2008-03,52877.19353047397
2008-04,55642.580966383146
2008-05,56552.19132506459
2008-06,50498.33154768217
2008-07,52013.84543815674
2008-08,56218.0934057139
2008-09,56144.0239499901
2008-10,53032.65514077973
2008-11,50063.352858884384
2008-12,46181.25952872119
2009-01,45988.86093453316
2009-02,42091.80499801628
2009-03,42363.293988545796
2009-04,44196.39038666699
2009-05,42825.60657752039
2009-06,43369.20648395156
2009-07,45242.06233678264
2009-08,45795.93123108739
2009-09,45657.29308216817
2009-10,44833.579007150074
2009-11,46334.65753210541
2009-12,49345.44772776521
2010-01,49755.043236266574
2010-02,52365.05560111292
2010-03,54804.05553425715
2010-04,56044.71809717676
2010-05,56860.13486248389
2010-06,55645.69222784318
2010-07,55183.77267283945
2010-08,56299.92569340462
2010-09,55866.74800678528
2010-10,56473.37257628934
2010-11,59858.24888059536
2010-12,61544.194823566184
2011-01,59605.405572415955
2011-02,60655.64662903971
2011-03,59836.97913393964
2011-04,60042.315047020405
2011-05,62712.33843347812
2011-06,61654.83148879783
2011-07,60608.36845564668
2011-08,59075.49959868438
2011-09,60874.69639983743
2011-10,62921.23729516252
2011-11,66160.7413526117
2011-12,70042.97269038923
2012-01,70603.8895278747
2012-02,71063.72062508222
2012-03,73179.49176802844
2012-04,74452.10047190999
2012-05,76497.3223225102
2012-06,78287.19549640268
2012-07,80954.82345003223
2012-08,79462.4147027771
2012-09,79681.71539215313
2012-10,78660.58849419317
2012-11,79618.47602337979
2012-12,78525.00809327234
2013-01,80686.99277489001
2013-02,84562.62787407363
2013-03,90700.35080195134
2013-04,90915.75544119299
2013-05,91589.78511502965
2013-06,90388.27177027478
2013-07,93237.33659103225
2013-08,90579.39628614028
2013-09,91261.77599800895
2013-10,94117.17941044814
2013-11,96108.6127855075
2013-12,96229.86678586518
2014-01,94876.4410486913
2014-02,96830.78842254463
2014-03,98613.29994243506
2014-04,99433.14553780222
2014-05,102459.76524309236
2014-06,103559.49538323586
2014-07,104349.06708728275
2014-08,109883.36697325853
2014-09,114306.21592460127
2014-10,118841.65911748605
2014-11,122594.94020112374
2014-12,126046.83154139371
2015-01,134348.50702948216
2015-02,140443.59193841234
2015-03,144816.11302910233
2015-04,139112.13153155724
2015-05,143864.09742822958
2015-06,138209.8098883588
2015-07,146335.95519494428
2015-08,136366.52177233604
2015-09,135720.0224436023
2015-10,147215.80682356202
2015-11,151961.33424294196
2015-12,147660.4478049926
2016-01,146086.58285018607
2016-02,149931.1040522553
2016-03,151416.1400985369
2016-04,150789.1884868773
2016-05,155866.67134968893
2016-06,164574.37076526735
2016-07,167435.5692764166
2016-08,163862.1429508949
2016-09,163325.50408960044
2016-10,163168.7171840379
2016-11,169149.5171483052
2016-12,174096.90708841
2017-01,171396.4941130295
2017-02,180731.41021675512
2017-03,178414.90847569573
2017-04,175422.4572507299
2017-05,173667.00876623043
2017-06,170359.5638980591
2017-07,168555.972450859
2017-08,166101.54500005557
2017-09,168405.7593758145
2017-10,174913.25643346037
2017-11,179879.79111616703
2017-12,179454.39702786694
2018-01,178071.51664908885
2018-02,175625.18571207862
2018-03,171388.77416122315
2018-04,175182.54406604986
2018-05,183514.43716518843
2018-06,186120.97090578888
2018-07,190649.51453161027
2018-08,198081.09961601047
2018-09,200645.28464245686
2018-10,194318.6110724092
2018-11,197740.6523776802
2018-12,178778.78511949268
2019-01,191242.0278076246
2019-02,199403.1373343587
2019-03,207281.2601344624
2019-04,215740.4034564305
2019-05,207448.4955589627
2019-06,215606.49535496935
2019-07,223694.7453306247
2019-08,226953.66490478904
2019-09,233862.15107359047
2019-10,229116.09088231385
2019-11,238326.9551148743
2019-12,241178.23946610605
2020-01,245939.21912771574
2020-02,227399.45005900014
2020-03,199387.309701576
2020-04,223179.55853177622
2020-05,227512.93236635084
2020-06,227214.51943645548
2020-07,225041.46915023617
2020-08,233149.67559383318
2020-09,233388.33197673332
2020-10,227286.90130897998
2020-11,239243.22873188532
2020-12,239900.86764845828
2021-01,237166.20518166423
2021-02,236669.60850059707
2021-03,260013.63579578974
2021-04,263805.7619498063
2021-05,262177.82240898855
2021-06,273721.9527919029
2021-07,281476.6321435287
2021-08,289142.57801867486
2021-09,280564.8285215631
2021-10,295907.5138502819
2021-11,301679.8418292096
2021-12,323454.64233802556
2022-01,312024.72608437616
2022-02,301804.5665993293
2022-03,319389.9400375707
2022-04,319849.9050232524
2022-05,314949.00923110807
2022-06,306914.03336192423
2022-07,330517.5807951313
2022-08,325152.0012899899
2022-09,307712.9906612869
2022-10,327151.5172782949
2022-11,326931.8517732705
2022-12,306840.855250621
2023-01,311341.21809021756
2023-02,303055.53520858736
2023-03,306567.1995362359
2023-04,311888.72541511245
