Date,Dow Jones US Select Dividend
2000-01,40457.628812595445
2000-02,36477.815494922135
2000-03,41855.19840187848
2000-04,43258.6734172243
2000-05,44106.11611234131
2000-06,38935.11551509258
2000-07,42808.682786668476
2000-08,48832.14774855975
2000-09,51323.08411844115
2000-10,53642.82457318807
2000-11,52838.411263300615
2000-12,55152.42498781036
2001-01,56404.7400206454
2001-02,57298.98289238969
2001-03,59577.764803721795
2001-04,62181.637258836156
2001-05,66869.14039610921
2001-06,68990.83504682356
2001-07,67740.61704193555
2001-08,63161.23160146442
2001-09,58818.488725589705
2001-10,58405.813337869535
2001-11,63503.31804874594
2001-12,65853.72604494555
2002-01,67245.22227097095
2002-02,69661.52230665505
2002-03,74017.08482295768
2002-04,72384.48940047518
2002-05,70301.86454505935
2002-06,61687.23332894631
2002-07,57702.699684220424
2002-08,58682.7368838255
2002-09,52146.89904856586
2002-10,53779.773067300834
2002-11,56617.704499765285
2002-12,53158.918974566506
2003-01,50119.255744255745
2003-02,49214.09576849803
2003-03,47706.05510378442
2003-04,49813.04571536317
2003-05,51173.4546153794
2003-06,53379.45627602847
2003-07,55175.36513595119
2003-08,58084.52965698082
2003-09,53611.13453331247
2003-10,57665.29356257983
2003-11,57229.1283981912
2003-12,57449.63927944409
2004-01,59539.55359605005
2004-02,61392.30324389314
2004-03,61539.739284162235
2004-04,61153.034409409476
2004-05,61115.2294314894
2004-06,62868.38759938039
2004-07,62886.43219530878
2004-08,64508.74022854938
2004-09,64089.41361889256
2004-10,63475.32345177002
2004-11,63647.49275284456
2004-12,62931.73289939791
2005-01,63988.32227961161
2005-02,64373.517211558465
2005-03,65119.370655235856
2005-04,64765.41548387888
2005-05,70004.23065984235
2005-06,72460.79137678325
2005-07,74986.9118509978
2005-08,73463.05996234351
2005-09,74198.48429986858
2005-10,73347.44111993515
2005-11,75842.84028819599
2005-12,75412.84003192153
2006-01,74755.66770535806
2006-02,77244.74284525543
2006-03,75723.39181264726
2006-04,74928.28342730025
2006-05,72142.41570622752
2006-06,73485.01067501474
2006-07,75432.91598624471
2006-08,75855.9418880896
2006-09,78033.6062042223
2006-10,80433.05876337846
2006-11,78815.0941943432
2006-12,80753.53486762817
2007-01,82928.07359786838
2007-02,81204.1177977338
2007-03,81686.57507799694
2007-04,82322.4696304606
2007-05,85069.96963685143
2007-06,82046.22459297861
2007-07,76099.38777999528
2007-08,77853.66697766169
2007-09,75816.30829728906
2007-10,74380.2407577345
2007-11,70560.02374135057
2007-12,68515.76649221539
2008-01,68131.51434396427
2008-02,60875.4838890058
2008-03,58292.99106397403
2008-04,60717.4926802256
2008-05,60046.838359742775
2008-06,50287.29018408309
2008-07,53043.28655889568
2008-08,58586.3409985214
2008-09,61670.30225443024
2008-10,60648.30384859285
2008-11,55622.38977880493
2008-12,50027.20533166563
2009-01,45633.59271407634
2009-02,39274.02467001933
2009-03,40238.205554981345
2009-04,44775.071060111586
2009-05,43245.96742701069
2009-06,43082.81299175904
2009-07,47261.86555545606
2009-08,48373.72810704601
2009-09,49170.24505651213
2009-10,47911.84549880201
2009-11,49755.006561931594
2009-12,53707.77421698233
2010-01,53851.87532551628
2010-02,57264.518378676854
2010-03,60810.39292818001
2010-04,63556.355545057406
2010-05,64031.17459377418
2010-06,62238.22529243936
2010-07,62930.11603206368
2010-08,62654.031745240085
2010-09,62409.04738515473
2010-10,63105.13286331504
2010-11,66858.38302535184
2010-12,68510.56169382637
2011-01,67046.07190241454
2011-02,68279.05975890464
2011-03,68096.8484173885
2011-04,67031.41764315618
2011-05,69878.05502744071
2011-06,68650.81359728175
2011-07,67480.16785945928
2011-08,66243.9557734277
2011-09,67636.64665271071
2011-10,70539.2512295746
2011-11,74725.21341542188
2011-12,79535.49751692876
2012-01,78107.58023160018
2012-02,78942.86825697709
2012-03,80948.4415736613
2012-04,82920.73401950278
2012-05,85545.98250464257
2012-06,87085.32894049349
2012-07,91087.1918703244
2012-08,88494.30070572412
2012-09,87880.94080840978
2012-10,87821.834134464
2012-11,87660.38881467536
2012-12,86452.3939196221
2013-01,88341.76367511839
2013-02,92636.44745906052
2013-03,99568.93779361226
2013-04,100709.1488948495
2013-05,99899.01980695527
2013-06,99286.56644512246
2013-07,103257.49121917141
2013-08,99267.56924355518
2013-09,100506.58109979134
2013-10,104781.2588440427
2013-11,106172.44721144062
2013-12,106746.62863500575
2014-01,106221.88830637433
2014-02,107590.75107562199
2014-03,110769.07766997446
2014-04,112603.45192399815
2014-05,115425.38410972495
2014-06,118416.97384663126
2014-07,115774.75998460212
2014-08,122273.78824443348
2014-09,124418.9033154131
2014-10,132370.3368132846
2014-11,134060.65925548074
2014-12,139877.22465435424
2015-01,149580.48723962228
2015-02,151363.8172132679
2015-03,156335.8461491066
2015-04,150772.38301832692
2015-05,154282.7680028742
2015-06,146352.9211329652
2015-07,151669.505719561
2015-08,142832.64150995642
2015-09,142868.87440864052
2015-10,153537.1468159136
2015-11,160101.96521463714
2015-12,153430.63181202803
2016-01,151733.16124868914
2016-02,156584.9358449109
2016-03,160846.11315819426
2016-04,161403.5475522727
2016-05,166734.885667692
2016-06,173853.66898654748
2016-07,177220.27447315888
2016-08,175160.5506774311
2016-09,175301.01667341977
2016-10,175372.1142020223
2016-11,187348.1183684164
2016-12,193301.17653575123
2017-01,192331.90240721623
2017-02,200755.3888849251
2017-03,198064.82610612863
2017-04,194653.19731384414
2017-05,191114.25595440425
2017-06,189415.09457488058
2017-07,185578.51771505878
2017-08,182779.46956068103
2017-09,187608.26281232262
2017-10,192690.09336711094
2017-11,196947.3164079203
2017-12,196123.42848404462
2018-01,192801.78766962868
2018-02,188407.75232058222
2018-03,186048.65582538908
2018-04,192156.5812569603
2018-05,201136.4458075994
2018-06,203826.77337431302
2018-07,207151.3182736176
2018-08,210865.1545191047
2018-09,211592.37632953867
2018-10,208039.72604913008
2018-11,211723.42464793957
2018-12,193212.83857589154
2019-01,205745.77316531114
2019-02,213072.52503445488
2019-03,218724.75327540052
2019-04,225599.87231136858
2019-05,210206.26914931578
2019-06,220913.91377782455
2019-07,227284.8953341637
2019-08,224607.24605617995
2019-09,239142.2215001655
2019-10,233632.25707099223
2019-11,241173.33214321962
2019-12,242432.12832866912
2020-01,242132.3733623691
2020-02,216357.11176189093
2020-03,175627.75098133922
2020-04,193868.06958332614
2020-05,193766.86960902665
2020-06,190489.4557984007
2020-07,185142.610083455
2020-08,187407.0238260756
2020-09,186421.03629499834
2020-10,189666.6396037526
2020-11,209501.36826953257
2020-12,211814.82960955947
2021-01,215610.45772604624
2021-02,234584.38162419395
2021-03,265358.3478911003
2021-04,267618.7703244842
2021-05,270850.59860548686
2021-06,270521.58917721675
2021-07,268014.22254402767
2021-08,277042.617683145
2021-09,275496.8117528525
2021-10,281960.8040325272
2021-11,282026.1984360565
2021-12,303486.3951394596
2022-01,312086.9962033227
2022-02,310368.3946936256
2022-03,325945.8091052581
2022-04,331330.7440023057
2022-05,343268.6926383735
2022-06,322438.6496672506
2022-07,341486.06988737616
2022-08,342434.88650479954
2022-09,317103.2851111708
2022-10,344013.9827018286
2022-11,349574.3695980865
2022-12,329706.67174321203
2023-01,338071.014268623
2023-02,332496.3335325401
2023-03,317479.6674390077
2023-04,315364.7486488005
