Date,MSCI Emerging Markets Small Cap
2015-11,29352.624955551088
2015-12,28556.7804615765
2016-01,26230.0879578363
2016-02,26214.79013642752
2016-03,27580.337630084225
2016-04,27951.488852137503
2016-05,27575.439077879277
2016-06,28415.14178387562
2016-07,29622.034888902308
2016-08,30130.631069474035
2016-09,30451.297707807156
2016-10,30591.218538698784
2016-11,30017.987107400964
2016-12,30249.11046084487
2017-01,31036.699436101546
2017-02,33140.30043649893
2017-03,33717.17745288574
2017-04,33356.579487243805
2017-05,32723.988332688223
2017-06,32437.567925634798
2017-07,32719.294324593102
2017-08,33096.78523275931
2017-09,33167.702469545016
2017-10,34830.83843143692
2017-11,34814.91996215422
2017-12,35684.25545626081
2018-01,36352.35280315412
2018-02,35556.71476510673
2018-03,34805.227513592625
2018-04,35468.77062653363
2018-05,35867.3233785387
2018-06,33644.69049295336
2018-07,33861.246627749664
2018-08,33406.271681738384
2018-09,32511.068399968084
2018-10,29749.704945160727
2018-11,31264.835967073202
2018-12,30538.2321786944
2019-01,32076.87414205751
2019-02,32700.16330047678
2019-03,33546.2587254809
2019-04,33673.95955874885
2019-05,32221.218024578895
2019-06,32823.50935100281
2019-07,33032.056378858666
2019-08,31724.671960730593
2019-09,32788.94337311893
2019-10,33236.90092790023
2019-11,33561.96433215361
2019-12,34835.34876094438
2020-01,33998.38310721644
2020-02,31817.72497477441
2020-03,24525.418383120203
2020-04,28156.578949636616
2020-05,28153.313416822763
2020-06,30531.286313986755
2020-07,31553.730373147242
2020-08,32608.26037442703
2020-09,32715.951996415883
2020-10,32566.378105024825
2020-11,36284.88463928094
2020-12,38179.47608028133
2021-01,38638.20703837187
2021-02,40995.353999854015
2021-03,43039.49555807832
2021-04,44301.4317792816
2021-05,44985.53546793168
2021-06,47289.213112085665
2021-07,46663.03673809594
2021-08,47465.79223702423
2021-09,47565.42423397483
2021-10,47413.41020361758
2021-11,47169.16518526047
2021-12,49345.408016079426
2022-01,47886.42069070973
2022-02,46521.980364031595
2022-03,48198.595079546074
2022-04,48236.66738340516
2022-05,46694.729289759984
2022-06,43124.3657519394
2022-07,45199.03831503302
2022-08,47264.882106460136
2022-09,43641.380081529474
2022-10,42884.18946362239
2022-11,44844.96920168618
2022-12,43208.589910445015
2023-01,45069.47378789261
2023-02,44674.066040208236
2023-03,44048.05093829084
2023-04,43927.05118681479
2023-05,45669.10368824781
2023-06,46965.01401991384
