Date,Dow Jones Industrial Average
2015-11,145105.06314976586
2015-12,138858.99904289268
2016-01,130982.53737336259
2016-02,132349.1671086138
2016-03,135705.20770539794
2016-04,136326.01772139853
2016-05,140057.21638140423
2016-06,142043.55098845946
2016-07,146067.9233358088
2016-08,146197.52262121075
2016-09,145218.04999895574
2016-10,146899.87248969194
2016-11,160086.0275300535
2016-12,167076.01379716015
2017-01,164767.03105393765
2017-02,175865.2824128014
2017-03,173281.75553371638
2017-04,171947.06865070388
2017-05,168681.4613785386
2017-06,168749.67649116015
2017-07,168613.6340394952
2017-08,168308.21160858712
2017-09,172226.6681148294
2017-10,182471.7623044221
2017-11,186815.99089786445
2017-12,188123.55865154605
2018-01,191763.4118155033
2018-02,187834.7508659908
2018-03,179517.3918120278
2018-04,183742.49306407437
2018-05,192385.62575956708
2018-06,192124.81425714304
2018-07,200074.6743383438
2018-08,206686.28532181474
2018-09,212119.4394283113
2018-10,206144.37504703374
2018-11,209724.92766712254
2018-12,190188.89997920566
2019-01,203383.76345628547
2019-02,212917.2727399848
2019-03,216724.2752159931
2019-04,222827.54750813276
2019-05,210006.56852278562
2019-06,220825.58951766742
2019-07,227874.05600577267
2019-08,227200.3379450273
2019-09,234995.83580111535
2019-10,230755.79352477178
2019-11,243994.4442796663
2019-12,242973.9345545364
2020-01,244785.85670641204
2020-02,222417.72597565842
2020-03,192497.99306160197
2020-04,215668.81669071605
2020-05,220443.3694594755
2020-06,223204.4768429171
2020-07,216244.03982697157
2020-08,231570.58770808644
2020-09,231022.16712217778
2020-10,220778.1059694222
2020-11,241759.00426590597
2020-12,244071.1450528926
2021-01,241969.4267819768
2021-02,250586.87644023454
2021-03,276607.9610699239
2021-04,275909.5299552257
2021-05,279255.91567188257
2021-06,286760.2664911939
2021-07,290426.30990834587
2021-08,296202.5353625363
2021-09,290016.51990179624
2021-10,305460.555446763
2021-11,302078.8204948062
2021-12,319822.795530808
2022-01,314172.6054529635
2022-02,302658.6926297017
2022-03,312918.5495061838
2022-04,313680.3587518158
2022-05,309619.95092219237
2022-06,298385.3658658433
2022-07,324634.6276516471
2022-08,318743.47651349375
2022-09,298333.28821382724
2022-10,334599.17636153573
2022-11,339022.11486032844
2022-12,316307.4345788375
2023-01,320549.2500161186
2023-02,314118.1307904521
2023-03,313111.8699689438
2023-04,318066.60130800627
