Date,MSCI Europe Mid Cap
2020-03,54253.897551281276
2020-04,59556.45408375817
2020-05,62063.336160636165
2020-06,63703.46431333359
2020-07,63619.07797463227
2020-08,67175.91382514495
2020-09,66656.76526099644
2020-10,63928.35060921223
2020-11,72869.93823030677
2020-12,75524.14971195864
2021-01,75660.68827209606
2021-02,77061.35823602192
2021-03,81407.7284406009
2021-04,83374.4130058368
2021-05,85766.79708367804
2021-06,86736.31791662175
2021-07,89358.29101634289
2021-08,90773.3294686847
2021-09,87258.48250922564
2021-10,89787.892196184
2021-11,87689.5425039251
2021-12,92918.08116676542
2022-01,86860.46588857983
2022-02,83795.43900760356
2022-03,83924.56687002601
2022-04,82593.32872866133
2022-05,80700.63810191142
2022-06,73431.52851416533
2022-07,79439.28748090053
2022-08,74568.03358460125
2022-09,68032.96255297076
2022-10,72263.22265177246
2022-11,76596.83489991828
2022-12,75158.1024468405
2023-01,81809.01239142907
2023-02,82900.49991579218
2023-03,81157.96416477833
2023-04,83306.37651188867
