Date,MSCI AC Far East ex-Japan
2002-08,35358.74803213669
2002-09,31253.583286004054
2002-10,32911.56076642336
2002-11,34353.56409791478
2002-12,30284.65277009631
2003-01,29711.161464497043
2003-02,28498.728046744574
2003-03,26916.72468104636
2003-04,27309.60792381637
2003-05,27943.80400947386
2003-06,30594.286846941453
2003-07,33550.20604347058
2003-08,37302.3753637778
2003-09,35143.52023686921
2003-10,38218.41171915333
2003-11,36475.57173586793
2003-12,36451.23463182898
2004-01,39696.10072674419
2004-02,41064.257819294566
2004-03,40897.55409031414
2004-04,39412.01473173181
2004-05,37704.83271028038
2004-06,37476.97337721102
2004-07,36836.91971093945
2004-08,38544.704632152585
2004-09,38943.197421226534
2004-10,38100.292910418466
2004-11,39643.616186536296
2004-12,39746.52893326481
2005-01,41905.85426927502
2005-02,43625.803258655804
2005-03,42522.867047207656
2005-04,42128.33706876591
2005-05,45321.04345146378
2005-06,47302.64449222626
2005-07,50436.020838501616
2005-08,48406.892523364484
2005-09,51522.12391629298
2005-10,48369.0545953589
2005-11,52947.458373693604
2005-12,55915.727320505204
2006-01,58395.00420861528
2006-02,59451.102719999995
2006-03,58964.56640779909
2006-04,60999.8096195262
2006-05,55432.150948088296
2006-06,55778.828018563676
2006-07,55643.20712775124
2006-08,56930.39621819315
2006-09,59534.471232227486
2006-10,60922.69097353497
2006-11,63257.346
2006-12,66212.12706150342
2007-01,66282.48036127836
2007-02,65509.42563015669
2007-03,66432.0747860039
2007-04,67417.03342888644
2007-05,72035.15010778265
2007-06,75719.08109589042
2007-07,80138.0303348654
2007-08,79303.3243341846
2007-09,85636.58533041822
2007-10,92441.03049768119
2007-11,82039.25702865659
2007-12,81105.59853270836
2008-01,69232.69755211835
2008-02,72621.87917188634
2008-03,65984.78397419682
2008-04,72396.02571428572
2008-05,70787.33113231882
2008-06,61950.01537680792
2008-07,61602.47013003651
2008-08,60390.538717339674
2008-09,52040.293826469984
2008-10,44587.17295602414
2008-11,42268.95350043215
2008-12,42563.42974779048
2009-01,43562.00716292135
2009-02,41465.66882315723
2009-03,44903.44355275023
2009-04,52436.746169491526
2009-05,56283.19326145552
2009-06,56006.4392670157
2009-07,63602.77388598105
2009-08,60814.56364910313
2009-09,64366.88740012292
2009-10,63621.319500000005
2009-11,63939.972149370966
2009-12,69649.08817159515
2010-01,67454.89869683518
2010-02,69719.25050847456
2010-03,75098.98811484531
2010-04,77619.34138941045
2010-05,76916.61977736247
2010-06,78209.68095509738
2010-07,78496.17706478355
2010-08,79793.54929022082
2010-09,82076.22867819462
2010-10,83071.22247239662
2010-11,87843.95507001078
2010-12,89954.57943421643
2011-01,88293.53453111305
2011-02,83818.34342923232
2011-03,86311.55610614485
2011-04,86118.64485868103
2011-05,88072.10389989574
2011-06,85274.19670656612
2011-07,87846.09122019635
2011-08,78389.47208304498
2011-09,72247.84572317264
2011-10,78325.01538461538
2011-11,75633.53703979729
2011-12,79414.9744493392
2012-01,85647.58483606558
2012-02,89104.66168266011
2012-03,87072.32938005392
2012-04,88465.47956712577
2012-05,85431.69099411432
2012-06,86403.90409849088
2012-07,91206.76445783133
2012-08,88290.52311474108
2012-09,91558.10018561487
2012-10,91201.6135303625
2012-11,93618.94199907592
2012-12,95321.141473397
2013-01,94074.13182287822
2013-02,97713.9586107091
2013-03,98011.92510737994
2013-04,97485.2659883721
2013-05,96914.98759034292
2013-06,90989.03201834863
2013-07,91744.5026440678
2013-08,91431.00612013601
2013-09,94218.18904109589
2013-10,96892.29302837035
2013-11,97573.20806700464
2013-12,94891.51194257125
2014-01,91895.41518200652
2014-02,93053.02530949106
2014-03,93539.10587467362
2014-04,93963.48758122743
2014-05,99030.77871683693
2014-06,100846.48752379559
2014-07,107164.88072352191
2014-08,109314.22916287533
2014-09,107372.15161726136
2014-10,109772.3385819227
2014-11,110331.06027397263
2014-12,111551.87323943662
2015-01,122184.91966386556
2015-02,125234.63407473308
2015-03,132004.07223719676
2015-04,137520.03884083818
2015-05,136284.73350957158
2015-06,128257.09430690858
2015-07,121556.74472508434
2015-08,107099.66487739635
2015-09,105078.4635901098
2015-10,116161.92820186984
2015-11,117071.44922960582
2015-12,112930.23769633508
2016-01,103897.1039010989
2016-02,103993.49608743572
2016-03,110446.24600790514
2016-04,109132.45493291237
2016-05,109710.88337816032
2016-06,113453.90385516122
2016-07,118788.4144335463
2016-08,122915.21782249371
2016-09,124976.41865424244
2016-10,125360.37807418234
2016-11,125963.75813822287
2016-12,124301.27079024761
2017-01,129631.90577405858
2017-02,135668.266264037
2017-03,138482.6489570667
2017-04,138447.37926806958
2017-05,141138.84345423756
2017-06,141478.0847003155
2017-07,144813.14428242517
2017-08,145962.09757293868
2017-09,146627.5551075724
2017-10,155358.7836913559
2017-11,153787.1622246603
2017-12,155751.18871008087
2018-01,161995.68112707714
2018-02,157310.43777632224
2018-03,153950.42702702704
2018-04,157614.95128735824
2018-05,161022.06887768186
2018-06,153308.6697375193
2018-07,152765.56595092022
2018-08,152005.91705433012
2018-09,152293.8851589496
2018-10,138218.17289273723
2018-11,144265.96026058635
2018-12,138900.02934497816
2019-01,150107.52425139275
2019-02,154558.36797477226
2019-03,158502.86643524704
2019-04,162020.9451773935
2019-05,147479.6408393866
2019-06,155395.01182776803
2019-07,156546.92235673932
2019-08,151040.55646973543
2019-09,155418.75450454588
2019-10,158667.81850457235
2019-11,161694.31453287194
2019-12,169653.93743991456
2020-01,164057.0719869707
2020-02,161307.66329598252
2020-03,144545.84737130342
2020-04,157672.1442809857
2020-05,152473.08669181034
2020-06,164651.38906947672
2020-07,168671.2623058744
2020-08,173363.2973366834
2020-09,173811.24993167064
2020-10,179117.3808172337
2020-11,188857.67559265444
2020-12,196296.01285958764
2021-01,208131.81585365854
2021-02,210079.78500123753
2021-03,210491.3306609808
2021-04,210198.83866909452
2021-05,208882.88955003687
2021-06,214432.6992258499
2021-07,196056.54903708686
2021-08,199173.78891330067
2021-09,193626.08969686503
2021-10,195815.13526835552
2021-11,192652.6120214732
2021-12,195269.34183295074
2022-01,191531.49299031912
2022-02,186875.81773372626
2022-03,181388.78066840823
2022-04,180009.6330740038
2022-05,179984.45779893588
2022-06,178175.80007701935
2022-07,176282.57868209455
2022-08,178426.33506
2022-09,157455.8457119409
2022-10,142532.74654024612
2022-11,166183.38683500385
2022-12,163228.88848678043
2023-01,177421.62536693437
2023-02,167964.77979094075
2023-03,170443.6202482759
2023-04,163500.60431654676
2023-05,163538.64717775903
2023-06,164680.64196576478
