Date,DAX
2021-09,29575.209885347947
2021-10,30404.828719602476
2021-11,29264.04468251692
2021-12,30784.85104535694
2022-01,29983.178164171815
2022-02,28025.449809688445
2022-03,27935.778571926912
2022-04,27321.684664222204
2022-05,27884.615384615383
2022-06,24774.94011581485
2022-07,26132.08241924356
2022-08,24874.146311211713
2022-09,23477.623857549283
2022-10,25685.741749936045
2022-11,27901.456600438763
2022-12,26983.91072799014
2023-01,29318.57998899216
