Date,MSCI Emerging Markets
2009-12,151957.1831320283
2010-01,148028.06129170844
2010-02,152915.99014001474
2010-03,166389.2569330069
2010-04,170516.9978820879
2010-05,168336.14040789797
2010-06,167619.04390840195
2010-07,171138.74521031624
2010-08,172479.90790220822
2010-09,178076.40048358732
2010-10,180498.52985494697
2010-11,187355.23303585165
2010-12,195278.24777727883
2011-01,185437.56796669587
2011-02,181849.70649125346
2011-03,187514.25248117125
2011-04,184874.2587617766
2011-05,186045.5559541189
2011-06,182399.53462948865
2011-07,184172.9358345021
2011-08,165575.882366782
2011-09,151384.96649633415
2011-10,165353.6437540176
2011-11,161048.41426442092
2011-12,165013.48017621145
2012-01,180456.9307377049
2012-02,187500.12492747157
2012-03,182442.90107816714
2012-04,182250.92520054488
2012-05,172493.72077723133
2012-06,176570.03637807784
2012-07,184628.9060240964
2012-08,179321.75954325587
2012-09,185485.91387470998
2012-10,183485.72694527823
2012-11,185928.92679809025
2012-12,191967.52905866303
2013-01,189530.21118819187
2013-02,193178.36005788716
2013-03,194697.77426005466
2013-04,192233.2526162791
2013-05,188342.81316315546
2013-06,175443.93701834863
2013-07,174766.4672542373
2013-08,172352.92977710618
2013-09,179944.84602739723
2013-10,186832.35359577741
2013-11,184520.81207846594
2013-12,179494.29697628887
2014-01,171294.3968185854
2014-02,173198.84236588722
2014-03,178877.9828981723
2014-04,178740.17116245485
2014-05,188323.9198941721
2014-06,192690.45731439453
2014-07,200673.86427984157
2014-08,208249.3573703367
2014-09,202129.2216005722
2014-10,205499.48484509744
2014-11,204006.03835616438
2014-12,200184.9042253521
2015-01,216294.74924369747
2015-02,224307.68604982205
2015-03,231050.3492517892
2015-04,238760.16267498882
2015-05,234364.88395624433
2015-06,223985.0736437573
2015-07,212818.88808242907
2015-08,189362.0608114133
2015-09,183929.72471659377
2015-10,200389.64908777346
2015-11,200560.09870498156
2015-12,190652.2052356021
2016-01,177755.6744505494
2016-02,178006.03082292434
2016-03,192804.50213438735
2016-04,193584.78263614836
2016-05,190563.06842388384
2016-06,199295.82684201043
2016-07,209232.34710699183
2016-08,214135.64401724757
2016-09,216389.06884687752
2016-10,221184.7756806139
2016-11,217187.7351198872
2016-12,219759.92080447776
2017-01,227184.65673640167
2017-02,237647.89949985844
2017-03,241563.6882237396
2017-04,241503.2687099726
2017-05,242244.08918991176
2017-06,240749.22476340696
2017-07,248435.9917114351
2017-08,251964.628820296
2017-09,251423.91873623576
2017-10,264010.52041587903
2017-11,259843.8935268799
2017-12,266073.0086050196
2018-01,277531.5668780605
2018-02,270039.19870640244
2018-03,262785.50810810813
2018-04,266914.12509313686
2018-05,265884.7793486623
2018-06,255911.4654657746
2018-07,260018.9981595092
2018-08,254910.81690841986
2018-09,255285.8143227367
2018-10,238389.48639335576
2018-11,247334.622801303
2018-12,239016.8196157205
2019-01,259102.98676880222
2019-02,261347.22088297125
2019-03,267838.0442723631
2019-04,273941.6158673561
2019-05,255677.52542372886
2019-06,266371.92616871704
2019-07,268743.33930589183
2019-08,258381.81502355926
2019-09,266955.2405730554
2019-10,271629.89725658955
2019-11,275522.7020761245
2019-12,289613.94755207404
2020-01,280672.06302931596
2020-02,267703.9754577754
2020-03,226972.98236582696
2020-04,249624.58306362637
2020-05,245720.77176724144
2020-06,262449.3615109841
2020-07,270439.1989365294
2020-08,274353.6631658292
2020-09,275367.70592757093
2020-10,281323.7972302958
2020-11,300124.8890984975
2020-12,314686.34600277076
2021-01,328025.23353658535
2021-02,330961.2410857191
2021-03,337056.15300639655
2021-04,335284.9169011753
2021-05,339791.16941234324
2021-06,349573.9905923932
2021-07,326060.94202337903
2021-08,336310.36442453944
2021-09,330178.03853527934
2021-10,331593.04425933876
2021-11,326001.36159464926
2021-12,333361.95447642595
2022-01,332060.99134098244
2022-02,320938.50152692205
2022-03,316571.3680569318
2022-04,314924.564117647
2022-05,311280.7223186783
2022-06,299980.93568884186
2022-07,305045.90062757407
2022-08,312501.15936
2022-09,283156.8756462864
2022-10,269808.06723824894
2022-11,296069.81860061677
2022-12,284127.5013313332
2023-01,301863.2550540017
2023-02,288001.65574912896
2023-03,289860.49456551723
2023-04,283863.871286768
