Date,MSCI USA Value
1995-10,124791.85988035797
1995-11,131499.5879663695
1995-12,136580.37831209754
1996-01,142678.6462032655
1996-02,144670.4175272087
1996-03,147170.1473453566
1996-04,150578.44119629834
1996-05,154138.03699038096
1996-06,152578.76423009703
1996-07,143561.35238915007
1996-08,146347.18456615703
1996-09,153674.82516293135
1996-10,159627.23510617786
1996-11,169544.5319662911
1996-12,170415.2386229948
1997-01,184267.70726201838
1997-02,193359.26872925105
1997-03,188866.57850570304
1997-04,197868.79924725363
1997-05,208684.27793793273
1997-06,219020.8117662853
1997-07,244692.95312936747
1997-08,240187.51546697546
1997-09,247330.3463700447
1997-10,237065.14191959295
1997-11,241724.8568763772
1997-12,254461.71685082512
1998-01,257570.16805560852
1998-02,274132.05164450774
1998-03,289071.6992168352
1998-04,293274.56592744106
1998-05,282125.791840369
1998-06,286911.7657971912
1998-07,283555.8736741016
1998-08,238026.3171294798
1998-09,239398.841118659
1998-10,249669.39979692578
1998-11,271487.51087406103
1998-12,277422.0217808954
1999-01,293761.8997286137
1999-02,301082.4237933556
1999-03,316681.365403675
1999-04,349451.59852216876
1999-05,347920.7098240603
1999-06,362167.48845517304
1999-07,340234.7445735876
1999-08,333012.46178662113
1999-09,315055.0611208645
1999-10,339658.13118503086
1999-11,350611.9698719455
1999-12,359683.0339377194
2000-01,357806.7263416649
2000-02,336971.897309098
2000-03,378516.37519527244
2000-04,399177.62696572446
2000-05,390614.0967847747
2000-06,370830.434900528
2000-07,386826.01000330824
2000-08,421617.6659754329
2000-09,426193.00127850415
2000-10,450462.8706243646
2000-11,410744.1693805688
2000-12,399350.4692943323
2001-01,407374.52191567555
2001-02,389129.02311599674
2001-03,391315.48334987956
2001-04,414789.18042989034
2001-05,440111.31618870876
2001-06,429467.41541837895
2001-07,411101.89141389483
2001-08,369335.23929543607
2001-09,340556.4393064058
2001-10,339149.9393497359
2001-11,365169.5881803119
2001-12,372046.3151580507
2002-01,375308.9574228916
2002-02,362264.9661868496
2002-03,382008.6903213868
2002-04,350290.2673553771
2002-05,335279.86202121346
2002-06,292691.7331580317
2002-07,268027.52460636245
2002-08,267810.83912422555
2002-09,235635.1015861404
2002-10,255859.90262258364
2002-11,274840.5419987454
2002-12,242123.08914937027
2003-01,229976.58441941626
2003-02,225007.47763750586
2003-03,221654.53968206202
2003-04,239734.96536282025
2003-05,242517.31674007542
2003-06,254224.63964478177
2003-07,259768.24941141612
2003-08,273842.75294558227
2003-09,254416.22036455065
2003-10,268429.4133269818
2003-11,263415.7618361614
2003-12,268104.5954423721
2004-01,277565.42496727157
2004-02,281701.4445425536
2004-03,282189.86304568173
2004-04,283274.2989447212
2004-05,279561.65082027373
2004-06,287906.2969431725
2004-07,286726.7226167571
2004-08,289545.01104182616
2004-09,285056.8560038234
2004-10,281792.9255139878
2004-11,282065.92120966053
2004-12,284807.32650902215
2005-01,291763.65497682785
2005-02,295633.04824099236
2005-03,297529.4535808162
2005-04,293267.2885398813
2005-05,314352.37539401563
2005-06,322612.74133542395
2005-07,330726.56497107085
2005-08,325270.63052401453
2005-09,334085.8760925364
2005-10,327293.732212323
2005-11,346755.0014065319
2005-12,348529.0412750646
2006-01,348246.5932898448
2006-02,358677.5687152307
2006-03,356349.5450565564
2006-04,353072.2904013644
2006-05,335580.1322598986
2006-06,341477.5774894164
2006-07,348981.50483960804
2006-08,353769.627261501
2006-09,367667.436910589
2006-10,378770.19728010613
2006-11,371218.1837579542
2006-12,380794.4489670596
2007-01,391715.9630118559
2007-02,378005.52880642423
2007-03,381006.89882357686
2007-04,388501.43568354496
2007-05,406798.3087039721
2007-06,396407.1092760336
2007-07,373152.1256027009
2007-08,378694.30417510035
2007-09,378508.7394090688
2007-10,371973.90910176025
2007-11,346025.7711194462
2007-12,342335.0194014604
2008-01,325124.87198184413
2008-02,303570.47087572055
2008-03,290459.16715
2008-04,307353.3719333251
2008-05,306224.50884809374
2008-06,272199.3159247218
2008-07,273638.618068456
2008-08,294251.8228595905
2008-09,283642.5053554053
2008-10,267105.3084813548
2008-11,252500.94918895807
2008-12,233988.1028694877
2009-01,224395.15247821563
2009-02,196561.84705973294
2009-03,203406.35177563364
2009-04,224791.70320973938
2009-05,225698.87611742894
2009-06,222922.38729404635
2009-07,240635.58461155015
2009-08,250475.59592728145
2009-09,251945.11150444334
2009-10,242826.38508766383
2009-11,253539.15130809313
2009-12,266840.8916919537
2010-01,269327.8292000099
2010-02,283829.0974891231
2010-03,303164.4342583041
2010-04,311513.738767855
2010-05,310641.22292378556
2010-06,296192.9717959959
2010-07,297687.42706815107
2010-08,293302.60199420305
2010-09,292676.12920554995
2010-10,295852.51098019886
2010-11,313628.74087756727
2010-12,329029.9250756074
2011-01,330179.8022309933
2011-02,340238.4025058131
2011-03,330882.8637926121
2011-04,325892.9730726437
2011-05,331593.0381010448
2011-06,323451.63616023574
2011-07,316629.77728216804
2011-08,295190.1055241769
2011-09,294240.55737346486
2011-10,312410.82498791075
2011-11,324641.2380563748
2011-12,344837.7491235371
2012-01,349520.4854638363
2012-02,356236.3046727551
2012-03,369252.6902392398
2012-04,369669.59020942356
2012-05,370800.85709917697
2012-06,382820.03138681746
2012-07,397323.14765740605
2012-08,392344.27590103704
2012-09,394006.9983270273
2012-10,389884.0818568433
2012-11,387590.13911937585
2012-12,388862.0363950827
2013-01,402431.3402179455
2013-02,421927.5088982212
2013-03,449295.9039041456
2013-04,451641.76405558316
2013-05,464109.0542370224
2013-06,458102.42113028094
2013-07,472093.92624347453
2013-08,455970.17060540465
2013-09,456768.5818621547
2013-10,473505.0100660285
2013-11,487128.8466284473
2013-12,492268.17979866837
2014-01,484307.54971873626
2014-02,492914.80460006313
2014-03,507332.8202328694
2014-04,511125.0970558312
2014-05,527794.6394055914
2014-06,536975.580150273
2014-07,538789.9443002563
2014-08,565739.3031940423
2014-09,584076.9141394505
2014-10,598425.6737477782
2014-11,610999.9042945089
2014-12,627874.5329292085
2015-01,647165.7038311443
2015-02,683265.5127222115
2015-03,698850.9775052442
2015-04,683553.4373606778
2015-05,705282.552301821
2015-06,673771.8041912611
2015-07,692853.8253323593
2015-08,638298.7847977384
2015-09,625693.9377576946
2015-10,686718.5322350096
2015-11,717780.9180531533
2015-12,686584.9589498881
2016-01,655052.1395544346
2016-02,656434.4276491146
2016-03,670232.2302000421
2016-04,677134.1739437073
2016-05,703958.6414146313
2016-06,715524.7102483521
2016-07,736077.1331730749
2016-08,739256.0797784474
2016-09,736372.748126719
2016-10,739984.4146832232
2016-11,798874.2066152921
2016-12,828740.4768458852
2017-01,816222.0977407892
2017-02,858988.9399125156
2017-03,845503.8055384632
2017-04,826086.7285465024
2017-05,805943.716243541
2017-06,807430.5914204011
2017-07,797168.369223674
2017-08,783660.5666754137
2017-09,808179.824492845
2017-10,829952.5739458307
2017-11,839906.2703737092
2017-12,840360.2597612073
2018-01,839753.6935582994
2018-02,813505.3218386087
2018-03,789692.3239588725
2018-04,807247.522829636
2018-05,837501.8139023072
2018-06,845146.4662742441
2018-07,875473.6168248967
2018-08,893886.0746357889
2018-09,903548.6575363602
2018-10,883768.0968975936
2018-11,907049.1188745368
2018-12,817038.3356343467
2019-01,872931.5613998463
2019-02,906199.648438419
2019-03,928233.7604932174
2019-04,959557.618019106
2019-05,902447.6628015494
2019-06,944803.5112342208
2019-07,974080.978948339
2019-08,958669.4449702472
2019-09,1005789.4749580413
2019-10,995997.128820458
2019-11,1041880.3790348296
2019-12,1046982.0642893346
2020-01,1037664.155014278
2020-02,943495.9304235377
2020-03,797242.0203844262
2020-04,888387.10742257
2020-05,892325.6252131059
2020-06,881059.040890401
2020-07,864205.8794430203
2020-08,891520.8160892937
2020-09,889032.4475454908
2020-10,869738.8490649869
2020-11,959894.2584374947
2020-12,967585.4140722995
2021-01,966802.0262422703
2021-02,1012518.9502982578
2021-03,1117992.6074678465
2021-04,1124782.099434763
2021-05,1142836.1303615905
2021-06,1162358.359483858
2021-07,1175249.230326651
2021-08,1204395.2087536184
2021-09,1186413.0679251296
2021-10,1246941.9625004483
2021-11,1243347.9512885509
2021-12,1333175.9661679422
2022-01,1320356.2974762288
2022-02,1290980.6161320163
2022-03,1340536.922083874
2022-04,1342415.2767717347
2022-05,1345591.2674256796
2022-06,1274107.601429668
2022-07,1371103.5948485406
2022-08,1358876.793661202
2022-09,1279689.6107594438
2022-10,1398511.1310431303
2022-11,1417378.270517985
2022-12,1327307.1886665048
2023-01,1348782.056965471
2023-02,1328977.1711245636
2023-03,1288390.7682324334
2023-04,1292643.5033729752
2023-05,1274601.88886704
2023-06,1330513.0052374587
