Date,MSCI Europe Small Cap Value Weighted
2009-12,45613.70259475219
2010-01,46625.6147558356
2010-02,45537.94311864407
2010-03,50274.47230951851
2010-04,51936.99105369885
2010-05,47275.547182904054
2010-06,46355.93237551952
2010-07,49035.26130948726
2010-08,47714.52458832808
2010-09,50220.12560961314
2010-10,52184.65936782854
2010-11,51168.55582397293
2010-12,56317.06331836552
2011-01,56463.99352322525
2011-02,57241.03812201822
2011-03,55848.96506651651
2011-04,57223.14664737552
2011-05,56835.19703163019
2011-06,54369.66766346088
2011-07,52347.113645161306
2011-08,45743.67227404845
2011-09,42163.1472561653
2011-10,44512.61255481752
2011-11,42837.34384409003
2011-12,42517.17493469356
2012-01,47858.58622040073
2012-02,50469.81161645467
2012-03,49596.17047619049
2012-04,48630.11029362798
2012-05,43775.54659034106
2012-06,46342.20254964258
2012-07,46796.76763269294
2012-08,48426.99472523987
2012-09,50925.87168445476
2012-10,52060.96934657124
2012-11,52063.90515478208
2012-12,55018.60792178263
2013-01,57838.04853431735
2013-02,59096.70281514205
2013-03,60027.59305583756
2013-04,61981.9926514688
2013-05,64414.14805935723
2013-06,60870.052140672786
2013-07,66354.55198945389
2013-08,67355.55734794107
2013-09,72196.34809774157
2013-10,75490.09019280112
2013-11,77190.55022702226
2013-12,78448.67461242841
2014-01,79461.4317327612
2014-02,85470.99747629046
2014-03,85546.60975630986
2014-04,85047.44010108302
2014-05,86919.78846476079
2014-06,85772.99296675941
2014-07,83055.02050676433
2014-08,83839.58287382471
2014-09,82416.09130414051
2014-10,79204.0928042159
2014-11,80463.08734919492
2014-12,81332.36247920271
2015-01,86219.17519858471
2015-02,94730.47806761567
2015-03,96341.15313876753
2015-04,97656.35827374054
2015-05,100520.53303555152
2015-06,96885.82111716866
2015-07,100198.77810157748
2015-08,93865.7767347303
2015-09,89695.65005802018
2015-10,95975.29135699375
2015-11,98564.577079119
2015-12,95052.18750436301
2016-01,86310.16842124543
2016-02,86803.20086700957
2016-03,90624.77402020202
2016-04,93679.04735946681
2016-05,95145.3212228797
2016-06,85686.86263015673
2016-07,90841.9956771349
2016-08,91685.79326446282
2016-09,92888.82744736136
2016-10,92091.9519239905
2016-11,93210.1946873531
2016-12,99451.06236979415
2017-01,100728.09923756395
2017-02,102523.67528545814
2017-03,105316.31656159388
2017-04,108989.12781335773
2017-05,109998.86101951696
2017-06,106055.20974938663
2017-07,108209.36906966829
2017-08,107205.16532600424
2017-09,112164.23095544639
2017-10,113128.52415019764
2017-11,111568.04217908684
2017-12,114012.39342449763
2018-01,115425.67924379869
2018-02,111312.56912068119
2018-03,108616.53355571788
2018-04,114534.10869442836
2018-05,114199.69782716474
2018-06,113008.76578658434
2018-07,114274.70185923653
2018-08,112423.93398678227
2018-09,112152.17016067727
2018-10,103593.49241915534
2018-11,100101.7165296241
2018-12,93404.2150026201
2019-01,101300.61054491645
2019-02,105152.96430623689
2019-03,105359.45003649313
2019-04,110657.291228383
2019-05,102202.7372971034
2019-06,104980.12437609842
2019-07,103586.2261770245
2019-08,102043.54321493296
2019-09,106893.04161631007
2019-10,109621.01528061683
2019-11,114272.81958477508
2019-12,118998.32593733311
2020-01,115537.71294607314
2020-02,105605.16294980416
2020-03,77964.28669587443
2020-04,87209.34886355279
2020-05,89231.76304238508
2020-06,91480.96652973747
2020-07,90195.1596387576
2020-08,96068.03623618092
2020-09,93841.06356337549
2020-10,89505.69683364678
2020-11,109210.40375292154
2020-12,115716.25107652188
2021-01,116806.42037903759
2021-02,125552.26371916512
2021-03,134417.47974754797
2021-04,137871.93347955638
2021-05,143449.98386033933
2021-06,139933.915440929
2021-07,142898.8043713733
2021-08,148260.70068277844
2021-09,144681.29850418863
2021-10,147367.1036805496
2021-11,141214.36830942534
2021-12,150831.68541938902
2022-01,147182.58514879888
2022-02,142606.0242378784
2022-03,143255.40647509237
2022-04,143193.51290512332
2022-05,143147.05911136005
2022-06,126151.12518532784
2022-07,134635.90276720925
2022-08,127619.31087
2022-09,114730.3875256463
2022-10,122956.67113173293
2022-11,130896.90884734
2022-12,129182.62257453594
2023-01,141573.69481953295
2023-02,145498.8732159337
2023-03,137871.0283512644
2023-04,141942.9304034241
2023-05,136194.68640269586
2023-06,139515.8250966317
