Date,S&P 500 Minimum Volatility (EUR Hedged)
1998-04,33879.213686297364
1998-05,33147.37845250619
1998-06,33133.6783109534
1998-07,31515.7702173367
1998-08,28084.811038376894
1998-09,29478.091226977915
1998-10,31353.139053936007
1998-11,32476.341598065093
1998-12,33095.801860902546
1999-01,31856.365179193668
1999-02,31321.906612368923
1999-03,31775.023589631142
1999-04,34469.56715014949
1999-05,35376.32026161508
1999-06,36412.8285980852
1999-07,35333.907440219176
1999-08,34727.6711749962
1999-09,33022.71176576679
1999-10,32945.55744201472
1999-11,32504.60014062251
1999-12,32963.69892618538
2000-01,31229.68173278782
2000-02,29386.309481356213
2000-03,32358.488971215997
2000-04,32470.311775249655
2000-05,33975.72686223045
2000-06,32951.10811998467
2000-07,32805.336053088846
2000-08,35098.20218652098
2000-09,34498.04475893062
2000-10,35092.71252699691
2000-11,34517.24256242662
2000-12,35856.85052591398
2001-01,36017.3940582238
2001-02,35156.040671094874
2001-03,33622.18098531186
2001-04,35596.48081615072
2001-05,36708.10686070399
2001-06,36159.53302683401
2001-07,36266.96850457893
2001-08,35848.152896620646
2001-09,33458.32345117929
2001-10,33918.795651925575
2001-11,35456.5215064514
2001-12,36759.5124005987
2002-01,37290.1678177313
2002-02,37720.18881307819
2002-03,39030.806012657624
2002-04,38532.08825027806
2002-05,38452.48418596941
2002-06,36050.645110016754
2002-07,33180.24938939042
2002-08,33963.14805965843
2002-09,30884.402354831866
2002-10,31719.46679481207
2002-11,33136.86927558201
2002-12,32290.820515041694
2003-01,31788.595692477833
2003-02,31395.14775316578
2003-03,31566.477546162205
2003-04,33284.61593939848
2003-05,35725.070688869244
2003-06,36134.36441836367
2003-07,36586.701159760596
2003-08,37241.23102413859
2003-09,37121.93095972912
2003-10,38991.635171312286
2003-11,39853.06558172535
2003-12,41749.86998569667
2004-01,42926.018535403244
2004-02,43559.858145117265
2004-03,43795.91850616441
2004-04,43645.933165595954
2004-05,44465.02777789726
2004-06,45337.46351522065
2004-07,43912.83084876558
2004-08,44399.43194827796
2004-09,45267.808458497
2004-10,46215.544959241175
2004-11,48728.85873399529
2004-12,50647.658787251385
2005-01,49959.64079941366
2005-02,51153.77478611784
2005-03,50575.75605105423
2005-04,49811.75409326239
2005-05,50929.72205497722
2005-06,51544.49790171569
2005-07,53029.30175792142
2005-08,52572.40863913161
2005-09,52828.32200174112
2005-10,51591.138001017694
2005-11,53104.675543416764
2005-12,53441.62540335942
2006-01,54559.57135842164
2006-02,55158.33536478077
2006-03,55714.072364075655
2006-04,56690.539550106
2006-05,55776.844340043994
2006-06,56875.97960863569
2006-07,57631.48399761248
2006-08,58546.47559957375
2006-09,59652.123837035935
2006-10,61643.06469845834
2006-11,62853.039473832934
2006-12,63664.23569845164
2007-01,64975.01994853044
2007-02,64462.473005589585
2007-03,65050.20867808338
2007-04,67110.67755782572
2007-05,69338.8411316741
2007-06,68039.1472342089
2007-07,65325.72396635503
2007-08,66633.6453509896
2007-09,68159.54062913219
2007-10,68278.64263366815
2007-11,65974.22000670803
2007-12,65171.20025383673
2008-01,62697.980599535236
2008-02,60951.81873480353
2008-03,61046.59638608751
2008-04,63134.1784621491
2008-05,64034.125516143526
2008-06,58123.22565111433
2008-07,59286.517314184064
2008-08,60482.885976430676
2008-09,58632.2995441522
2008-10,49396.727630762776
2008-11,46521.34140150567
2008-12,46926.44486428247
2009-01,43033.96916887974
2009-02,38858.70198561025
2009-03,41163.16562496842
2009-04,42837.8418796002
2009-05,44082.60817245053
2009-06,44756.159787103636
2009-07,46702.12305179855
2009-08,47721.928338936865
2009-09,48814.233542799986
2009-10,48447.5006794554
2009-11,50824.004096438344
2009-12,51903.51343211052
2010-01,50735.90346361705
2010-02,51883.309324408765
2010-03,53935.737773528934
2010-04,54485.64701109145
2010-05,51093.58058941217
2010-06,49856.03748013024
2010-07,52492.27441455552
2010-08,52123.470925260706
2010-09,55670.95332919141
2010-10,57137.23158510817
2010-11,56807.645951371094
2010-12,60043.33610050318
2011-01,59587.997451629635
2011-02,61266.8089563475
2011-03,62069.50661184876
2011-04,65145.21039710304
2011-05,65867.18665052445
2011-06,65062.593421991456
2011-07,63104.215404316725
2011-08,62327.757681147006
2011-09,60016.8680992264
2011-10,64322.44767593243
2011-11,64817.81742620794
2011-12,66171.58467004575
2012-01,67923.2511988374
2012-02,69750.99272510079
2012-03,71362.82798289922
2012-04,71831.92579116666
2012-05,69275.42996247765
2012-06,71965.23008905591
2012-07,72608.72161654467
2012-08,73167.38550063684
2012-09,75225.21758327541
2012-10,74623.03054213288
2012-11,75491.05794681732
2012-12,75646.82803611532
2013-01,79826.86566148946
2013-02,81061.82398939198
2013-03,84799.79497802185
2013-04,86773.56564889564
2013-05,86975.52170020997
2013-06,86322.91141612109
2013-07,90371.32325101878
2013-08,87530.5424829926
2013-09,89989.06869546663
2013-10,93739.22636813109
2013-11,95512.1443212283
2013-12,96897.34906862346
2014-01,93629.5252054696
2014-02,97657.97900705383
2014-03,99275.71404835681
2014-04,100551.18762401876
2014-05,101793.95631299341
2014-06,103272.16617583495
2014-07,101933.8616063636
2014-08,105807.66965853776
2014-09,105017.16668949023
2014-10,108672.08957267781
2014-11,111737.19615439746
2014-12,111735.87775584558
2015-01,110894.41238086273
2015-02,115258.90576721342
2015-03,113761.43108061567
2015-04,113912.27768154313
2015-05,115229.93200844615
2015-06,112911.03700648705
2015-07,117177.74683286759
2015-08,111664.02903597757
2015-09,111015.7280545909
2015-10,118419.72428265063
2015-11,117377.26014574205
2015-12,117375.82471181038
2016-01,116476.74391968691
2016-02,119191.7246583642
2016-03,125866.8775570855
2016-04,125543.88991792218
2016-05,126937.56222506062
2016-06,133404.25410601622
2016-07,135858.0228803167
2016-08,133185.84808187516
2016-09,133095.49876927794
2016-10,130406.30682655366
2016-11,131345.29168167536
2016-12,133992.07780512047
2017-01,134591.80010117058
2017-02,139837.23379577647
2017-03,139269.40614147656
2017-04,139994.70339883748
2017-05,142283.69636141005
2017-06,141949.71839987228
2017-07,144323.59002126343
2017-08,143410.54100654626
2017-09,145166.3547890527
2017-10,148630.29193725262
2017-11,155621.76145848888
2017-12,157140.5215796735
2018-01,161962.3892302643
2018-02,156621.35063429674
2018-03,154182.32231603612
2018-04,154499.85030474712
2018-05,156756.38145411358
2018-06,158425.6920867178
2018-07,163366.1435852058
2018-08,168504.88402644117
2018-09,169587.45728833825
2018-10,160579.58820951573
2018-11,163999.42102497583
2018-12,149460.9440433843
2019-01,160410.95323116178
2019-02,166208.10571035623
2019-03,170035.4087040512
2019-04,176706.76445489467
2019-05,168900.27555329975
2019-06,179147.33623974526
2019-07,182127.63618441854
2019-08,182875.3392150447
2019-09,185932.02125002388
2019-10,186591.76969197788
2019-11,191100.07455253723
2019-12,197823.91516955575
2020-01,198460.8827248477
2020-02,182254.94767068085
2020-03,159498.20130625486
2020-04,177226.99171959682
2020-05,184987.15061563108
2020-06,185773.08620395945
2020-07,194676.64474970783
2020-08,203256.9455746472
2020-09,199511.57935043762
2020-10,194129.83144804672
2020-11,209267.95270210181
2020-12,214940.38747913492
2021-01,210152.53111015458
2021-02,209453.29473099718
2021-03,222594.90944112404
2021-04,232717.6705518078
2021-05,233559.5510522831
2021-06,237508.15471517039
2021-07,244380.7412980944
2021-08,249833.03652694207
2021-09,237197.732874648
2021-10,251594.84512168026
2021-11,250291.18302462832
2021-12,267483.0081133527
2022-01,254157.9909606674
2022-02,246780.76382490425
2022-03,258874.6878181274
2022-04,246146.17398839668
2022-05,246352.85746881284
2022-06,232762.563122832
2022-07,246102.38675151498
2022-08,237406.54299794827
2022-09,219011.8452808284
2022-10,236812.2183336022
2022-11,247681.4320969229
2022-12,238957.69291056684
2023-01,246258.71901075696
2023-02,234969.82537821186
2023-03,243422.77270418845
2023-04,250062.06876338716
