Date,MSCI USA Momentum
2002-11,43993.08570680548
2002-12,40809.68908245649
2003-01,38860.36542727031
2003-02,38659.48832265917
2003-03,38669.7344419801
2003-04,40150.189665607606
2003-05,39597.97419105118
2003-06,41639.50545238534
2003-07,43191.17796325208
2003-08,45368.28594830707
2003-09,42238.28666423275
2003-10,45013.85886414409
2003-11,44055.78943886165
2003-12,42753.68446546295
2004-01,44698.481255054154
2004-02,45190.17682177155
2004-03,45688.82991872426
2004-04,44678.89287905499
2004-05,44847.17859838778
2004-06,46406.01315014657
2004-07,44528.57945232593
2004-08,44608.285991153
2004-09,45911.1610451151
2004-10,45077.24909059475
2004-11,46533.628949088576
2004-12,46325.70662826323
2005-01,47406.556614234985
2005-02,49414.16043319772
2005-03,50038.87206584127
2005-04,48114.73671088511
2005-05,52505.95480707694
2005-06,55520.65050230971
2005-07,57819.87328267448
2005-08,58304.47591021061
2005-09,61450.86374583544
2005-10,59665.01548997279
2005-11,62870.47115243864
2005-12,63818.26089018182
2006-01,66205.41262179159
2006-02,65018.05816780158
2006-03,64943.1380790963
2006-04,63439.961461494175
2006-05,59243.95649300848
2006-06,60519.093576142914
2006-07,58296.799287124915
2006-08,57468.68895215837
2006-09,59491.613702069844
2006-10,62192.24305110157
2006-11,62285.149444934126
2006-12,63309.239969580354
2007-01,66821.5165182543
2007-02,63609.759734765445
2007-03,64550.04807364439
2007-04,65599.98845370229
2007-05,68729.34389350687
2007-06,66589.76143691031
2007-07,63479.02497322045
2007-08,64304.80985846597
2007-09,66544.08112369226
2007-10,68173.78690824412
2007-11,64518.55249046979
2007-12,66722.93787042054
2008-01,58401.05585633965
2008-02,57027.2701976529
2008-03,54481.182271537415
2008-04,60087.48009384849
2008-05,62638.15657182168
2008-06,60795.25380352695
2008-07,55768.49807196015
2008-08,58636.86903511171
2008-09,51040.200609564235
2008-10,48964.39594734938
2008-11,44953.87538033549
2008-12,41721.282211182406
2009-01,41184.02710109848
2009-02,37607.39092304728
2009-03,37993.08186949346
2009-04,40288.778268754766
2009-05,39614.50676980905
2009-06,40449.87991063199
2009-07,43091.53954583488
2009-08,43219.095642192115
2009-09,43735.97707722034
2009-10,41991.51379901268
2009-11,44186.62988408045
2009-12,47414.83342497495
2010-01,45768.208538461055
2010-02,49370.176291912634
2010-03,53363.437947012106
2010-04,54327.56326814108
2010-05,54773.44494896272
2010-06,51931.34749231644
2010-07,52678.85905134083
2010-08,51788.26377034681
2010-09,53098.203076910075
2010-10,54870.551981442615
2010-11,59620.40787904397
2010-12,60428.573432801684
2011-01,59305.82812894254
2011-02,61063.75445587853
2011-03,60688.14712020499
2011-04,60279.598191307385
2011-05,61960.622899646805
2011-06,61256.094814303025
2011-07,60929.032985844686
2011-08,56709.94800871261
2011-09,57657.09328094253
2011-10,60187.36059977342
2011-11,63060.54854275782
2011-12,66202.32103933531
2012-01,66273.0434353957
2012-02,68261.30064007685
2012-03,71682.04018714765
2012-04,73758.02948736296
2012-05,74918.45109012231
2012-06,76091.25689932704
2012-07,79026.94755620658
2012-08,78034.88392434381
2012-09,77503.10525233726
2012-10,75309.87571924548
2012-11,76700.47598652169
2012-12,74724.92499828896
2013-01,75948.16738880968
2013-02,80002.81691384502
2013-03,86145.71665848992
2013-04,86843.02095395638
2013-05,87226.04624996951
2013-06,85897.13197808765
2013-07,89960.44417545333
2013-08,87129.69168500339
2013-09,88071.60961136373
2013-10,91762.90581204747
2013-11,94794.97247532397
2013-12,96369.50931948324
2014-01,96121.69373791057
2014-02,100322.30239648056
2014-03,97105.9332555854
2014-04,95823.49299775352
2014-05,101434.26288146494
2014-06,103182.62465381436
2014-07,104205.57923302443
2014-08,110643.12568690567
2014-09,115265.6355649102
2014-10,118504.86921905018
2014-11,123395.66938615259
2014-12,125543.56056017701
2015-01,134046.7515109811
2015-02,142179.7233515852
2015-03,146824.46768068898
2015-04,139625.79971027997
2015-05,147439.57723884672
2015-06,144190.21950714866
2015-07,152819.26743855217
2015-08,140533.90769934558
2015-09,137974.35649429722
2015-10,150528.36578816827
2015-11,157562.64388987413
2015-12,153022.75930632258
2016-01,146935.75492524198
2016-02,145438.01733723498
2016-03,146427.2583956815
2016-04,145239.043237258
2016-05,152142.29420520976
2016-06,157445.24827481632
2016-07,161515.43859904
2016-08,158901.2546565854
2016-09,159273.88619801876
2016-10,159219.40683313154
2016-11,162919.9910524545
2016-12,166158.9136620395
2017-01,168251.67909215245
2017-02,177117.05903617977
2017-03,179336.79013853183
2017-04,179862.57965566896
2017-05,183649.3398640421
2017-06,181303.29167333993
2017-07,182482.10136141352
2017-08,183685.55422399053
2017-09,189225.65133057747
2017-10,201556.96886977836
2017-11,203525.83886816134
2017-12,201276.35991731673
2018-01,209687.8840149065
2018-02,210834.95448862363
2018-03,201398.0546635937
2018-04,207015.0105756032
2018-05,221213.35152170717
2018-06,221682.5646274606
2018-07,224321.5820940773
2018-08,239212.76525561698
2018-09,243010.56236898797
2018-10,224197.75415561968
2018-11,226480.96271852343
2018-12,207418.04554961354
2019-01,220516.17632569384
2019-02,229884.90176336275
2019-03,238628.7020468797
2019-04,244524.97289858822
2019-05,240415.65237587085
2019-06,250269.8530061317
2019-07,260077.08683703042
2019-08,263518.61559773964
2019-09,263844.8524081314
2019-10,259187.2890468251
2019-11,272119.18464284646
2019-12,270793.5772621321
2020-01,285412.9346258917
2020-02,266254.78115337895
2020-03,236337.04698893998
2020-04,266008.5986963144
2020-05,275350.0033937341
2020-06,285759.44868196186
2020-07,288554.56562439824
2020-08,314032.2424007733
2020-09,307848.1041904235
2020-10,295222.02239987283
2020-11,318062.7375958243
2020-12,321327.7897440761
2021-01,330353.2292855246
2021-02,328826.5195861118
2021-03,335721.2727280793
2021-04,348984.3715229391
2021-05,339932.19410337193
2021-06,355679.5258331699
2021-07,358798.74020384863
2021-08,375529.87863534474
2021-09,370447.22940735944
2021-10,399929.0257968124
2021-11,393684.09961752815
2021-12,392962.38819174346
2022-01,362845.06111646944
2022-02,351850.86224386166
2022-03,371467.58930330246
2022-04,342023.2501565639
2022-05,337412.12865764706
2022-06,325473.7898275213
2022-07,348671.69308584137
2022-08,348831.05814962386
2022-09,336292.9427818009
2022-10,372145.08497586666
2022-11,368494.6394146525
2022-12,344733.66149603337
2023-01,337228.2638118366
2023-02,330363.37110690254
2023-03,323835.8178816767
2023-04,328531.0448587197
