Date,MSCI Emerging Markets Asia
2014-03,70831.65522193212
2014-04,70644.40401444044
2014-05,74873.32834570442
2014-06,76705.40164006445
2014-07,81021.25705957097
2014-08,83119.73912647861
2014-09,82087.08026702695
2014-10,83683.92101564995
2014-11,84109.51506849316
2014-12,84884.25352112675
2015-01,93350.70151260505
2015-02,96160.15521352312
2015-03,100825.76414164883
2015-04,103466.39288452966
2015-05,102881.86474020056
2015-06,96912.85696666368
2015-07,91836.74826297072
2015-08,81576.27044137317
2015-09,80442.52732303846
2015-10,88155.08969773987
2015-11,88790.79389356272
2015-12,85698.27643979057
2016-01,79205.69670329671
2016-02,78404.70931300514
2016-03,83564.9709090909
2016-04,82376.61894238357
2016-05,83208.95567509413
2016-06,86070.10987209511
2016-07,90187.16339422298
2016-08,93693.02597915918
2016-09,94722.5765074814
2016-10,95199.3274620866
2016-11,94721.16897038084
2016-12,94287.60580590076
2017-01,97832.77439330544
2017-02,102907.33849202603
2017-03,105423.6448975774
2017-04,105338.24036596525
2017-05,107266.81112200336
2017-06,107393.11861198739
2017-07,110430.99508825784
2017-08,111078.14963213529
2017-09,111248.12439437574
2017-10,118832.23744629661
2017-11,116852.83917630179
2017-12,118726.44779454682
2018-01,123469.4978084611
2018-02,119198.62867201572
2018-03,116572.2918918919
2018-04,119025.75120456991
2018-05,121266.40034190957
2018-06,116112.76968605249
2018-07,116251.6165644172
2018-08,116169.17215689641
2018-09,114968.62971665515
2018-10,104748.91309418627
2018-11,109755.15244299675
2018-12,105506.62066375546
2019-01,112860.50609331476
2019-02,115479.49950946042
2019-03,119492.05425901202
2019-04,121845.56678552328
2019-05,111828.63276836158
2019-06,116632.40725834799
2019-07,117238.61210653755
2019-08,114034.48613628127
2019-09,117905.20510607037
2019-10,120272.78714362561
2019-11,122805.09965397925
2019-12,128667.32280576823
2020-01,124918.52019543973
2020-02,122178.8254714403
2020-03,108098.14633077766
2020-04,118888.84429937479
2020-05,115787.73620689656
2020-06,124708.45836756566
2020-07,129370.16834908845
2020-08,132532.63341708545
2020-09,133673.70871199179
2020-10,138207.7928021884
2020-11,145062.47734557596
2020-12,151680.32496129087
2021-01,160061.6304878049
2021-02,161761.04818084315
2021-03,162268.96022174836
2021-04,161279.429846052
2021-05,161710.4659945906
2021-06,166232.71454055872
2021-07,152760.8417458582
2021-08,157604.211999324
2021-09,154451.14604024525
2021-10,155535.42667239156
2021-11,153611.51970430344
2021-12,156444.3761257284
2022-01,153297.2663858014
2022-02,149142.0620412537
2022-03,145812.69972074588
2022-04,145776.7212523719
2022-05,144023.26155138618
2022-06,141494.06277077118
2022-07,142418.92116101194
2022-08,145815.96473999997
2022-09,129863.81688551496
2022-10,120221.42408714948
2022-11,136366.7285851966
2022-12,131643.2421713857
2023-01,140807.6098587649
2023-02,133789.92334494772
2023-03,135388.25859310344
2023-04,130937.15264547856
2023-05,133198.77809604042
2023-06,134634.90331308672
