Date,QATAR DOMESTIC SMALL CAP
2018-06,1746.1076598125385
2018-07,1813.6958929669229
2018-08,1811.9416660541126
2018-09,1808.8880400718365
2018-10,1781.8579908642048
2018-11,1805.6776018798562
2018-12,1786.1683327051387
2019-01,1899.8292040403326
2019-02,1827.4393848101327
2019-03,1902.7431121899817
2019-04,1899.5291290132523
2019-05,1878.846899799959
2019-06,2007.9696918238205
2019-07,1963.5843412218985
2019-08,1880.9153895978593
2019-09,1943.9754819459604
2019-10,1929.9466111158408
2019-11,1934.2736097375603
2019-12,1954.3295258103522
2020-01,1947.0444475080305
2020-02,1661.8061865241511
2020-03,1448.512134285903
2020-04,1711.8962509432326
2020-05,1767.3156225624896
2020-06,1905.9537449437917
2020-07,2087.9528713667623
2020-08,2222.017739951198
2020-09,2387.2035126211695
2020-10,2197.1088211103947
2020-11,2268.3307399464643
2020-12,2313.803126992785
2021-01,2302.796450332769
2021-02,2293.0106883019134
2021-03,2460.6082581894257
2021-04,2600.6317826913037
2021-05,2651.892496987469
2021-06,2561.2119544199727
2021-07,2552.464984761773
2021-08,2611.0053727372406
2021-09,2650.3079701153983
2021-10,2708.138326407295
2021-11,2690.440261760595
2021-12,2759.027759720613
2022-01,2789.3966265566733
2022-02,2826.750862137914
2022-03,2848.2031598508024
2022-04,2822.1230502017065
2022-05,2757.9818131720785
2022-06,2633.7658644779517
2022-07,2641.7852088550803
2022-08,2717.93186976316
2022-09,2515.073516934723
2022-10,2487.2483742292593
2022-11,2383.6882295728856
2022-12,2292.4202545570065
2023-01,2315.2311470780023
2023-02,2207.220032373647
2023-03,2180.1847124555024
2023-04,2241.271418458351
2023-05,2356.3401909185263
2023-06,2259.5561628435694
2023-07,2375.977546406557
