Date,Bond US 10y
2006-09,295.0714
2006-10,298.1635
2006-11,301.0325
2006-12,305.2595
2007-01,299.6336
2007-02,297.9081
2007-03,305.2665
2007-04,304.1553
2007-05,305.5448
2007-06,299.2765
2007-07,298.4607
2007-08,306.1264
2007-09,312.1576
2007-10,313.0486
2007-11,319.0394
2007-12,329.9047
2008-01,329.2842
2008-02,342.1055
2008-03,345.1386
2008-04,345.662
2008-05,341.0711
2008-06,333.8088
2008-07,336.3109
2008-08,338.7261
2008-09,343.884
2008-10,346.397
2008-11,341.4241
2008-12,382.7355
2009-01,398.7021
2009-02,380.4876
2009-03,375.1798
2009-04,388.7872
2009-05,373.0856
2009-06,357.052
2009-07,363.1595
2009-08,365.6357
2009-09,370.4875
2009-10,377.1064
2009-11,372.063
2009-12,376.6308
2010-01,360.312
2010-02,366.9584
2010-03,369.6894
2010-04,364.0936
2010-05,370.3492
2010-06,383.5646
2010-07,394.9652
2010-08,397.1516
2010-09,410.0437
2010-10,413.1415
2010-11,409.97
2010-12,400.2819
2011-01,390.5837
2011-02,386.5484
2011-03,389.0866
2011-04,388.8572
2011-05,394.9541
2011-06,408.7777
2011-07,401.2363
2011-08,417.5176
2011-09,442.5079
2011-10,452.1656
2011-11,451.2551
2011-12,447.3465
2012-01,456.7644
2012-02,459.2329
2012-03,453.1622
2012-04,446.3189
2012-05,458.1613
2012-06,480.8604
2012-07,473.0561
2012-08,479.4687
2012-09,480.4378
2012-10,478.2586
2012-11,474.5683
2012-12,481.1766
2013-01,475.2389
2013-02,464.7117
2013-03,474.5306
2013-04,475.7183
2013-05,485.337
2013-06,466.3483
2013-07,453.1064
2013-08,445.1448
2013-09,443.1921
2013-10,449.6044
2013-11,451.3297
2013-12,443.5546
2014-01,438.4555
2014-02,453.9828
2014-03,455.7452
2014-04,452.6091
2014-05,459.425
2014-06,466.9
2014-07,464.0269
2014-08,467.978
2014-09,475.3875
2014-10,474.1888
2014-11,477.6215
2014-12,486.2102
2015-01,487.1137
2015-02,512.7292
2015-03,498.2031
2015-04,504.9153
2015-05,494.9077
2015-06,492.3415
2015-07,482.9243
2015-08,493.8996
2015-09,495.5248
2015-10,501.6809
2015-11,497.9479
2015-12,498.1973
2016-01,492.6373
2016-02,508.7209
2016-03,514.5566
2016-04,517.5376
2016-05,516.0177
2016-06,515.4793
2016-07,534.7928
2016-08,533.7051
2016-09,530.3143
2016-10,529.1947
2016-11,519.2231
2016-12,491.7348
2017-01,492.3423
2017-02,492.1279
2017-03,493.3163
2017-04,496.9191
2017-05,501.1805
2017-06,506.3083
2017-07,503.5011
2017-08,506.5573
2017-09,511.3433
2017-10,504.56
2017-11,503.9677
2017-12,504.5926
2018-01,503.4731
2018-02,488.3306
2018-03,487.6918
2018-04,491.1798
2018-05,483.2277
2018-06,487.0688
2018-07,490.0014
2018-08,485.355
2018-09,491.6009
2018-10,483.5136
2018-11,482.7087
2018-12,489.1862
2019-01,503.8564
2019-02,504.739
2019-03,502.4033
2019-04,515.4535
2019-05,516.0825
2019-06,533.5416
2019-07,539.8049
2019-08,547.5361
2019-09,566.4057
2019-10,559.9151
2019-11,556.7468
2019-12,554.1411
2020-01,547.7711
2020-02,569.0621
2020-03,588.8257
2020-04,617.854
2020-05,617.9351
2020-06,617.284
2020-07,616.6319
2020-08,625.0749
2020-09,618.4523
2020-10,618.3806
2020-11,607.3428
2020-12,605.7195
2021-01,606.3505
2021-02,598.3651
2021-03,579.8176
2021-04,567.3494
2021-05,570.7748
2021-06,572.4187
2021-07,580.6735
2021-08,594.1947
2021-09,591.88
2021-10,583.4766
2021-11,578.8085
2021-12,588.3251
2022-01,583.6476
2022-02,569.6061
2022-03,574.4264
2022-04,541.8976
2022-05,519.1292
2022-06,519.0967
2022-07,521.8624
2022-08,536.3009
2022-09,507.3036
2022-10,486.3522
2022-11,477.5211
2022-12,500.7412
2023-01,487.5072
2023-02,508.187
2023-03,484.9513
2023-04,507.7932
2023-05,504.6522
2023-06,505.2391
2023-07,498.17
