Date,MSCI EMU High Dividend Yield
2015-05,65887.36200345194
2015-06,63203.59997250774
2015-07,66443.90813116405
2015-08,61950.14472711364
2015-09,60760.04473238506
2015-10,66245.92405794795
2015-11,68005.22773079273
2015-12,65505.88452527574
2016-01,61601.805856455714
2016-02,60287.08119900996
2016-03,62555.15684935871
2016-04,64369.911292409946
2016-05,64739.33959253773
2016-06,60544.74488323171
2016-07,63486.35035712377
2016-08,63269.79112015184
2016-09,64274.73254891131
2016-10,65671.40814742935
2016-11,64361.8493550579
2016-12,69086.69149632794
2017-01,67324.57220264118
2017-02,69019.19896526661
2017-03,72998.67548581502
2017-04,73418.27637849172
2017-05,76431.51847478663
2017-06,73965.14669383784
2017-07,74307.50391500331
2017-08,74462.56311737816
2017-09,76039.76762591182
2017-10,78363.03335023197
2017-11,77396.73236101512
2017-12,75414.42161717836
2018-01,77142.54307656124
2018-02,75718.77678098503
2018-03,74981.85923793046
2018-04,79728.7232558094
2018-05,77315.9882061231
2018-06,77733.57352618978
2018-07,80803.98719748705
2018-08,79329.88642658899
2018-09,80411.08141836191
2018-10,76338.92048397334
2018-11,75848.20602223658
2018-12,72876.64946808227
2019-01,77212.58476020265
2019-02,79685.55789059923
2019-03,80364.08826092386
2019-04,84165.8578487796
2019-05,80168.73807679625
2019-06,84788.39282437696
2019-07,83334.00998382033
2019-08,82601.22075535939
2019-09,87564.72962321826
2019-10,89320.0107915039
2019-11,90414.48777369646
2019-12,91323.04025753717
2020-01,89608.18815000412
2020-02,82254.00780805599
2020-03,67912.88155625918
2020-04,72946.52376143151
2020-05,75105.79616072887
2020-06,78719.46266532787
2020-07,78035.40343656321
2020-08,79781.29481383924
2020-09,78876.91137266908
2020-10,73786.23564892626
2020-11,85833.95052061963
2020-12,86153.68503051385
2021-01,86335.88171123476
2021-02,87182.73062395879
2021-03,94328.29523540621
2021-04,93496.1689386545
2021-05,96048.40513459822
2021-06,95804.89157275668
2021-07,97720.57997244725
2021-08,100182.22563526624
2021-09,95551.1696784431
2021-10,97207.31298478926
2021-11,95154.92697774639
2021-12,102079.81733921474
2022-01,101947.53109350624
2022-02,97129.36991256122
2022-03,96155.6551018511
2022-04,97192.10403746286
2022-05,97706.05361299508
2022-06,89458.29400453779
2022-07,91659.3340963282
2022-08,89578.43705289933
2022-09,84010.51680439254
2022-10,91299.34638349885
2022-11,97359.1575416109
2022-12,95955.06404269823
2023-01,102339.8346288216
2023-02,103982.37290933584
2023-03,105006.08950015873
2023-04,108541.19421402774
2023-05,104386.57872106099
2023-06,109195.02591660192
