Date,MSCI Canada
1999-11,139534.08138228752
1999-12,160614.93266030055
2000-01,165348.73367010374
2000-02,176647.2028551406
2000-03,195716.14897831104
2000-04,198287.34363651692
2000-05,190048.14404613775
2000-06,208296.01974638607
2000-07,221919.01051504636
2000-08,250594.24861552057
2000-09,228950.62589936575
2000-10,217623.0076897823
2000-11,192065.43610298712
2000-12,183193.23754663236
2001-01,192421.14038122847
2001-02,162565.87135020224
2001-03,154700.68034550225
2001-04,164920.2112205725
2001-05,175857.07408977006
2001-06,169208.76832602752
2001-07,163164.12108771573
2001-08,147542.9718581454
2001-09,134226.82738940688
2001-10,135737.16734672396
2001-11,150636.64662754038
2001-12,154537.8177589738
2002-01,156550.4324725151
2002-02,154690.24912250743
2002-03,158942.4242338828
2002-04,152743.29667529705
2002-05,149793.23984084526
2002-06,133019.3130270605
2002-07,120400.91101060534
2002-08,121302.52519196608
2002-09,111271.33585943475
2002-10,114614.85648661447
2002-11,120574.43695405766
2002-12,113270.06639795152
2003-01,112923.16541487662
2003-02,117279.7430930678
2003-03,114593.98969014965
2003-04,119309.56796382887
2003-05,121982.36784286244
2003-06,129587.27054822432
2003-07,131275.05281883152
2003-08,143110.4128259382
2003-09,136553.75010595872
2003-10,146159.86921356054
2003-11,145874.83081266982
2003-12,146113.58438580972
2004-01,150620.30892584828
2004-02,153506.04911869403
2004-03,155241.54302930844
2004-04,145637.50149063845
2004-05,146494.3892810969
2004-06,153311.05686517557
2004-07,154956.82242932892
2004-08,154133.00582149273
2004-09,161873.2566862373
2004-10,167671.07023779952
2004-11,167244.0654978607
2004-12,166342.6340840513
2005-01,166932.73400507463
2005-02,174717.24601957892
2005-03,181219.2047735201
2005-04,171514.8342826034
2005-05,184229.05145549384
2005-06,199364.29458128053
2005-07,210298.47103450648
2005-08,220870.63114413913
2005-09,237233.4849394095
2005-10,220491.52063064664
2005-11,237476.06194963862
2005-12,247493.26061586838
2006-01,262114.24098154777
2006-02,262654.454715811
2006-03,261707.0833593276
2006-04,265005.2614879833
2006-05,251390.9224271465
2006-06,250495.65761866566
2006-07,250207.80231338533
2006-08,258652.48561679042
2006-09,254742.61675198848
2006-10,266227.5726394963
2006-11,263478.1677882824
2006-12,262372.9835674643
2007-01,266047.06494050036
2007-02,262802.2512627254
2007-03,267967.54550984787
2007-04,278254.3780660512
2007-05,305565.84505259583
2007-06,304032.54332696303
2007-07,298859.23343863286
2007-08,299067.9698270158
2007-09,317499.5891843449
2007-10,340880.21082368126
2007-11,296648.6112924017
2007-12,305707.5897794434
2008-01,283420.55276966636
2008-02,295111.7340944486
2008-03,267600.27026262804
2008-04,291602.18487135594
2008-05,314470.7876885397
2008-06,298335.68185008137
2008-07,280326.91539570276
2008-08,291250.2336574914
2008-09,257484.4566500508
2008-10,210906.92060528565
2008-11,199467.5628596974
2008-12,177361.61705940784
2009-01,185874.22688802084
2009-02,172299.59380994472
2009-03,179156.05767040243
2009-04,204679.10464374753
2009-05,233710.94208769003
2009-06,220537.23000483372
2009-07,246991.83592672
2009-08,241194.52991021483
2009-09,252199.3750200293
2009-10,236741.3154733884
2009-11,250601.92512063813
2009-12,269625.93297554465
2010-01,257627.03129117508
2010-02,280474.03366830084
2010-03,305887.6489547645
2010-04,314228.5385537158
2010-05,316708.1299037882
2010-06,301251.89222185686
2010-07,304171.9681995227
2010-08,306551.7015782164
2010-09,307082.75386317715
2010-10,312027.5625068765
2010-11,336197.43219825043
2010-12,352355.9246761369
2011-01,345400.3581552311
2011-02,366810.0331356859
2011-03,357248.7274680492
2011-04,345716.284903119
2011-05,346352.7672036417
2011-06,335107.09745925677
2011-07,332487.964287626
2011-08,316555.7522406262
2011-09,291111.53919347614
2011-10,310176.9375592025
2011-11,315029.97906254424
2011-12,319635.619247222
2012-01,332660.7941474836
2012-02,337732.91393675085
2012-03,329985.1270426405
2012-04,335353.86909271125
2012-05,319055.95834278513
2012-06,323559.57786569896
2012-07,339022.0197377486
2012-08,344433.7945539511
2012-09,348548.71568900725
2012-10,345760.5373722279
2012-11,344453.6317080043
2012-12,344481.91677278327
2013-01,341690.2338551434
2013-02,347747.21997049067
2013-03,358717.9083187839
2013-04,346466.7207920085
2013-05,346562.6767587407
2013-06,325627.9113894986
2013-07,339469.8467070329
2013-08,337422.1652102287
2013-09,343859.7699613
2013-10,351817.4723226019
2013-11,349556.9150718184
2013-12,350782.27560706466
2014-01,343354.4652527787
2014-02,350982.24538530165
2014-03,357013.84467427124
2014-04,365946.61814735975
2014-05,375533.7661220283
2014-06,396702.5008982418
2014-07,404873.4810588667
2014-08,420098.88317448227
2014-09,412002.99820920645
2014-10,402323.04322780186
2014-11,403820.212984536
2014-12,407297.4315027382
2015-01,401240.5113111627
2015-02,427667.3253901008
2015-03,432588.6976331957
2015-04,444071.1731722966
2015-05,433587.3142200646
2015-06,412855.6962815408
2015-07,406035.4432686099
2015-08,371587.92124450934
2015-09,354696.0237992915
2015-10,376059.96526814194
2015-11,383954.49633606593
2015-12,347057.62583544996
2016-01,337552.2764995421
2016-02,351570.9961796187
2016-03,370005.46674480464
2016-04,394454.53586966346
2016-05,389518.9693886236
2016-06,393122.4817272807
2016-07,406228.9287069918
2016-08,406987.78687684727
2016-09,410735.31391981605
2016-10,415307.0893921689
2016-11,437820.4247828226
2016-12,449826.4750007436
2017-01,457552.4551402418
2017-02,457190.57748084824
2017-03,455417.9857190858
2017-04,436253.57042252866
2017-05,424149.9113755988
2017-06,430147.6533343353
2017-07,435338.7798596345
2017-08,432511.938452024
2017-09,449486.70664016175
2017-10,455268.3154295637
2017-11,450151.71510331857
2017-12,462199.17958994687
2018-01,449328.18011531385
2018-02,424845.8909417136
2018-03,417551.3727089337
2018-04,436610.0473740413
2018-05,459908.71664892894
2018-06,462856.4899427704
2018-07,471101.4063527995
2018-08,467796.3058433957
2018-09,470681.2804617755
2018-10,444100.34445258393
2018-11,444010.2424711926
2018-12,403964.822777221
2019-01,455365.6268824213
2019-02,471157.9349453008
2019-03,475906.7239498977
2019-04,491421.2813572953
2019-05,474826.9273534701
2019-06,493830.4692254936
2019-07,501296.2147499085
2019-08,500873.50464646914
2019-09,519453.61714131164
2019-10,506318.9203436263
2019-11,527131.7052980558
2019-12,529065.7331530207
2020-01,535889.1159237508
2020-02,500397.3813522584
2020-03,394020.9113132626
2020-04,446287.4858654886
2020-05,450241.85077156173
2020-06,464292.68428109144
2020-07,465412.2638110179
2020-08,486756.01999012736
2020-09,472369.3673110888
2020-10,457398.8999472552
2020-11,508498.96719141275
2020-12,514447.616032686
2021-01,514925.18072743464
2021-02,544501.0244554441
2021-03,591143.8804495526
2021-04,599335.0617232467
2021-05,626061.7214277822
2021-06,642860.1389782542
2021-07,642124.3758194308
2021-08,646776.9017039331
2021-09,644183.1048652416
2021-10,689681.3624673573
2021-11,672505.4966026356
2021-12,707116.2808177652
2022-01,712122.1795069844
2022-02,710871.6437330105
2022-03,755783.8228250694
2022-04,738276.6197352445
2022-05,737286.6824385219
2022-06,681853.1892816398
2022-07,728919.2693053564
2022-08,713656.0445376536
2022-09,670351.9395575626
2022-10,702671.2167325991
2022-11,712481.0729530711
2022-12,659509.463365018
2023-01,708382.6929562051
2023-02,691471.0071569828
2023-03,676242.872782999
2023-04,690080.2919234053
