Date,MSCI World High Dividend Yield
2009-04,27124.595792643882
2009-05,28480.443776608052
2009-06,28202.036568746127
2009-07,31116.580598417357
2009-08,32302.004724759285
2009-09,32993.651704790216
2009-10,32362.053116523166
2009-11,33103.8244112618
2009-12,35157.19053006837
2010-01,34506.14624127595
2010-02,35493.169694338096
2010-03,37690.25059974002
2010-04,37955.29072072038
2010-05,36699.63010377865
2010-06,36271.75089837132
2010-07,37147.44149635004
2010-08,37651.545135335335
2010-09,37999.40549542356
2010-10,38706.811582885784
2010-11,39218.647074495995
2010-12,40639.70251304763
2011-01,40357.5971417124
2011-02,41385.27145567943
2011-03,40557.42609374748
2011-04,41104.34109488295
2011-05,41938.275417328055
2011-06,41211.61131258942
2011-07,41004.52680858042
2011-08,38877.81986961104
2011-09,38992.61765904402
2011-10,40614.18477123441
2011-11,41646.47165143518
2011-12,43997.791333731424
2012-01,43420.040193411594
2012-02,44374.64218481804
2012-03,44906.87207676974
2012-04,45276.53476842743
2012-05,44696.94881426513
2012-06,47008.10910200292
2012-07,49478.224189354936
2012-08,48877.096169213364
2012-09,48845.33883415475
2012-10,48440.57089832063
2012-11,48911.76823633637
2012-12,48886.42962555341
2013-01,50152.36926235743
2013-02,51936.98829249353
2013-03,54753.14742461098
2013-04,56078.20443250015
2013-05,54654.892432857516
2013-06,53053.15278007807
2013-07,54791.10506297672
2013-08,53654.503560031175
2013-09,55155.55269586073
2013-10,56837.53392345965
2013-11,57290.79375315348
2013-12,57475.44097041133
2014-01,56373.31651078807
2014-02,58332.67310574852
2014-03,59073.0459657126
2014-04,60528.293184017864
2014-05,62296.09772066976
2014-06,63010.06931570234
2014-07,63168.005285679115
2014-08,65028.03552042649
2014-09,66065.520348771
2014-10,66162.9478457886
2014-11,67325.30307453909
2014-12,67429.63280392524
2015-01,71565.73790938425
2015-02,75011.85566851308
2015-03,76415.90068413023
2015-04,76007.65170856318
2015-05,77187.11888984863
2015-06,73062.8681565897
2015-07,75844.56166301685
2015-08,69751.06754677289
2015-09,68086.82797412721
2015-10,74614.46624007824
2015-11,76598.61087087233
2015-12,73407.97356517072
2016-01,70668.06192779115
2016-02,71449.89528046557
2016-03,73014.64631460229
2016-04,74467.05001574247
2016-05,76243.94518190587
2016-06,77367.83269105318
2016-07,79194.84067286085
2016-08,78679.72510361875
2016-09,79082.8823266938
2016-10,78264.23808280088
2016-11,80497.0600940234
2016-12,83607.48585412848
2017-01,83071.68221813052
2017-02,86936.41864449342
2017-03,87521.6172534246
2017-04,86252.30392314547
2017-05,86438.60538476853
2017-06,84876.7946791209
2017-07,83992.0747212703
2017-08,83491.85421087028
2017-09,85814.13635246921
2017-10,87384.36892487702
2017-11,87816.07778017766
2017-12,87574.54462888525
2018-01,87475.89442536845
2018-02,84847.85937150642
2018-03,82748.1888765514
2018-04,85158.03081427468
2018-05,86958.53042545606
2018-06,87559.95265736706
2018-07,90237.54398502663
2018-08,91005.62785706493
2018-09,92555.68886312559
2018-10,90377.48295132387
2018-11,92386.24098964744
2018-12,85585.79298041067
2019-01,90204.54784194475
2019-02,93627.36320923231
2019-03,96480.39834616809
2019-04,98309.7633757938
2019-05,94446.92843256291
2019-06,98543.77854812682
2019-07,99978.91053095284
2019-08,99450.44055964919
2019-09,104308.90296646289
2019-10,104341.33149286025
2019-11,107611.145021088
2019-12,108464.593521958
2020-01,107274.98441781336
2020-02,98213.15735220372
2020-03,87205.38641647546
2020-04,95030.82242771218
2020-05,94862.95193769893
2020-06,95012.39345361848
2020-07,92095.02131043006
2020-08,94438.41072465463
2020-09,93935.43151601567
2020-10,91062.21100234716
2020-11,99423.21505649315
2020-12,100242.35217409034
2021-01,100098.24699701833
2021-02,101565.92451977867
2021-03,111614.12813577772
2021-04,110734.56581504161
2021-05,112902.1152813412
2021-06,114975.81044952321
2021-07,116224.19646749664
2021-08,118104.3482888904
2021-09,115786.49652311308
2021-10,118133.00512493656
2021-11,117435.70280558028
2021-12,126865.3751845483
2022-01,127958.69192705154
2022-02,125850.1647360069
2022-03,130031.16695062001
2022-04,132448.6353626355
2022-05,131852.87175554025
2022-06,127183.62982308479
2022-07,132970.61085365855
2022-08,130223.14191808306
2022-09,123562.24640091603
2022-10,130655.27206821293
2022-11,134896.21081677882
2022-12,129419.30250090559
2023-01,131026.79291815415
2023-02,129326.7123554106
2023-03,129382.97199861651
2023-04,130645.27355662774
2023-05,128444.90006313397
2023-06,132557.34039697435
