Date,S&P 500
2009-05,28122.048075638548
2009-06,28106.109272677022
2009-07,30223.317850870575
2009-08,31020.47264920666
2009-09,31362.81113699437
2009-10,30453.688672134493
2009-11,31801.20243830518
2009-12,33803.79860101283
2010-01,33614.46247457967
2010-02,35667.01017282256
2010-03,38074.736889437816
2010-04,39152.166307088155
2010-05,38976.52744228422
2010-06,37044.520371560226
2010-07,37336.580972215525
2010-08,36629.6468728334
2010-09,37068.6788467851
2010-10,37898.86058130066
2010-11,40408.58336054325
2010-12,41934.80776964689
2011-01,41894.03614267691
2011-02,42884.52421057183
2011-03,41775.20780700845
2011-04,41122.249113876685
2011-05,41999.27378152754
2011-06,41104.87273701377
2011-07,40814.09767802413
2011-08,38089.40722571029
2011-09,37895.38655103759
2011-10,40541.83992800663
2011-11,42209.923074060185
2011-12,44220.273896058265
2012-01,45370.90021675304
2012-02,46392.71039037369
2012-03,48231.54331393435
2012-04,48443.99200394809
2012-05,48509.69107375338
2012-06,49758.20776691747
2012-07,51705.99974411996
2012-08,51499.67303123254
2012-09,51527.16210283268
2012-10,50330.4775582332
2012-11,50649.65013096342
2012-12,50305.528974354515
2013-01,51521.01658473039
2013-02,53894.961810709035
2013-03,57331.01011694862
2013-04,57242.02853436367
2013-05,58878.19740277958
2013-06,57758.94421380059
2013-07,59806.48209966141
2013-08,58249.925209722256
2013-09,58875.457017134955
2013-10,60967.83233183217
2013-11,62964.23729032451
2013-12,63715.72525354884
2014-01,62764.24015938076
2014-02,64224.18080002153
2014-03,64881.3223158635
2014-04,65068.30076013523
2014-05,67785.15869094236
2014-06,68927.0076252774
2014-07,69393.94970425921
2014-08,73215.38183992346
2014-09,75659.57982293481
2014-10,77872.68476363232
2014-11,80229.6490946457
2014-12,82281.83035112746
2015-01,85713.74060605608
2015-02,91164.1916919498
2015-03,93733.56563875942
2015-04,90785.14292758708
2015-05,94006.14894401701
2015-06,90381.92538660564
2015-07,94143.5082104709
2015-08,86507.22112462565
2015-09,84457.09292036091
2015-10,93127.60021443068
2015-11,97271.68657359488
2015-12,93029.0473400996
2016-01,88145.46775061969
2016-02,88285.25910265525
2016-03,90158.85027076148
2016-04,90365.61759920364
2016-05,94041.86464365873
2016-06,94727.26371003037
2016-07,98122.44832841988
2016-08,98092.57942580801
2016-09,97855.9861069339
2016-10,97958.06446732307
2016-11,104556.63726649218
2016-12,107574.05309080001
2017-01,107433.2506890623
2017-02,113364.64866406668
2017-03,112498.78373369783
2017-04,111168.99927821243
2017-05,109809.85361581344
2017-06,108645.9252986847
2017-07,107901.62828036687
2017-08,107335.05397738262
2017-09,109725.4374920121
2017-10,113906.76227661093
2017-11,115309.63716797263
2017-12,115191.7734755323
2018-01,117250.59724179508
2018-02,115175.98376271766
2018-03,111274.0871209013
2018-04,113938.96098767356
2018-05,120472.88945259969
2018-06,121640.63274996902
2018-07,125328.92670893228
2018-08,130356.7781939615
2018-09,131948.15421865127
2018-10,125731.73732401438
2018-11,127830.83777741964
2018-12,115364.79139345147
2019-01,124197.35471944521
2019-02,128993.59461161244
2019-03,133618.6273061136
2019-04,139239.43869351596
2019-05,131174.49245773104
2019-06,137593.57976994404
2019-07,142437.50223542243
2019-08,141641.8466415389
2019-09,146239.98744519314
2019-10,145857.73335791688
2019-11,153519.5739702743
2019-12,154605.55398945123
2020-01,157089.91020089062
2020-02,145143.4264082307
2020-03,127460.09206037801
2020-04,144857.45506297878
2020-05,148213.47863941544
2020-06,150324.24503725188
2020-07,150088.267773964
2020-08,159637.00180717173
2020-09,156614.33628777092
2020-10,152579.8676496115
2020-11,165297.0491800937
2020-12,167581.83983784437
2021-01,167735.2464011327
2021-02,172573.76153343054
2021-03,186215.49190584407
2021-04,190357.6741665408
2021-05,189817.58785578984
2021-06,199430.45127707993
2021-07,204047.60406369797
2021-08,211264.50676924916
2021-09,205874.93450898438
2021-10,219050.23124671952
2021-11,222931.0604849977
2021-12,233682.94372520587
2022-01,224967.2879732875
2022-02,217393.35106870154
2022-03,227455.58219174607
2022-04,218671.88539007842
2022-05,215535.21603835397
2022-06,203950.42410264228
2022-07,226883.90453305707
2022-08,221940.37035095043
2022-09,206708.83301550976
2022-10,219702.89608303516
2022-11,221651.79412058406
2022-12,203202.08379100237
2023-01,212640.77523455222
2023-02,211633.08209762216
2023-03,214238.2464260528
2023-04,215481.94323618317
