Date,FTSE EPRA/NAREIT Developed
2007-05,55510.98797023346
2007-06,51263.37646003775
2007-07,48069.843718470634
2007-08,49674.11012265712
2007-09,50461.70622296938
2007-10,50883.93032565264
2007-11,46283.72465251442
2007-12,44054.82583677062
2008-01,41651.11142763515
2008-02,39883.51096267382
2008-03,38359.615286805114
2008-04,41482.59215858174
2008-05,40539.99536794233
2008-06,35276.08303514759
2008-07,35913.30809538142
2008-08,37271.832664365844
2008-09,35449.41714045967
2008-10,28324.385407679452
2008-11,24199.181850059904
2008-12,24223.25603135325
2009-01,22896.95382809992
2009-02,19292.678516466352
2009-03,19758.0509594677
2009-04,23887.698981326015
2009-05,25187.519585156664
2009-06,25417.335423503133
2009-07,27663.086166152276
2009-08,29420.68658657637
2009-09,30507.913650985796
2009-10,29892.355353915973
2009-11,29926.79995176645
2009-12,32447.551919189562
2010-01,31575.696184350596
2010-02,33135.888318169265
2010-03,35769.974123681044
2010-04,37321.83288705202
2010-05,37052.202056566566
2010-06,36399.050999477135
2010-07,37510.722617199805
2010-08,38242.20735649757
2010-09,38680.542642046385
2010-10,39584.25037059656
2010-11,40508.143374231135
2010-12,41784.44535479829
2011-01,41430.74007579607
2011-02,42319.077365520476
2011-03,40702.40349866743
2011-04,40887.77469462618
2011-05,42412.225928524735
2011-06,41012.40487932173
2011-07,41681.481933266754
2011-08,38986.09955846191
2011-09,36650.53360098761
2011-10,39709.80648534184
2011-11,38853.13600331868
2011-12,40669.440388896546
2012-01,43460.56393084491
2012-02,44025.93681921861
2012-03,44757.79193053628
2012-04,46092.24231822735
2012-05,46213.72434075378
2012-06,47961.880274670475
2012-07,51207.07991301331
2012-08,50131.14919521076
2012-09,49916.1482376602
2012-10,49972.815156704535
2012-11,50291.70546583637
2012-12,51518.00722371735
2013-01,51616.52618101012
2013-02,53980.79597002649
2013-03,56205.80587956137
2013-04,58739.15475493923
2013-05,55143.04581300959
2013-06,53508.90542392137
2013-07,53011.60476464714
2013-08,51090.04781771297
2013-09,52635.64392356228
2013-10,53900.73476160574
2013-11,51969.96173658884
2013-12,51454.64353410684
2014-01,52444.093200081756
2014-02,53318.28977867947
2014-03,53508.59618180336
2014-04,54828.226392378645
2014-05,57518.32052140899
2014-06,58106.531196680604
2014-07,59657.82764273237
2014-08,61524.04778765728
2014-09,60185.796457111996
2014-10,64719.674020029655
2014-11,65609.95172580352
2014-12,67904.391500114
2015-01,76414.286048811
2015-02,76449.44796467104
2015-03,79696.22388781194
2015-04,75227.03292780404
2015-05,75803.1899567997
2015-06,71695.67097794203
2015-07,74810.62481398643
2015-08,69419.87736075009
2015-09,70546.95323226393
2015-10,75369.96006435917
2015-11,77122.11673831621
2015-12,75681.30845101262
2016-01,72715.14153073625
2016-02,72715.14153073625
2016-03,75916.25236548999
2016-04,75461.04853119013
2016-05,77604.91175079586
2016-06,80585.76266572707
2016-07,84065.86939892264
2016-08,82201.00207775878
2016-09,80673.86663365606
2016-10,77986.69561182152
2016-11,78397.84746215686
2016-12,81143.75446261074
2017-01,79616.61901850805
2017-02,83493.19360738414
2017-03,81687.0622648396
2017-04,81114.38647330109
2017-05,79220.15116282756
2017-06,78706.21134990838
2017-07,77516.80778286685
2017-08,76988.18397529282
2017-09,77164.39191115083
2017-10,77927.95963320218
2017-11,78236.32352095368
2017-12,78706.21134990838
2018-01,75842.83239221582
2018-02,72274.62169109122
2018-03,73317.18531158441
2018-04,76092.46030134798
2018-05,80042.45486349823
2018-06,81143.75446261074
2018-07,81598.9582969106
2018-08,82803.04585860696
2018-09,81217.17443588491
2018-10,80115.8748367724
2018-11,83126.09374101329
2018-12,77693.01571872484
2019-01,85798.580768193
2019-02,86297.83658645737
2019-03,90570.87903101396
2019-04,89513.63141586594
2019-05,89719.20734103359
2019-06,89131.84755484026
2019-07,91437.23471564915
2019-08,94139.08973213853
2019-09,97281.46458827294
2019-10,97398.93654551159
2019-11,97310.8325775826
2019-12,96018.64104795725
2020-01,98030.34831566946
2020-02,90717.7189775623
2020-03,70101.39048217586
2020-04,75167.36863809345
2020-05,74139.4890122551
2020-06,75314.20858464179
2020-07,73464.02525813277
2020-08,74462.53689466145
2020-09,73552.12922606178
2020-10,71525.7379636947
2020-11,78823.68330714703
2020-12,79734.09097574673
2021-01,79616.61901850805
2021-02,82612.1539280941
2021-03,87707.5000733214
2021-04,91084.81884393314
2021-05,91246.34278513631
2021-06,94770.50150229639
2021-07,98368.08019273062
2021-08,100071.42357269135
2021-09,95959.90506933791
2021-10,101818.81893661655
2021-11,102288.7067655712
2021-12,107618.99682527581
2022-01,102832.01456780006
2022-02,100071.42357269135
2022-03,105475.1336056701
2022-04,105122.7177339541
2022-05,98984.80796823364
2022-06,92567.90230407134
2022-07,102420.86271746471
2022-08,97061.20466845043
2022-09,87193.56026040221
2022-10,88970.32361363708
2022-11,91099.50283858797
2022-12,85387.42891785769
2023-01,91393.18273168465
2023-02,89425.52744793693
2023-03,84374.23328667415
2023-04,84550.44122253214
