Date,BEL 20
2006-10,43482.11541359048
2006-11,43439.20445984632
2006-12,46061.05167997589
2007-01,46557.480789513334
2007-02,45209.763447340665
2007-03,46957.42052131987
2007-04,48965.436191050176
2007-05,50588.15729998493
2007-06,49971.010998945305
2007-07,47225.25237306012
2007-08,47021.84722012957
2007-09,46745.87916227211
2007-10,48024.70995931897
2007-11,45004.791321380144
2007-12,44655.838481241524
2008-01,40295.615488925716
2008-02,40673.316257345185
2008-03,40266.26487871026
2008-04,42905.16799758927
2008-05,42069.60976344734
2008-06,35540.274220280255
2008-07,33590.236552659335
2008-08,35178.84586409522
2008-09,29998.433026970015
2008-10,23576.917281904476
2008-11,21246.22570438451
2008-12,21583.9686605394
2009-01,21515.805333735123
2009-02,19211.33042037065
2009-03,19801.958716287478
2009-04,22439.837275877657
2009-05,23997.2276631008
2009-06,23610.185324694892
2009-07,25216.212144040983
2009-08,27504.17357239717
2009-09,28934.51860780473
2009-10,27853.00587614886
2009-11,28185.626035859575
2009-12,29328.009642910954
2010-01,29283.290643362965
2010-02,29396.414042489076
2010-03,30957.8423986741
2010-04,30182.070212445382
2010-05,29423.293656772643
2010-06,28621.786951936116
2010-07,30190.02561398222
2010-08,29472.412234443273
2010-09,31058.79162272111
2010-10,32160.55446737984
2010-11,30178.273316257346
2010-12,31112.43031490131
2011-01,31872.29169805635
2011-02,32698.267289437998
2011-03,32155.733011902965
2011-04,33758.204007834865
2011-05,33273.165586861534
2011-06,31930.209431972282
2011-07,30122.886846466776
2011-08,28160.6147355733
2011-09,26519.933704987194
2011-10,26630.586108181407
2011-11,25968.961880367635
2011-12,26124.393551303296
2012-01,27710.230525839987
2012-02,28577.36929335543
2012-03,29182.52222389634
2012-04,28344.01084827482
2012-05,27164.26096127768
2012-06,28936.808799156246
2012-07,29550.097935814374
2012-08,30482.50715684798
2012-09,31056.26035859575
2012-10,31002.440861835166
2012-11,31908.814223293655
2012-12,32458.520415850537
2013-01,33080.00602681935
2013-02,33720.71719150218
2013-03,34022.841645321685
2013-04,35337.290944703935
2013-05,35877.53503088745
2013-06,34215.760132590025
2013-07,36065.511526292
2013-08,36245.05047461202
2013-09,38056.652101853244
2013-10,39442.880819647435
2013-11,39289.49826728944
2013-12,40052.312791924065
2014-01,39643.63417206569
2014-02,42463.52267590779
2014-03,42916.49841795992
2014-04,42822.90191351514
2014-05,44356.245291547384
2014-06,43937.14027422028
2014-07,43537.08000602682
2014-08,44898.116618954344
2014-09,45362.302244990206
2014-10,44595.871628747926
2014-11,46539.58113605544
2014-12,46589.664004821454
2015-01,50105.10772939581
2015-02,52718.4571342474
2015-03,52879.975892722614
2015-04,52490.10094922405
2015-05,53836.19105017327
2015-06,52029.5916829893
2015-07,54765.04444779268
2015-08,50451.52930540907
2015-09,48749.31444929938
2015-10,52693.20476118729
2015-11,55164.56230224499
2015-12,54371.85475365376
2016-01,51280.156697303
2016-02,49597.34819948772
2016-03,49615.30812113907
2016-04,50626.18653005876
2016-05,52896.790718698205
2016-06,50374.144945005275
2016-07,52168.99201446437
2016-08,53660.38872984782
2016-09,53730.781979810155
2016-10,53727.04535181558
2016-11,52990.44749133645
2016-12,55015.15745065542
2017-01,54078.58972427301
2017-02,54717.67364773241
2017-03,58273.07518457133
2017-04,59335.30209431971
2017-05,60805.06252825072
2017-06,59324.09221033599
2017-07,61651.58957360254
2017-08,60944.52312791924
2017-09,63019.4967605846
2017-10,64452.79493747175
2017-11,62918.8488775049
2017-12,62907.880066295016
2018-01,65071.930088895584
2018-02,63217.17643513636
2018-03,61051.31836673195
2018-04,62460.32846165436
2018-05,61000.45201145096
2018-06,60329.305409070366
2018-07,63235.31716136809
2018-08,60837.547084526144
2018-09,60319.300888955855
2018-10,56300.497212596056
2018-11,57148.89257194516
2018-12,53229.41087840892
2019-01,57350.48967907186
2019-02,59204.218773542256
2019-03,60105.770679523885
2019-04,62175.5612475516
2019-05,57684.074129877954
2019-06,59752.177188488764
2019-07,62345.5778213048
2019-08,60364.98417959922
2019-09,62828.506855507
2019-10,63654.542715082105
2019-11,66295.85656169956
2019-12,67187.04233840591
2020-01,66423.56486364322
2020-02,59301.00949224047
2020-03,49332.7105620009
2020-04,52794.153985234305
2020-05,55021.78695193612
2020-06,57272.803977700765
2020-07,56332.49962332379
2020-08,57385.143890311876
2020-09,55713.243935513034
2020-10,52457.073979207475
2020-11,63473.61759831249
2020-12,62742.865752599064
2021-01,62832.78589724273
2021-02,65344.70393249962
2021-03,67743.92044598464
2021-04,69950.0376676209
2021-05,71432.21334940485
2021-06,72880.81964743107
2021-07,74197.25779719753
2021-08,76154.94952538797
2021-09,73503.45035407564
2021-10,75678.22811511224
2021-11,73138.16483350912
2021-12,76718.93927979509
2022-01,72535.54316709355
2022-02,71503.99276781679
2022-03,74097.2728642459
2022-04,73384.17959921651
2022-05,70662.10637336146
2022-06,67118.93927979509
2022-07,69211.0893475968
2022-08,65406.71990357089
2022-09,61510.1401235498
2022-10,65262.37758023203
2022-11,67578.48425493445
2022-12,67922.6156395962
2023-01,70911.85776706343
2023-02,71692.3308723821
2023-03,69689.3777309025
2023-04,70124.6948922706
