Date,Gold spot price (EUR Hedged)
1975-02,51633.52272727272
1975-03,50355.11363636363
1975-04,47443.181818181816
1975-05,47443.181818181816
1975-06,47230.11363636363
1975-07,47357.954545454544
1975-08,45397.72727272727
1975-09,40127.840909090904
1975-10,40596.590909090904
1975-11,39247.15909090909
1975-12,39843.75
1976-01,36406.25
1976-02,37585.22727272727
1976-03,36818.181818181816
1976-04,36477.27272727273
1976-05,35653.40909090909
1976-06,35170.454545454544
1976-07,31960.22727272727
1976-08,29545.454545454544
1976-09,32954.54545454545
1976-10,34985.79545454545
1976-11,37002.840909090904
1976-12,38210.22727272727
1977-01,37585.22727272727
1977-02,40553.97727272727
1977-03,42301.13636363636
1977-04,41832.38636363636
1977-05,40610.79545454545
1977-06,40625
1977-07,40937.5
1977-08,41477.27272727272
1977-09,43764.204545454544
1977-10,45880.681818181816
1977-11,45468.74999999999
1977-12,46860.79545454545
1978-01,49928.97727272727
1978-02,51775.56818181818
1978-03,51590.90909090909
1978-04,48536.931818181816
1978-05,52315.340909090904
1978-06,52002.840909090904
1978-07,56889.204545454544
1978-08,59289.77272727272
1978-09,61676.13636363636
1978-10,68920.45454545454
1978-11,54943.181818181816
1978-12,64204.54545454545
1979-01,66392.04545454546
1979-02,71392.04545454546
1979-03,68210.22727272726
1979-04,69687.5
1979-05,78011.36363636363
1979-06,78835.22727272726
1979-07,84218.75
1979-08,89517.04545454544
1979-09,112855.11363636363
1979-10,108522.72727272726
1979-11,118082.38636363635
1979-12,148863.63636363635
1980-01,185511.36363636362
1980-02,180965.9090909091
1980-03,140482.95454545453
1980-04,147159.0909090909
1980-05,152130.6818181818
1980-06,185653.4090909091
1980-07,174502.84090909088
1980-08,179332.38636363635
1980-09,189417.61363636362
1980-10,178693.1818181818
1980-11,176065.34090909088
1980-12,167471.59090909088
1981-01,143892.04545454544
1981-02,138920.45454545453
1981-03,145951.70454545453
1981-04,137144.88636363635
1981-05,136150.56818181818
1981-06,121022.72727272726
1981-07,115340.90909090909
1981-08,120738.63636363635
1981-09,121803.97727272726
1981-10,121306.81818181818
1981-11,117755.68181818181
1981-12,113636.36363636363
1982-01,109943.18181818181
1982-02,103011.36363636363
1982-03,90909.0909090909
1982-04,102627.8409090909
1982-05,92400.56818181818
1982-06,90198.86363636363
1982-07,97414.77272727272
1982-08,116903.40909090909
1982-09,112784.0909090909
1982-10,120241.47727272726
1982-11,123863.63636363635
1982-12,127272.72727272726
1983-01,141903.4090909091
1983-02,116051.13636363635
1983-03,117826.70454545453
1983-04,121946.02272727272
1983-05,124289.77272727272
1983-06,118181.81818181818
1983-07,119886.36363636363
1983-08,117684.65909090909
1983-09,115056.81818181818
1983-10,108522.72727272726
1983-11,115056.81818181818
1983-12,108380.68181818181
1984-01,106178.97727272726
1984-02,112002.8409090909
1984-03,110369.31818181818
1984-04,106761.36363636363
1984-05,109161.93181818181
1984-06,105980.11363636363
1984-07,97258.52272727272
1984-08,98934.65909090909
1984-09,97656.24999999999
1984-10,94744.31818181818
1984-11,93465.90909090909
1984-12,87585.22727272726
1985-01,87116.47727272726
1985-02,81747.15909090909
1985-03,93536.93181818181
1985-04,91292.61363636363
1985-05,89204.54545454544
1985-06,90269.88636363635
1985-07,93039.77272727272
1985-08,94673.29545454544
1985-09,92542.61363636363
1985-10,92357.95454545454
1985-11,92414.77272727272
1985-12,92897.72727272726
1986-01,99573.86363636363
1986-02,96065.3409090909
1986-03,97727.27272727272
1986-04,98224.43181818181
1986-05,97499.99999999999
1986-06,98508.52272727272
1986-07,101562.49999999999
1986-08,109289.77272727272
1986-09,120227.27272727272
1986-10,113920.45454545453
1986-11,110653.40909090909
1986-12,111051.13636363635
1987-01,113778.40909090909
1987-02,115298.29545454544
1987-03,119602.27272727272
1987-04,128764.20454545453
1987-05,128124.99999999999
1987-06,127073.86363636363
1987-07,131392.04545454544
1987-08,128806.81818181818
1987-09,130539.77272727272
1987-10,133181.81818181818
1987-11,139914.7727272727
1987-12,138210.22727272726
1988-01,130113.63636363635
1988-02,121065.3409090909
1988-03,129815.3409090909
1988-04,127556.81818181818
1988-05,129403.40909090907
1988-06,124019.88636363635
1988-07,124090.90909090907
1988-08,121519.88636363635
1988-09,112698.86363636363
1988-10,117159.0909090909
1988-11,120056.81818181818
1988-12,116519.88636363635
1989-01,111931.81818181818
1989-02,109943.18181818181
1989-03,108863.63636363635
1989-04,107258.52272727272
1989-05,102784.0909090909
1989-06,105965.90909090909
1989-07,104630.68181818181
1989-08,102215.90909090909
1989-09,104119.31818181818
1989-10,106619.31818181818
1989-11,115951.70454545453
1989-12,113920.45454545453
1990-01,117911.93181818181
1990-02,115823.86363636363
1990-03,104687.49999999999
1990-04,104474.43181818181
1990-05,103139.20454545454
1990-06,100056.81818181818
1990-07,105767.04545454544
1990-08,110156.24999999999
1990-09,116022.72727272726
1990-10,107812.49999999999
1990-11,109332.38636363635
1990-12,111079.54545454544
1991-01,103977.27272727272
1991-02,103039.77272727272
1991-03,101036.93181818181
1991-04,101633.52272727272
1991-05,102386.36363636363
1991-06,104644.88636363635
1991-07,103082.38636363635
1991-08,98693.18181818181
1991-09,100823.86363636363
1991-10,101548.29545454544
1991-11,104062.49999999999
1991-12,100397.72727272726
1992-01,100596.5909090909
1992-02,100312.49999999999
1992-03,97073.86363636363
1992-04,95553.97727272726
1992-05,95880.68181818181
1992-06,97556.81818181818
1992-07,101661.93181818181
1992-08,96590.90909090909
1992-09,99147.72727272726
1992-10,96377.8409090909
1992-11,94943.18181818181
1992-12,94573.86363636363
1993-01,93877.8409090909
1993-02,93068.18181818181
1993-03,95965.90909090909
1993-04,100653.40909090909
1993-05,107230.11363636363
1993-06,107514.20454545453
1993-07,114133.52272727272
1993-08,105553.97727272726
1993-09,100994.31818181818
1993-10,104999.99999999999
1993-11,105369.31818181818
1993-12,110980.11363636363
1994-01,107357.95454545453
1994-02,108394.88636363635
1994-03,110568.18181818181
1994-04,106946.02272727272
1994-05,110113.63636363635
1994-06,110298.29545454544
1994-07,109090.90909090909
1994-08,109588.06818181818
1994-09,112173.29545454544
1994-10,109048.29545454544
1994-11,108835.22727272726
1994-12,108664.77272727272
1995-01,106505.68181818181
1995-02,106931.81818181818
1995-03,111363.63636363635
1995-04,110724.43181818181
1995-05,109176.13636363635
1995-06,109957.38636363635
1995-07,108906.24999999999
1995-08,108622.15909090909
1995-09,109090.90909090909
1995-10,108707.38636363635
1995-11,110170.45454545453
1995-12,109857.95454545453
1996-01,115213.06818181818
1996-02,113821.02272727272
1996-03,112599.43181818181
1996-04,111164.77272727272
1996-05,110951.70454545453
1996-06,108522.72727272726
1996-07,109460.22727272726
1996-08,109786.93181818181
1996-09,107670.45454545453
1996-10,107812.49999999999
1996-11,105482.95454545454
1996-12,104985.79545454544
1997-01,98153.40909090909
1997-02,101874.99999999999
1997-03,98906.24999999999
1997-04,96633.52272727272
1997-05,98181.81818181818
1997-06,95042.61363636363
1997-07,92713.06818181818
1997-08,92428.97727272726
1997-09,94346.5909090909
1997-10,88465.90909090909
1997-11,84318.18181818181
1997-12,82159.0909090909
1998-01,86605.11363636363
1998-02,84488.63636363635
1998-03,85511.36363636363
1998-04,88267.04545454544
1998-05,83409.0909090909
1998-06,84176.13636363635
1998-07,82059.65909090909
1998-08,77670.45454545454
1998-09,83480.11363636363
1998-10,83039.77272727272
1998-11,83721.5909090909
1998-12,81661.93181818181
1999-01,81079.54545454544
1999-02,81548.29545454544
1999-03,79389.20454545454
1999-04,81420.45454545454
1999-05,76306.81818181818
1999-06,74147.72727272726
1999-07,72613.63636363635
1999-08,72386.36363636363
1999-09,84943.18181818181
1999-10,84971.5909090909
1999-11,82769.88636363635
1999-12,82457.38636363635
2000-01,80482.95454545454
2000-02,83423.29545454544
2000-03,78622.15909090909
2000-04,78139.20454545454
2000-05,77343.75
2000-06,81860.79545454544
2000-07,78622.15909090909
2000-08,78693.18181818181
2000-09,77741.47727272726
2000-10,75142.04545454544
2000-11,76448.86363636363
2000-12,77457.38636363635
2001-01,75142.04545454544
2001-02,75767.04545454544
2001-03,73210.22727272726
2001-04,74758.52272727272
2001-05,75994.31818181818
2001-06,76875
2001-07,75539.77272727272
2001-08,77556.81818181818
2001-09,83267.04545454544
2001-10,79190.3409090909
2001-11,78267.04545454544
2001-12,78551.13636363635
2002-01,80198.86363636363
2002-02,84332.38636363635
2002-03,85625
2002-04,87556.81818181818
2002-05,92784.0909090909
2002-06,90482.95454545454
2002-07,86548.29545454544
2002-08,88863.63636363635
2002-09,91960.22727272726
2002-10,90028.40909090909
2002-11,90639.20454545454
2002-12,97372.15909090909
2003-01,104403.40909090909
2003-02,98707.38636363635
2003-03,95127.8409090909
2003-04,95667.61363636363
2003-05,102670.45454545454
2003-06,98295.45454545454
2003-07,100781.24999999999
2003-08,106704.54545454544
2003-09,110227.27272727272
2003-10,109730.11363636363
2003-11,113167.61363636363
2003-12,118536.93181818181
2004-01,113565.3409090909
2004-02,112457.38636363635
2004-03,120369.31818181818
2004-04,110369.31818181818
2004-05,111718.74999999999
2004-06,112443.18181818181
2004-07,111193.18181818181
2004-08,115696.02272727272
2004-09,118082.38636363635
2004-10,120894.88636363635
2004-11,128806.81818181818
2004-12,124431.81818181818
2005-01,119928.97727272726
2005-02,123707.38636363635
2005-03,121448.86363636363
2005-04,123778.40909090907
2005-05,117741.47727272726
2005-06,124176.13636363635
2005-07,121874.99999999999
2005-08,123082.38636363635
2005-09,134446.0227272727
2005-10,133735.79545454544
2005-11,140809.6590909091
2005-12,145738.63636363635
2006-01,161576.70454545453
2006-02,157954.54545454544
2006-03,165340.9090909091
2006-04,182954.54545454544
2006-05,185511.36363636362
2006-06,174289.7727272727
2006-07,179687.5
2006-08,177130.6818181818
2006-09,170241.47727272726
2006-10,171519.88636363635
2006-11,183721.59090909088
2006-12,180596.59090909088
2007-01,184801.13636363635
2007-02,188693.1818181818
2007-03,187997.1590909091
2007-04,192329.54545454544
2007-05,187244.31818181818
2007-06,184801.13636363635
2007-07,189062.49999999997
2007-08,190909.09090909088
2007-09,211079.54545454544
2007-10,224289.7727272727
2007-11,222585.22727272726
2007-12,237642.04545454544
2008-01,262286.9318181818
2008-02,275994.3181818182
2008-03,265198.8636363636
2008-04,247443.1818181818
2008-05,251633.5227272727
2008-06,264275.5681818182
2008-07,260795.45454545453
2008-08,236647.72727272726
2008-09,251278.40909090906
2008-10,207599.4318181818
2008-11,231392.04545454544
2008-12,245738.63636363635
2009-01,261221.59090909088
2009-02,270454.5454545454
2009-03,260369.31818181815
2009-04,250923.29545454544
2009-05,277130.6818181818
2009-06,265482.95454545453
2009-07,266761.3636363636
2009-08,271448.8636363636
2009-09,282883.5227272727
2009-10,295454.5454545454
2009-11,334019.88636363635
2009-12,313636.3636363636
2010-01,306392.0454545454
2010-02,314843.75
2010-03,316903.40909090906
2010-04,335014.20454545453
2010-05,343039.7727272727
2010-06,353409.0909090909
2010-07,332102.2727272727
2010-08,353977.2727272727
2010-09,371306.8181818182
2010-10,382599.43181818177
2010-11,393039.7727272727
2010-12,400639.20454545453
2011-01,376988.63636363635
2011-02,400852.2727272727
2011-03,408806.8181818182
2011-04,436221.5909090909
2011-05,436505.68181818177
2011-06,427698.8636363636
2011-07,462642.0454545454
2011-08,515198.8636363636
2011-09,460227.2727272727
2011-10,489204.5454545454
2011-11,496022.72727272724
2011-12,447301.13636363635
2012-01,495454.5454545454
2012-02,502840.90909090906
2012-03,472301.13636363635
2012-04,469105.1136363636
2012-05,442613.63636363635
2012-06,454119.3181818181
2012-07,460795.45454545453
2012-08,468323.8636363636
2012-09,504545.45454545453
2012-10,488352.2727272727
2012-11,490340.90909090906
2012-12,472727.2727272727
2013-01,472940.3409090909
2013-02,451278.40909090906
2013-03,454048.2954545454
2013-04,417329.5454545454
2013-05,396164.7727272727
2013-06,338636.3636363636
2013-07,373437.49999999994
2013-08,396235.7954545454
2013-09,376846.5909090909
2013-10,376136.3636363636
2013-11,355965.90909090906
2013-12,341335.22727272724
2014-01,355397.72727272724
2014-02,376846.5909090909
2014-03,366974.43181818177
2014-04,366051.13636363635
2014-05,355255.68181818177
2014-06,373579.5454545454
2014-07,365127.8409090909
2014-08,365269.88636363635
2014-09,345596.5909090909
2014-10,330752.8409090909
2014-11,336008.5227272727
2014-12,340696.0227272727
2015-01,358025.5681818182
2015-02,344886.3636363636
2015-03,337215.90909090906
2015-04,335298.2954545454
2015-05,338465.90909090906
2015-06,332670.45454545453
2015-07,312045.45454545453
2015-08,322443.18181818177
2015-09,316477.2727272727
2015-10,324531.25
2015-11,301676.13636363635
2015-12,301775.5681818182
2016-01,315852.2727272727
2016-02,350823.8636363636
2016-03,351420.45454545453
2016-04,365241.47727272724
2016-05,344346.5909090909
2016-06,375213.0681818182
2016-07,381249.99999999994
2016-08,371946.0227272727
2016-09,375710.22727272724
2016-10,361363.63636363635
2016-11,334687.5
2016-12,329289.7727272727
2017-01,344545.45454545453
2017-02,356704.5454545454
2017-03,353650.5681818182
2017-04,359786.93181818177
2017-05,359715.90909090906
2017-06,352911.93181818177
2017-07,360099.43181818177
2017-08,372656.24999999994
2017-09,364517.0454545454
2017-10,360838.0681818182
2017-11,363693.18181818177
2017-12,368323.8636363636
2018-01,382116.47727272724
2018-02,374389.20454545453
2018-03,376093.74999999994
2018-04,373068.18181818177
2018-05,370838.0681818182
2018-06,355241.47727272724
2018-07,346860.7954545454
2018-08,341605.1136363636
2018-09,337286.93181818177
2018-10,345156.25
2018-11,345894.88636363635
2018-12,364105.1136363636
2019-01,375923.2954545454
2019-02,374758.5227272727
2019-03,368011.3636363636
2019-04,364289.7727272727
2019-05,368053.97727272724
2019-06,400284.0909090909
2019-07,405553.97727272724
2019-08,434204.5454545454
2019-09,421960.22727272724
2019-10,429247.15909090906
2019-11,414815.3409090909
2019-12,432670.45454545453
2020-01,450056.8181818181
2020-02,457343.74999999994
2020-03,457088.0681818181
2020-04,483735.7954545454
2020-05,491107.95454545453
2020-06,502301.1363636363
2020-07,558210.2272727272
2020-08,556065.3409090908
2020-09,536051.1363636364
2020-10,534616.4772727272
2020-11,500724.43181818177
2020-12,537244.3181818181
2021-01,529488.6363636364
2021-02,495127.8409090909
2021-03,480411.93181818177
2021-04,502173.2954545454
2021-05,539758.5227272727
2021-06,500894.8863636363
2021-07,518678.97727272724
2021-08,515582.3863636363
2021-09,495113.6363636363
2021-10,502599.43181818177
2021-11,512613.6363636363
2021-12,517073.8636363636
2022-01,510014.20454545453
2022-02,542571.0227272727
2022-03,551747.1590909091
2022-04,542982.9545454545
2022-05,522357.95454545453
2022-06,516193.18181818177
2022-07,498124.99999999994
2022-08,487471.5909090909
2022-09,474928.97727272724
2022-10,465624.99999999994
2022-11,498153.40909090906
2022-12,514872.15909090906
2023-01,546562.5
2023-02,518352.2727272727
2023-03,562414.7727272727
2023-04,563224.4318181818
