Date,MSCI SRI LANKA
2014-07,450.36576399493146
2014-08,469.67178241750224
2014-09,480.9081815027624
2014-10,492.39424229847765
2014-11,465.77112677875
2014-12,487.3911618751807
2015-01,437.1991850453522
2015-02,433.73798265492655
2015-03,413.61512975419976
2015-04,430.7013863619376
2015-05,405.92723938577257
2015-06,416.38970891977056
2015-07,453.6315652530383
2015-08,430.319916388099
2015-09,382.8519163540824
2015-10,388.23729678750937
2015-11,383.5440032380007
2015-12,379.7599487134479
2016-01,336.77574494131966
2016-02,342.3042672909604
2016-03,323.9384150153371
2016-04,342.7174435841796
2016-05,338.58230754764736
2016-06,337.5224227490529
2016-07,350.65858575644364
2016-08,376.8777606193659
2016-09,379.4378955760632
2016-10,371.4616573624631
2016-11,367.4570710766153
2016-12,361.80862576622667
2017-01,352.54752547762433
2017-02,357.5584134761494
2017-03,341.90975937356177
2017-04,392.205549
2017-05,395.424309
2017-06,418.514533
2017-07,408.692875
2017-08,390.930363
2017-09,392.785345
2017-10,396.03243
2017-11,380.933146
2017-12,372.330721
2018-01,402.752798
2018-02,396.755424
2018-03,393.063989
2018-04,395.3389307200578
2018-05,368.9448294277969
2018-06,361.230674815789
2018-07,349.98912999758187
2018-08,350.10831651431675
2018-09,312.133881418551
2018-10,329.8504656619046
2018-11,343.10802736426064
2018-12,334.0715973743572
2019-01,340.04198480059057
2019-02,343.61005252279244
2019-03,343.20182499027266
2019-04,328.45100872080974
2019-05,305.60396595700416
2019-06,309.26002767937865
2019-07,333.8757732972976
2019-08,330.3288818878126
2019-09,323.30704292736806
2019-10,328.4192625805086
2019-11,353.7045484106389
2019-12,345.36344431613855
2020-01,334.0167712490479
2020-02,307.81481424140344
2020-03,226.1673310560076
2020-04,224.68329345065362
2020-05,225.2130843551148
2020-06,261.71438714013823
2020-07,241.5427197686515
2020-08,284.12928652316737
2020-09,283.0435998558109
2020-10,272.6979093441646
2020-11,301.54584021210553
2020-12,306.7013932524119
2021-01,342.21114536472436
2021-02,304.379626421782
2021-03,294.57625886631126
2021-04,282.0443125786106
2021-05,286.22700939923624
2021-06,279.29538123781964
2021-07,279.8571707671504
2021-08,271.24049433404747
2021-09,295.11205611165326
2021-10,295.42946443890645
2021-11,278.0137751187144
2021-12,324.66290258855116
2022-01,328.1819767361706
2022-02,291.80297390498566
2022-03,159.2573362124726
2022-04,108.9507742498472
2022-05,121.63908654893562
2022-06,105.39530981965603
2022-07,104.63998555130756
2022-08,123.86609526850734
2022-09,124.41543507037638
2022-10,105.8123785685135
2022-11,118.13232743896371
2022-12,112.78492146877032
2023-01,117.13218369021656
2023-02,113.64368132852921
2023-03,119.86073061533442
2023-04,124.7924993612046
2023-05,128.27126737444826
2023-06,131.28551617642668
