Date,MSCI FRANCE
1989-11,1199.264153
1989-12,1342.289413
1990-01,1274.450919
1990-02,1242.391518
1990-03,1323.659793
1990-04,1402.34558
1990-05,1430.913
1990-06,1409.944844
1990-07,1423.089691
1990-08,1242.01278
1990-09,1111.368718
1990-10,1234.192403
1990-11,1221.778603
1990-12,1163.036008
1991-01,1208.66905
1991-02,1324.366099
1991-03,1228.048386
1991-04,1194.991374
1991-05,1241.007525
1991-06,1122.747
1991-07,1171.562702
1991-08,1244.438883
1991-09,1319.000091
1991-10,1298.812464
1991-11,1266.290718
1991-12,1378.4438369
1992-01,1383.2906394
1992-02,1439.6356234999998
1992-03,1423.3704456
1992-04,1497.6909762
1992-05,1561.7773602999998
1992-06,1540.2795821
1992-07,1476.5939847
1992-08,1491.0302769
1992-09,1538.952625
1992-10,1412.0753072999998
1992-11,1389.0192651999998
1992-12,1425.4108191
1993-01,1389.427451
1993-02,1510.7705959999998
1993-03,1580.787274
1993-04,1558.8504329999998
1993-05,1519.2388349999999
1993-06,1497.311275
1993-07,1516.399921
1993-08,1648.931087
1993-09,1634.984086
1993-10,1649.8702944734162
1993-11,1599.1231313537428
1993-12,1732.7493414182497
1994-01,1801.0135954428222
1994-02,1767.5471800907565
1994-03,1687.742082966748
1994-04,1763.129996611991
1994-05,1680.8936978870374
1994-06,1616.6372573189135
1994-07,1777.041137510298
1994-08,1787.0443239918882
1994-09,1666.81441343526
1994-10,1726.9717894952817
1994-11,1709.1880401598257
1994-12,1651.2994256814723
1995-01,1613.387962048049
1995-02,1641.1235771110248
1995-03,1858.1347915453046
1995-04,1877.7213197409833
1995-05,1899.5145954461525
1995-06,1868.4463387428395
1995-07,1954.5789624269225
1995-08,1830.9830618234307
1995-09,1797.2788816929526
1995-10,1825.7065441180127
1995-11,1817.5608299629896
1995-12,1895.1817367991855
1996-01,1973.0069952091376
1996-02,1996.9681720939002
1996-03,2057.3815744424937
1996-04,2095.442426351277
1996-05,2073.0437397048186
1996-06,2111.1731459206044
1996-07,2053.227607701829
1996-08,2011.7340321495512
1996-09,2123.514538230115
1996-10,2169.3428666083073
1996-11,2285.227013988563
1996-12,2308.5916251634662
1997-01,2361.305762006532
1997-02,2374.11183009764
1997-03,2448.3043223067793
1997-04,2349.481965979052
1997-05,2330.924957757067
1997-06,2525.582156107401
1997-07,2570.020993416905
1997-08,2375.879628923186
1997-09,2628.186428431894
1997-10,2453.2193393457956
1997-11,2505.8105447296
1997-12,2595.003240030601
1998-01,2688.376296837612
1998-02,2915.1755284817013
1998-03,3240.97126637757
1998-04,3347.4286503688904
1998-05,3522.3034015700173
1998-06,3605.619919527735
1998-07,3643.218949342494
1998-08,3226.7296091945245
1998-09,3016.3228007731536
1998-10,3328.902204997395
1998-11,3539.0453782417612
1998-12,3686.388753577593
1999-01,3794.455455400578
1999-02,3546.8472140038125
1999-03,3613.6312345306446
1999-04,3709.413215706365
1999-05,3624.21873683584
1999-06,3734.384047853608
1999-07,3755.4852260756297
1999-08,3893.108046066239
1999-09,3934.245071043265
1999-10,4152.222771850583
1999-11,4290.380469179694
1999-12,4780.991576371527
2000-01,4465.6428556943965
2000-02,4866.9250747543
2000-03,4921.150171839048
2000-04,4760.11793876671
2000-05,4889.26407423013
2000-06,5075.429422427625
2000-07,4994.128960559103
2000-08,4874.017006489032
2000-09,4564.717503047646
2000-10,4456.764133020439
2000-11,4250.866060766346
2000-12,4586.859089390637
2001-01,4595.984603001443
2001-02,4081.0882834826007
2001-03,3797.3078810010556
2001-04,4138.730704712222
2001-05,3878.7150014793715
2001-06,3737.3238717923196
2001-07,3755.8952472042147
2001-08,3627.4782303261927
2001-09,3203.4748705436928
2001-10,3364.087674273125
2001-11,3463.2524356171975
2001-12,3573.6162709749487
2002-01,3346.7977413792005
2002-02,3375.3862573848355
2002-03,3554.38026032606
2002-04,3501.5280464612742
2002-05,3520.2465522471007
2002-06,3422.8296744084773
2002-07,2964.6660205221397
2002-08,2917.6195590953694
2002-09,2470.169592973308
2002-10,2791.1785244299913
2002-11,2909.119789103444
2002-12,2829.0572572792653
2003-01,2734.664866831863
2003-02,2600.650712194794
2003-03,2504.3026417520655
2003-04,2898.5674383443543
2003-05,3112.065132396259
2003-06,3163.249917519187
2003-07,3219.279514343797
2003-08,3242.8510660181996
2003-09,3256.7116273879114
2003-10,3479.336730700593
2003-11,3658.976882424055
2003-12,3989.923229489258
2004-01,4020.0309022557963
2004-02,4122.310523314546
2004-03,3975.9140722894945
2004-04,3930.4875859421777
2004-05,4057.187773559723
2004-06,4136.507648798682
2004-07,4008.302730180786
2004-08,4001.5225111496334
2004-09,4137.532238376837
2004-10,4309.946272234255
2004-11,4568.3395783129245
2004-12,4756.829025831649
2005-01,4678.029376374226
2005-02,4909.374990934022
2005-03,4844.706338265173
2005-04,4635.236130626829
2005-05,4748.069920247372
2005-06,4804.505655753776
2005-07,5081.069757011228
2005-08,5095.123991493451
2005-09,5223.612174534763
2005-10,4999.397003140719
2005-11,5085.3651524880315
2005-12,5260.692892163661
2006-01,5687.399572657585
2006-02,5624.985200498702
2006-03,5956.974394138488
2006-04,6160.042900396409
2006-05,6072.697286642665
2006-06,6142.7622563254035
2006-07,6182.9114628098305
2006-08,6386.520662377397
2006-09,6443.653112217306
2006-10,6617.657721077426
2006-11,6880.470628980842
2006-12,7124.205709775054
2007-01,7102.601830458173
2007-02,7106.510835931154
2007-03,7325.656029808793
2007-04,7925.365505830307
2007-05,8128.110064858474
2007-06,8095.0603200159
2007-07,7810.865055469713
2007-08,7666.656424260034
2007-09,8061.727350385079
2007-10,8370.523685479215
2007-11,8238.968615602567
2007-12,8123.606845784035
2008-01,7144.082812773588
2008-02,7262.347828318646
2008-03,7446.223722906438
2008-04,7786.487213096101
2008-05,7992.5852481473585
2008-06,7205.55546508274
2008-07,7063.905970721433
2008-08,6817.542947422333
2008-09,5844.851097848353
2008-10,4534.770392014133
2008-11,4286.693266567162
2008-12,4653.668716743368
2009-01,3990.05362581716
2009-02,3611.3380051939916
2009-03,3910.930977219765
2009-04,4432.084457921915
2009-05,4996.174741802945
2009-06,4790.134699786951
2009-07,5295.988952456754
2009-08,5716.938662429333
2009-09,6066.772028959119
2009-10,5824.315555399549
2009-11,6055.774615466721
2009-12,6201.519129667252
2010-01,5743.1598533909
2010-02,5611.608251493208
2010-03,5960.417740541524
2010-04,5659.038047739533
2010-05,4942.522864700485
2010-06,4870.7977446549185
2010-07,5476.070979073399
2010-08,5144.943416046224
2010-09,5890.152789164485
2010-10,6189.739449923241
2010-11,5518.628392285866
2010-12,6001.0333533602325
2011-01,6417.679523964543
2011-02,6641.86825779294
2011-03,6635.669882293164
2011-04,7165.842348056309
2011-05,6936.629640063893
2011-06,6983.9759377898345
2011-07,6422.741947188713
2011-08,5733.0937966777265
2011-09,4903.613302632152
2011-10,5534.41761485819
2011-11,5205.893425341897
2011-12,5041.046479152231
2012-01,5318.660029661518
2012-02,5697.297699617611
2012-03,5660.478217714148
2012-04,5326.625078440667
2012-05,4754.344178534251
2012-06,5197.931164710772
2012-07,5200.670534650721
2012-08,5505.525659419224
2012-09,5580.796112258202
2012-10,5731.088717412421
2012-11,5973.9300467960775
2012-12,6191.259407223769
2013-01,6537.405385821766
2013-02,6316.555567365897
2013-03,6229.143575294612
2013-04,6606.376661399633
2013-05,6763.658129970495
2013-06,6444.530665719038
2013-07,7032.069416792383
2013-08,6875.041248555873
2013-09,7445.045068157999
2013-10,7746.739025682688
2013-11,7770.437471189691
2013-12,7903.560912864686
2014-01,7513.380041170307
2014-02,8149.170595782677
2014-03,8137.360080013647
2014-04,8377.33364296301
2014-05,8446.958242003797
2014-06,8332.278910512197
2014-07,7830.963930678328
2014-08,7918.136567965268
2014-09,7638.318731086416
2014-10,7303.545670938808
2014-11,7559.425754229222
2014-12,7192.932720746803
2015-01,7245.607958788231
2015-02,7719.174061958397
2015-03,7535.384172593225
2015-04,7927.568357717995
2015-05,7803.164018229171
2015-06,7608.70871749484
2015-07,7986.071415414457
2015-08,7424.914393248945
2015-09,7121.203561846801
2015-10,7719.770076136829
2015-11,7493.113941038427
2015-12,7249.267881839644
2016-01,6919.704592209455
2016-02,6847.81979614107
2016-03,7264.570891566691
2016-04,7407.087699718045
2016-05,7430.926993191983
2016-06,7007.908934269685
2016-07,7398.806225482336
2016-08,7361.268771957189
2016-09,7458.295191109785
2016-10,7411.210949890688
2016-11,7280.229235160571
2016-12,7685.512194269153
2017-01,7731.936246022852
2017-02,7760.24985096251
2017-03,8250.145122352495
2017-04,8699.626489
2017-05,9171.884829
2017-06,9063.589683
2017-07,9320.29031
2017-08,9418.755085
2017-09,9826.549709
2017-10,9973.917208
2017-11,9999.981239
2017-12,9983.405364
2018-01,10684.295825
2018-02,10166.318206
2018-03,10022.22996
2018-04,10507.819721095317
2018-05,10142.219959822343
2018-06,10054.395830282372
2018-07,10420.453428295687
2018-08,10214.290270929423
2018-09,10342.889037135956
2018-10,9374.15485819171
2018-11,9210.100075484592
2018-12,8795.746234826363
2019-01,9311.229124889094
2019-02,9696.958177372198
2019-03,9744.596438927912
2019-04,10207.58510866384
2019-05,9632.420420096983
2019-06,10457.143080255835
2019-07,10210.840261644069
2019-08,10036.950312157513
2019-09,10286.11227270427
2019-10,10657.638586057541
2019-11,10842.49772533121
2019-12,11166.4321845622
2020-01,10791.289214891403
2020-02,9833.748244419956
2020-03,8098.534896186527
2020-04,8456.643645994774
2020-05,8889.615398598367
2020-06,9433.057413644823
2020-07,9704.984888589015
2020-08,10168.299023024558
2020-09,9710.133246304817
2020-10,9244.930899774894
2020-11,11364.426882747965
2020-12,11691.78001108581
2021-01,11334.552712962373
2021-02,11899.205543935528
2021-03,12217.101926224967
2021-04,12977.99328133433
2021-05,13630.697788315516
2021-06,13383.637495948704
2021-07,13612.950034050678
2021-08,13701.1444867686
2021-09,13159.249044636557
2021-10,13745.542572725386
2021-11,13165.985653726533
2021-12,14099.17138929306
2022-01,13565.616498461111
2022-02,12960.73722458739
2022-03,12881.453692589646
2022-04,12070.088583734067
2022-05,12313.790429566043
2022-06,11041.867459636895
2022-07,11754.148801325186
2022-08,11008.206143104864
2022-09,10068.016499884592
2022-10,11021.530270759671
2022-11,12325.056753049068
2022-12,12312.988923627014
2023-01,13702.37678555622
2023-02,13687.243424916642
2023-03,14121.863733350314
2023-04,14797.345656433294
2023-05,13741.83309340716
2023-06,14658.625595470086
