Date,MSCI CHINA A ONSHORE + B
2013-01,3779.0947985226207
2013-02,3778.5323041227425
2013-03,3543.944071143608
2013-04,3502.7902718565674
2013-05,3789.86483895544
2013-06,3240.546629862322
2013-07,3292.7060623305565
2013-08,3490.988620454707
2013-09,3640.871422748153
2013-10,3583.482917286442
2013-11,3703.950841823286
2013-12,3569.710933902966
2014-01,3408.4536353379895
2014-02,3335.5950641410254
2014-03,3237.380033882319
2014-04,3218.2062909623282
2014-05,3235.4095463471285
2014-06,3309.0742910276435
2014-07,3647.7677394492243
2014-08,3668.728318117812
2014-09,3878.0614504858268
2014-10,3981.209284924849
2014-11,4373.45889538259
2014-12,5239.542047893023
2015-01,5137.984023194633
2015-02,5355.711798772876
2015-03,6219.727791608881
2015-04,7279.444311046883
2015-05,7631.760747456117
2015-06,7013.836820280763
2015-07,6002.224197876195
2015-08,5133.633834817707
2015-09,4869.499120013291
2015-10,5456.909414355122
2015-11,5459.637743399305
2015-12,5613.986678314438
2016-01,4219.400292733475
2016-02,4152.151773287323
2016-03,4732.522828085463
2016-04,4609.632132176547
2016-05,4526.39911417426
2016-06,4555.966622103336
2016-07,4639.457104543828
2016-08,4805.225863586682
2016-09,4709.107405821673
2016-10,4744.336134536662
2016-11,4874.5220644230385
2016-12,4547.6636326251855
2017-01,4652.918477717539
2017-02,4773.6250596522905
2017-03,4740.868423827096
2017-04,4665.776587
2017-05,4669.630172
2017-06,4972.730361
2017-07,5147.71713
2017-08,5368.803496
2017-09,5394.283961
2017-10,5550.743372
2017-11,5398.485976
2017-12,5476.543079
2018-01,5877.411462
2018-02,5491.06741
2018-03,5377.970834
2018-04,5079.302546418757
2018-05,5009.324731096096
2018-06,4473.476098778645
2018-07,4366.065962496005
2018-08,4086.0562915107757
2018-09,4162.714236317991
2018-10,3741.285380361613
2018-11,3817.1566838844524
2018-12,3678.3795478984757
2019-01,3996.5356033792873
2019-02,4609.101121195081
2019-03,4891.465045607504
2019-04,4902.596613499999
2019-05,4466.503823285915
2019-06,4722.33039195726
2019-07,4748.520746224768
2019-08,4558.129257441055
2019-09,4590.4237489237585
2019-10,4720.462050581374
2019-11,4673.300106222268
2019-12,5064.193787135945
2020-01,5049.727419899225
2020-02,4980.643788289274
2020-03,4571.441083826374
2020-04,4899.823941849323
2020-05,4820.529834517371
2020-06,5305.028731430182
2020-07,6094.419017971459
2020-08,6347.298902662928
2020-09,6042.494846320918
2020-10,6255.000771154811
2020-11,6682.499816214316
2020-12,7101.264047858683
2021-01,7362.2222520156565
2021-02,7306.308103883135
2021-03,6851.568144720446
2021-04,7128.406807371367
2021-05,7580.221432392923
2021-06,7448.141091751422
2021-07,7072.401488858306
2021-08,7150.753301666948
2021-09,7153.807605730697
2021-10,7307.962773796598
2021-11,7344.341689125371
2021-12,7399.381934664306
2022-01,6747.254071740124
2022-02,6932.284604917385
2022-03,6312.727131947181
2022-04,5666.637471217448
2022-05,5828.088187354992
2022-06,6417.470837499053
2022-07,6030.737568561765
2022-08,5755.151716436885
2022-09,5202.047823702507
2022-10,4777.402969483994
2022-11,5301.050559822832
2022-12,5396.960279075264
2023-01,5957.598659454608
2023-02,5719.65350696831
2023-03,5724.809426840119
2023-04,5606.6599424627675
2023-05,5196.3721084724775
2023-06,5165.606006832893
