Date,MSCI NIGERIA
2020-06,250.82704381707384
2020-07,249.1115316404901
2020-08,264.006756597655
2020-09,288.37468010085627
2020-10,330.19370520473416
2020-11,358.22292726366317
2020-12,373.3506951457943
2021-01,390.0003420512419
2021-02,347.6184179088475
2021-03,349.7713883202535
2021-04,367.61655585676607
2021-05,365.527016085796
2021-06,379.8236460519826
2021-07,387.3137961340907
2021-08,376.7282136496087
2021-09,389.13144016269996
2021-10,395.1709550484634
2021-11,386.00195226779385
2021-12,389.57376794106546
2022-01,392.76026104689794
2022-02,401.7744011641692
2022-03,395.46096729987903
2022-04,435.3257389702337
2022-05,443.16822713892145
2022-06,432.3844722848509
2022-07,394.5903216879347
2022-08,385.2700424458533
2022-09,367.87384352141794
2022-10,352.25997107971585
2022-11,368.7676047237219
2022-12,380.67063997664354
2023-01,391.58370450830427
2023-02,419.6762822606076
2023-03,410.9530170739654
2023-04,402.63602968433753
2023-05,458.26772365132007
2023-06,307.19971089763544
