Date,MSCI ARGENTINA
2006-10,3830.537845259629
2006-11,4439.760040192086
2006-12,4681.892398384364
2007-01,4613.07854825482
2007-02,4529.3958123773655
2007-03,4576.389545972214
2007-04,4705.498289583247
2007-05,5062.215810324403
2007-06,4887.149918149306
2007-07,4842.289046257967
2007-08,4691.104338434437
2007-09,5039.302938283907
2007-10,5228.981437060875
2007-11,4723.328447564034
2007-12,4493.564768570112
2008-01,4143.667361654423
2008-02,4540.141032627106
2008-03,4804.326248464385
2008-04,4915.037801681439
2008-05,5696.358220623142
2008-06,6503.073739119277
2008-07,5247.551495006557
2008-08,4838.919674579293
2008-09,3644.472228898278
2008-10,2125.5211588117036
2008-11,2088.399592627188
2008-12,2046.934501882263
2009-01,1965.0260382023807
2009-02,1707.9444769282125
2009-03,1738.48618375534
2009-04,1871.0533369588293
2009-05,1904.5631806490194
2009-06,2381.698805630729
2009-07,2563.915532771703
2009-08,2891.9704750489673
2009-09,3025.975009110151
2009-10,3256.4077573005798
2009-11,3215.6300942853118
2009-12,3357.04681060679
2010-01,3250.0570077415637
2010-02,3096.3588128333577
2010-03,3535.436561951393
2010-04,3554.3071638423576
2010-05,3165.249370187079
2010-06,3332.3024791698945
2010-07,3862.239128412302
2010-08,4049.259610894654
2010-09,4713.795744947326
2010-10,5469.6828164622775
2010-11,5646.099260573287
2010-12,5954.382644207902
2011-01,5884.741701463611
2011-02,5409.678389473578
2011-03,5239.602735917621
2011-04,5157.980313282912
2011-05,5218.401409185822
2011-06,5470.506093508432
2011-07,5275.725231264836
2011-08,4649.86351036843
2011-09,3734.641581070663
2011-10,3801.8824589033943
2011-11,3783.9578085938624
2011-12,3635.622006429901
2012-01,4116.3166004660425
2012-02,3398.037273698362
2012-03,3407.081493263331
2012-04,2394.19405923654
2012-05,2028.7862324038779
2012-06,1954.5310530068834
2012-07,1929.8808684390729
2012-08,1930.0268727997232
2012-09,1970.8087281960027
2012-10,1825.1026082298074
2012-11,1925.8399810425115
2012-12,2288.5440984642223
2013-01,2670.8104987432425
2013-02,2115.0794321059975
2013-03,2350.852980894465
2013-04,2466.301022886911
2013-05,2379.459977230557
2013-06,2300.5902074168544
2013-07,2513.978617037292
2013-08,2823.6994907788107
2013-09,3182.5567537805146
2013-10,3432.3948240182185
2013-11,4136.135779334486
2013-12,3803.139861716083
2014-01,2895.940873157633
2014-02,3458.2611297668836
2014-03,4026.2484314892035
2014-04,4112.581156911413
2014-05,4272.624126030862
2014-06,4778.597550909461
2014-07,5080.009529996272
2014-08,4413.7126932096
2014-09,4931.86683827727
2014-10,5088.187708726256
2014-11,5027.311396195071
2014-12,4533.265596006633
2015-01,4297.4085642065875
2015-02,5166.67241869307
2015-03,5665.4349576716895
2015-04,5594.399286328351
2015-05,5118.579071574315
2015-06,4897.0473323869055
2015-07,4405.934401397329
2015-08,4348.872141821257
2015-09,3592.6666702118127
2015-10,5207.328472007029
2015-11,4692.561939231326
2015-12,4514.365556617449
2016-01,4677.539882752272
2016-02,5067.711423233032
2016-03,4892.858530880716
2016-04,5086.761783870238
2016-05,5103.151774144112
2016-06,5258.104322762331
2016-07,5245.639934933913
2016-08,5130.472384395692
2016-09,5404.316004777516
2016-10,5360.100022899627
2016-11,4875.047952757092
2016-12,4744.229365399372
2017-01,5618.328464899505
2017-02,5668.498465970302
2017-03,6394.947235738094
2017-04,6562.659926
2017-05,6955.363675
2017-06,6715.46011
2017-07,6256.131744
2017-08,6954.331361
2017-09,7673.141951
2017-10,8101.981311
2017-11,7720.81148
2017-12,8237.675777
2018-01,8415.768167
2018-02,7988.939838
2018-03,7780.321388
2018-04,7416.532901228411
2018-05,5795.260670237982
2018-06,4522.643418368623
2018-07,5160.422007008868
2018-08,3941.6320129079336
2018-09,4111.913549874217
2018-10,4034.2784456814916
2018-11,4260.837126641627
2018-12,4058.0310593642434
2019-01,4858.3016963995115
2019-02,4344.493200223871
2019-03,3976.540276779026
2019-04,3664.2768889972244
2019-05,4141.456094426393
2019-06,5243.047183935514
2019-07,5182.418763222815
2019-08,2570.3475487268934
2019-09,2788.736693409413
2019-10,2654.617675324372
2019-11,2843.047358968329
2019-12,3218.6427700960858
2020-01,3133.7577974746837
2020-02,2874.8441949948924
2020-03,1953.0807037623774
2020-04,2170.643862588416
2020-05,2601.5223452165164
2020-06,2806.578233153412
2020-07,3157.655106727321
2020-08,3113.6173982935966
2020-09,2993.7420599791517
2020-10,2985.4049694772143
2020-11,3301.2374398071306
2020-12,3628.4047048088196
2021-01,3191.13672234945
2021-02,3542.5477308910013
2021-03,3412.036646077074
2021-04,3667.1277144642127
2021-05,3613.2850873808397
2021-06,3609.5520982710923
2021-07,3841.1430990361027
2021-08,5011.487134332187
2021-09,4407.404047309853
2021-10,4882.102749775895
2021-11,4077.879482938562
2021-12,4388.3904797589075
2022-01,4616.1451476723605
2022-02,4514.549198120074
2022-03,5212.131546273466
2022-04,4522.93549718278
2022-05,4684.514875218739
2022-06,3756.1097772861217
2022-07,4097.652034036156
2022-08,4550.107785444317
2022-09,4503.026542348976
2022-10,4978.232861000836
2022-11,5309.312731210194
2022-12,5976.572930433405
2023-01,6899.318711012339
2023-02,6741.547328076693
2023-03,6260.144260874824
2023-04,6499.465042931595
2023-05,6750.605693769133
2023-06,8503.900380976544
