Date,CHINA A ONSHORE
2009-10,4049.200592039006
2009-11,4358.812246513702
2009-12,4417.625419644448
2010-01,4002.330792222147
2010-02,4112.6901559672915
2010-03,4189.0254738424055
2010-04,3864.1483776296254
2010-05,3519.672078791067
2010-06,3264.9684653183663
2010-07,3682.805353723656
2010-08,3783.0099600183303
2010-09,3907.1255295116493
2010-10,4443.645982370375
2010-11,4225.355151943617
2010-12,4229.520921761956
2011-01,4095.1419322737906
2011-02,4376.195468442568
2011-03,4347.998744328611
2011-04,4325.724620878371
2011-05,4062.247980114426
2011-06,4178.9253890239415
2011-07,4139.19952293517
2011-08,3988.7456968786637
2011-09,3575.328345369914
2011-10,3744.9762672991255
2011-11,3506.5763492517062
2011-12,3264.478636443134
2012-01,3390.674299074909
2012-02,3663.347425933916
2012-03,3408.9974695683413
2012-04,3633.296430943457
2012-05,3640.8705841355554
2012-06,3450.3928436232873
2012-07,3255.7620040582683
2012-08,3108.375089736711
2012-09,3260.310362141881
2012-10,3235.081907220356
2012-11,3046.8055812337707
2012-12,3580.5706466197435
2013-01,3818.1071345634814
2013-02,3818.591156569597
2013-03,3580.4570664014896
2013-04,3539.421400632349
2013-05,3832.0378799235928
2013-06,3275.230371933711
2013-07,3329.1522916014483
2013-08,3531.316391012657
2013-09,3685.2008286433193
2013-10,3627.9614205322337
2013-11,3750.0165725027446
2013-12,3615.7017754830163
2014-01,3453.050829338332
2014-02,3380.71235596518
2014-03,3280.5577157597604
2014-04,3260.162914208039
2014-05,3278.1803658381286
2014-06,3350.8225343212744
2014-07,3693.564547789785
2014-08,3714.2522003825975
2014-09,3926.687501285797
2014-10,4031.733673750068
2014-11,4431.18961038698
2014-12,5311.137548596781
2015-01,5207.259969761179
2015-02,5427.991250383061
2015-03,6305.539576693415
2015-04,7380.3695803461005
2015-05,7739.557278209623
2015-06,7112.893873085976
2015-07,6087.914366591977
2015-08,5207.717898666707
2015-09,4939.228814505152
2015-10,5535.430735574041
2015-11,5538.332836514061
2015-12,5694.422839055972
2016-01,4278.7111079215265
2016-02,4210.83659398181
2016-03,4800.436123257293
2016-04,4675.889179437441
2016-05,4592.5116377097465
2016-06,4622.616834793813
2016-07,4707.017288592355
2016-08,4875.332273654627
2016-09,4777.323731859518
2016-10,4813.719841625385
2016-11,4946.080685368661
2016-12,4614.332883695441
2017-01,4721.386954568084
2017-02,4843.983930998761
2017-03,4810.484015676383
2017-04,4734.285817
2017-05,4738.226091
2017-06,5045.824055
2017-07,5223.629479
2017-08,5448.296364
2017-09,5474.209902
2017-10,5633.324125
2017-11,5479.643552
2017-12,5559.021601
2018-01,5966.017691
2018-02,5573.754196
2018-03,5458.912562
2018-04,5155.5780245271635
2018-05,5084.350306235491
2018-06,4539.6652208164405
2018-07,4430.4224053926255
2018-08,4146.132341178578
2018-09,4224.173383894145
2018-10,3796.2074903130388
2018-11,3873.474916309849
2018-12,3732.693414487222
2019-01,4055.9934342762385
2019-02,4678.387975894486
2019-03,4965.317842944343
2019-04,4976.617308616169
2019-05,4533.702365823284
2019-06,4793.424290024915
2019-07,4820.324505528209
2019-08,4627.308653435457
2019-09,4660.05726861826
2019-10,4792.39742301006
2019-11,4745.38058786219
2019-12,5142.2949479237805
2020-01,5127.696981460828
2020-02,5058.163598168491
2020-03,4642.324747744474
2020-04,4976.088352990372
2020-05,4895.622765626466
2020-06,5388.051145618083
2020-07,6190.2322281297165
2020-08,6446.973331096211
2020-09,6137.528474801869
2020-10,6353.722776582878
2020-11,6788.67109798242
2020-12,7213.881377692128
2021-01,7478.867011621928
2021-02,7422.433965446223
2021-03,6959.803617563181
2021-04,7241.312327796116
2021-05,7700.404881856789
2021-06,7565.960109876243
2021-07,7184.057224392264
2021-08,7264.093847382301
2021-09,7267.008209867861
2021-10,7423.772287821894
2021-11,7460.500209
2021-12,7516.422865709045
2022-01,6853.324494462931
2022-02,7041.752220806793
2022-03,6412.128520807135
2022-04,5755.33567890878
2022-05,5919.058859844379
2022-06,6518.245086865138
2022-07,6124.498968620047
2022-08,5844.285748936416
2022-09,5282.259998697021
2022-10,4851.003253015237
2022-11,5382.945712051539
2022-12,5480.444811313768
2023-01,6050.219987934067
2023-02,5808.347231186293
2023-03,5813.229221606311
2023-04,5692.975266574347
2023-05,5276.553580879522
2023-06,5244.960957202616
