Date,MSCI QATAR DOMESTIC
2015-08,1501.5428528670784
2015-09,1492.061139484985
2015-10,1499.311988700675
2015-11,1299.9513816489887
2015-12,1349.1401915205563
2016-01,1194.5124998502977
2016-02,1287.5177558926978
2016-03,1360.8809286910312
2016-04,1333.9388322908314
2016-05,1253.5183881008138
2016-06,1297.84608216109
2016-07,1399.4336509990828
2016-08,1451.7358790702374
2016-09,1372.1701806365095
2016-10,1337.0338103192273
2016-11,1289.2712358065562
2016-12,1386.5671520623707
2017-01,1405.4630248314277
2017-02,1435.8349732524475
2017-03,1422.8027883802588
2017-04,1397.760718
2017-05,1380.422553
2017-06,1268.266093
2017-07,1335.292263
2017-08,1248.098116
2017-09,1203.773583
2017-10,1186.078483
2017-11,1112.92873
2017-12,1252.688906
2018-01,1335.464103
2018-02,1265.102874
2018-03,1312.461441
2018-04,1417.7989379242022
2018-05,1373.3658359599033
2018-06,1381.5075527431243
2018-07,1520.9175874848454
2018-08,1536.741599779553
2018-09,1522.6716973159403
2018-10,1620.9819825559514
2018-11,1656.1569962345702
2018-12,1649.149190749423
2019-01,1712.2253554044255
2019-02,1623.090031912828
2019-03,1611.954207167372
2019-04,1668.578302797574
2019-05,1596.3711822086416
2019-06,1613.8856211340662
2019-07,1629.8864461637777
2019-08,1600.481967551987
2019-09,1606.59277667219
2019-10,1593.6585167171859
2019-11,1592.0758125845146
2019-12,1640.0127204312414
2020-01,1635.5573648934412
2020-02,1517.4708714722308
2020-03,1364.3098938239978
2020-04,1459.6670754802226
2020-05,1493.3142255315258
2020-06,1504.1619125548325
2020-07,1561.4287453326258
2020-08,1625.8076263636015
2020-09,1630.0083648197988
2020-10,1589.2612011855758
2020-11,1670.5910271860423
2020-12,1696.3886320824708
2021-01,1716.2093674371577
2021-02,1666.3107468133949
2021-03,1727.626149883177
2021-04,1799.6897413827833
2021-05,1773.7064662215346
2021-06,1782.1331760612468
2021-07,1784.7436340844358
2021-08,1837.556309042199
2021-09,1897.9550902934643
2021-10,1971.1050847595943
2021-11,1883.987793811509
2021-12,1921.526042092075
2022-01,2073.584255904642
2022-02,2170.3142831733785
2022-03,2300.973651593456
2022-04,2327.9389342173044
2022-05,2195.5862069167183
2022-06,2064.2437582227712
2022-07,2200.753432916674
2022-08,2246.001221434466
2022-09,2128.7126842702237
2022-10,2106.876150155865
2022-11,2026.8597431128621
2022-12,1834.2952943565638
2023-01,1838.9433161141685
2023-02,1804.1695327229809
2023-03,1808.6949058310893
2023-04,1777.7505067851494
2023-05,1773.8254967521452
2023-06,1759.8890901175369
