Date,MSCI NETHERLANDS
1989-03,1554.023067
1989-04,1625.309296
1989-05,1550.2656
1989-06,1613.652126
1989-07,1763.002558
1989-08,1743.518626
1989-09,1802.852726
1989-10,1753.91043
1989-11,1852.764663
1989-12,2029.692289
1990-01,1954.978027
1990-02,1898.030018
1990-03,1984.608508
1990-04,1924.977773
1990-05,2006.069075
1990-06,2032.374993
1990-07,2140.338096
1990-08,1978.041128
1990-09,1884.259147
1990-10,1967.069997
1990-11,1986.928938
1990-12,1988.764584
1991-01,1984.681781
1991-02,2137.487349
1991-03,2047.23335
1991-04,2097.463686
1991-05,2129.091954
1991-06,2000.423694
1991-07,2125.099496
1991-08,2114.773504
1991-09,2164.808659
1991-10,2191.335206
1991-11,2203.529738
1991-12,2368.9737962
1992-01,2366.4251572
1992-02,2375.2575226
1992-03,2340.9404391
1992-04,2449.2110981
1992-05,2555.6057659999997
1992-06,2580.6103383
1992-07,2587.7393647999997
1992-08,2659.1056793
1992-09,2719.5672744999997
1992-10,2460.308774
1992-11,2420.1033989
1992-12,2449.8681192999998
1993-01,2506.5802759999997
1993-02,2588.286501
1993-03,2755.7661519999997
1993-04,2745.974418
1993-05,2804.400055
1993-06,2784.463347
1993-07,2789.588516
1993-08,3073.7835769999997
1993-09,3088.6576849999997
1993-10,3272.9597344743597
1993-11,3174.257176056498
1993-12,3345.3067878971415
1994-01,3501.1400691618855
1994-02,3436.260482054302
1994-03,3325.24136862976
1994-04,3513.516243403006
1994-05,3406.3854479752868
1994-06,3377.901107267073
1994-07,3586.8467904770823
1994-08,3717.2937584818665
1994-09,3616.2691643026333
1994-10,3861.7391979647778
1994-11,3667.825712166205
1994-12,3768.6806922860915
1995-01,3816.0749527803923
1995-02,3927.0525617034955
1995-03,4129.047982745517
1995-04,4271.705114415861
1995-05,4328.9080678440605
1995-06,4377.559085173532
1995-07,4629.4955143155485
1995-08,4355.309432869107
1995-09,4569.304635309714
1995-10,4505.696308590067
1995-11,4651.810785333885
1995-12,4856.8570916789095
1996-01,4889.127843168346
1996-02,4999.8349632734435
1996-03,5150.853788701792
1996-04,5176.989686876692
1996-05,5420.142275756901
1996-06,5436.043421261257
1996-07,5353.282581891392
1996-08,5447.014681126576
1996-09,5589.199020114083
1996-10,5732.743918231439
1996-11,6094.522768855382
1996-12,6241.910066544331
1997-01,6195.377523243087
1997-02,6450.306602014623
1997-03,6608.942456372752
1997-04,6544.91357752197
1997-05,6965.111983364637
1997-06,7514.923062772608
1997-07,8132.34573568492
1997-08,7334.033237120308
1997-09,7981.679050592659
1997-10,7638.674774391687
1997-11,7578.162976825979
1997-12,7771.262843318658
1998-01,7848.157332509541
1998-02,8653.94868720489
1998-03,8931.769742937458
1998-04,9241.94045400801
1998-05,9731.715541541755
1998-06,9570.141080314384
1998-07,9632.018095674202
1998-08,8451.974002741994
1998-09,7963.311504478365
1998-10,8420.322304750078
1998-11,8865.81792871923
1998-12,9631.26849018029
1999-01,8912.236704649738
1999-02,8855.11252763253
1999-03,8950.501110215293
1999-04,9525.130587399737
1999-05,8984.076269234212
1999-06,9014.270198075168
1999-07,9308.543701093991
1999-08,9528.764599908063
1999-09,9187.077669764843
1999-10,9507.388573953938
1999-11,9450.91009661999
1999-12,10347.337222584794
2000-01,9115.789927685044
2000-02,9701.301643390185
2000-03,9989.360579171436
2000-04,9659.572728040434
2000-05,9923.244167330051
2000-06,10477.956449777716
2000-07,10026.534228845292
2000-08,10014.368746119242
2000-09,9631.993070755703
2000-10,9557.05751087669
2000-11,9481.837902091851
2000-12,9970.487365394503
2001-01,9903.132694946225
2001-02,9259.76342298433
2001-03,8424.865137054072
2001-04,9025.392228786093
2001-05,8695.53386684114
2001-06,8490.313681885118
2001-07,8417.505848014596
2001-08,8389.004828942627
2001-09,7271.367244169906
2001-10,7295.7249049229995
2001-11,7621.07112760431
2001-12,7814.934846449184
2002-01,7510.195573646149
2002-02,7530.6565268891945
2002-03,8186.48646498931
2002-04,8157.761418078521
2002-05,8221.345518127577
2002-06,7969.007287765373
2002-07,6552.012460449199
2002-08,6690.759441546084
2002-09,5499.676974000212
2002-10,6219.441595974911
2002-11,6585.729305932788
2002-12,6231.490390670277
2003-01,5840.930152208209
2003-02,5409.530706315819
2003-03,5255.156312279407
2003-04,5945.598816679653
2003-05,6324.618005404325
2003-06,6372.927096021919
2003-07,6658.731883536659
2003-08,6807.2227668707865
2003-09,6717.254243964147
2003-10,7128.463657187191
2003-11,7378.690765619365
2003-12,8056.386364140408
2004-01,8022.448382092302
2004-02,8148.796449501436
2004-03,7745.732386175701
2004-04,7738.266563450254
2004-05,7900.899417006807
2004-06,8047.500742515854
2004-07,7684.164150746711
2004-08,7673.550660115941
2004-09,7839.011460871707
2004-10,8181.036740529486
2004-11,8723.273855213229
2004-12,9127.271601607115
2005-01,9087.388346275622
2005-02,9734.469482942552
2005-03,9364.317272052722
2005-04,8926.701376622736
2005-05,8987.36845202908
2005-06,9404.832672695193
2005-07,9598.626166687318
2005-08,9579.915837973536
2005-09,9700.893404116277
2005-10,9497.21906561593
2005-11,9991.618975253488
2005-12,10491.624750325425
2006-01,11010.245463829086
2006-02,11231.300829589989
2006-03,11718.513392261133
2006-04,12177.673942799085
2006-05,11686.1165904927
2006-06,11671.699332686736
2006-07,11962.867676143176
2006-08,12566.320700885637
2006-09,12959.968323696516
2006-10,13017.165479556183
2006-11,13380.160384878789
2006-12,13896.070318889515
2007-01,13932.979816985866
2007-02,13950.8719435792
2007-03,14958.873530840312
2007-04,16367.156125676358
2007-05,16288.693265584616
2007-06,16247.644661567903
2007-07,16245.886348104403
2007-08,15855.248325571907
2007-09,17131.508193345588
2007-10,17459.847929917654
2007-11,16807.519771964413
2007-12,16833.517006001035
2008-01,14841.329811861806
2008-02,15189.954354389452
2008-03,15735.618869995198
2008-04,16433.753368940295
2008-05,16520.32787373451
2008-06,14398.11058262997
2008-07,13825.538314737876
2008-08,14025.797706675663
2008-09,11381.288175768552
2008-10,8523.30123426301
2008-11,8030.908957407764
2008-12,8773.34137710817
2009-01,8044.416103127251
2009-02,7041.192395679501
2009-03,7338.8614644366535
2009-04,8277.723582457518
2009-05,9328.577772751487
2009-06,9209.261969875724
2009-07,10534.228523364643
2009-08,11166.608097018197
2009-09,12090.629341289286
2009-10,11853.133741646308
2009-11,12097.783470696482
2009-12,12549.38477101848
2010-01,12104.573052701076
2010-02,11554.212997187708
2010-03,12425.579547951605
2010-04,12379.534237974485
2010-05,10888.932937219704
2010-06,10814.348081018752
2010-07,12004.676245588553
2010-08,11122.240057761068
2010-09,12583.326693637917
2010-10,12799.065293986965
2010-11,11563.536411709738
2010-12,12821.093736137476
2011-01,13380.825017173627
2011-02,13904.23081346662
2011-03,14171.80928004437
2011-04,14678.61019683213
2011-05,13975.484579940136
2011-06,13573.856344861142
2011-07,12988.979803352622
2011-08,11749.825085412018
2011-09,10617.626347526259
2011-10,12002.482216191198
2011-11,11315.194912712022
2011-12,11318.951064437348
2012-01,11677.34346642545
2012-02,12194.02523393609
2012-03,12307.996698601655
2012-04,11818.647259282825
2012-05,10597.260922763884
2012-06,11472.724098736942
2012-07,11875.99425124419
2012-08,12382.336682960467
2012-09,12531.651315816076
2012-10,12944.233907809628
2012-11,13352.831652714132
2012-12,13719.69634269981
2013-01,14820.780836623853
2013-02,13847.03549718287
2013-03,14053.500325521942
2013-04,14575.924038272748
2013-05,15029.204192146548
2013-06,14488.781633104252
2013-07,15917.576722980059
2013-08,15735.66603744631
2013-09,16641.93407023446
2013-10,17436.11751094062
2013-11,17686.166217828762
2013-12,18082.700852930364
2014-01,17039.02682143787
2014-02,18073.53587338551
2014-03,18278.76322704428
2014-04,18004.3435681083
2014-05,18225.19547420345
2014-06,18399.92937107559
2014-07,17423.687791570454
2014-08,17792.217903990993
2014-09,17546.681765238995
2014-10,17167.738955409004
2014-11,18124.166841102906
2014-12,17505.57835395091
2015-01,17528.35357330232
2015-02,18699.668896649564
2015-03,18369.79291244551
2015-04,19140.82149891391
2015-05,19325.84051838165
2015-06,18924.916041236116
2015-07,19742.16469590645
2015-08,18122.534993118355
2015-09,17259.52398904199
2015-10,18653.32854061432
2015-11,18300.962177418325
2015-12,17805.56605230666
2016-01,17308.234857509575
2016-02,17050.563123425996
2016-03,18406.07564767427
2016-04,18452.207055078314
2016-05,18689.387078263182
2016-06,17525.275488325762
2016-07,18371.69123154772
2016-08,18923.03533910089
2016-09,19142.27106313241
2016-10,18698.61281665461
2016-11,18069.649346580387
2016-12,18745.418950220424
2017-01,19068.454337078903
2017-02,19772.386054672483
2017-03,20873.41140233826
2017-04,21767.393942
2017-05,22903.665567
2017-06,22555.001237
2017-07,24097.315122
2017-08,24085.775795
2017-09,24665.225414
2017-10,24881.230261
2017-11,24705.890197
2017-12,24883.398689
2018-01,26461.31785
2018-02,25125.309077
2018-03,25129.713898
2018-04,25534.2853497923
2018-05,24714.99766622198
2018-06,24739.7512685718
2018-07,25754.373826481158
2018-08,25256.38224470568
2018-09,24388.163157030973
2018-10,22493.381066047397
2018-11,23126.012094893853
2018-12,21710.5195433343
2019-01,23285.77812359238
2019-02,24393.76931684123
2019-03,24670.55607899705
2019-04,26131.783455217694
2019-05,24559.93878652141
2019-06,26167.35457657724
2019-07,26396.984862986734
2019-08,26139.65186637464
2019-09,26823.105810887817
2019-10,27142.426234271217
2019-11,27776.977288393766
2019-12,28815.413692556303
2020-01,27958.642925656386
2020-02,25745.670313391383
2020-03,22870.440202201713
2020-04,24853.67291222318
2020-05,26671.43540615487
2020-06,28565.610081644034
2020-07,29801.749616481644
2020-08,30637.991198562104
2020-09,30270.49961285524
2020-10,29549.896564540097
2020-11,33714.067779879995
2020-12,35856.190745976026
2021-01,36736.39376378012
2021-02,38142.92093321113
2021-03,39876.3448883704
2021-04,41973.31046394909
2021-05,42964.951378230726
2021-06,42824.74294048902
2021-07,44784.48851625186
2021-08,47866.2183772564
2021-09,44288.37211397817
2021-10,47284.888973726804
2021-11,44531.338465093824
2021-12,45858.2685142651
2022-01,40526.605250155015
2022-02,38526.00490154422
2022-03,37891.277785002894
2022-04,34080.449450642234
2022-05,34358.14547360829
2022-06,30744.72824841707
2022-07,33956.451288411874
2022-08,30527.25795803322
2022-09,27468.326956785204
2022-10,29076.288380691512
2022-11,34123.13777378766
2022-12,33246.27207858874
2023-01,38132.812215659476
2023-02,36931.19932539231
2023-03,38791.25501525249
2023-04,38318.44623028916
2023-05,38647.15615278529
2023-06,40453.230295554626
