Date,MSCI NORWAY
2005-05,5875.985444834594
2005-06,6380.492267342797
2005-07,6793.262434627955
2005-08,7267.96538562192
2005-09,7375.6661031136655
2005-10,6813.027696359571
2005-11,6809.311208569709
2005-12,7048.88030154126
2006-01,7791.555709749492
2006-02,7843.6153494899045
2006-03,8702.373969920189
2006-04,9501.560762893554
2006-05,9052.882370912015
2006-06,8711.667264412621
2006-07,8969.950365971252
2006-08,8796.528090262751
2006-09,8173.211628330682
2006-10,8873.527254574254
2006-11,9692.775096047002
2006-12,10314.441943213338
2007-01,10743.729127960882
2007-02,10498.699568572214
2007-03,11057.755323816753
2007-04,11736.387117956454
2007-05,12062.883858586492
2007-06,12763.784261821102
2007-07,12669.436959620065
2007-08,12087.056864284421
2007-09,13732.583034363004
2007-10,14289.343220848812
2007-11,13452.372445905088
2007-12,13660.671271592457
2008-01,10783.015515693784
2008-02,12319.567744418959
2008-03,12235.088415612276
2008-04,13829.341237645756
2008-05,14953.904207780628
2008-06,13995.719301069837
2008-07,12571.759233919578
2008-08,11922.657132491897
2008-09,8310.837350709124
2008-10,5538.3250516363
2008-11,4700.852684329275
2008-12,4930.413949672891
2009-01,5052.325061481561
2009-02,4657.334601195049
2009-03,5090.72719045421
2009-04,5743.9086740065895
2009-05,6977.090866966421
2009-06,6394.88314823098
2009-07,7080.221882012186
2009-08,7269.843171109466
2009-09,8091.047110571157
2009-10,8374.919236935826
2009-11,8860.702621851035
2009-12,9299.147767156932
2010-01,8613.897513010745
2010-02,8176.221781265294
2010-03,8704.54299793395
2010-04,8857.274286556441
2010-05,7408.321631833959
2010-06,7183.78763200866
2010-07,8463.53083927363
2010-08,8033.281816544846
2010-09,9297.128644234417
2010-10,9649.225134478937
2010-11,8832.318758268619
2010-12,10398.720463639827
2011-01,10206.928415214505
2011-02,10987.605506173171
2011-03,11107.299869141518
2011-04,11870.16121285121
2011-05,11401.91618481594
2011-06,10990.45477928585
2011-07,10915.794820911626
2011-08,10135.33590714124
2011-09,8621.17478881916
2011-10,10132.779593700094
2011-11,9651.961049362217
2011-12,9448.513415776048
2012-01,9775.683773142668
2012-02,11289.051317718357
2012-03,10870.872070479356
2012-04,10634.308153291857
2012-05,9083.780009095852
2012-06,9848.199787980342
2012-07,10214.096296488407
2012-08,10915.029832591461
2012-09,11190.768577576753
2012-10,11064.329662405671
2012-11,11134.335354701174
2012-12,11309.549067080034
2013-01,12059.610744399628
2013-02,11569.790515673276
2013-03,11360.808457650412
2013-04,11787.658223798458
2013-05,11762.629298130718
2013-06,10798.478439186323
2013-07,11704.825026808756
2013-08,11500.162168476383
2013-09,11789.414181704853
2013-10,12618.126737079712
2013-11,12290.306247648097
2013-12,12484.7147978801
2014-01,11681.956764916158
2014-02,12563.129540846217
2014-03,12757.100893741888
2014-04,13387.99492850558
2014-05,14108.569376967389
2014-06,14137.535505360911
2014-07,13603.589076890263
2014-08,13865.444746897687
2014-09,13097.968356840373
2014-10,11812.317942345326
2014-11,10535.429900223218
2014-12,9835.587647895289
2015-01,9955.071294247311
2015-02,10625.17707176217
2015-03,10067.078576313548
2015-04,11251.287606306221
2015-05,10884.539467936322
2015-06,10458.234652285151
2015-07,10145.061769708263
2015-08,8969.078484518312
2015-09,8464.769764938597
2015-10,9060.301825181885
2015-11,8981.022043120265
2015-12,8436.559616837947
2016-01,7985.447202362832
2016-02,8128.037905585434
2016-03,8590.21084035508
2016-04,9266.89311954777
2016-05,9038.439581391225
2016-06,8858.407444712322
2016-07,8816.547960503287
2016-08,9030.265486841427
2016-09,9421.772656511213
2016-10,9355.425465489314
2016-11,9350.39368671459
2016-12,9668.533690673416
2017-01,10306.752101075517
2017-02,10048.153557209087
2017-03,9813.84313498411
2017-04,9835.550986
2017-05,10366.679814
2017-06,10282.324416
2017-07,11513.70774
2017-08,11794.57763
2017-09,12264.383306
2017-10,12385.924814
2017-11,12167.697492
2017-12,12531.543672
2018-01,13278.104879
2018-02,13039.29718
2018-03,12827.130427
2018-04,13177.787406396968
2018-05,13014.900388111277
2018-06,13208.189894155728
2018-07,13321.521796722604
2018-08,13212.25249731036
2018-09,14113.78298765658
2018-10,13013.24005284041
2018-11,12341.562964530229
2018-12,11577.387116517632
2019-01,12322.48908442401
