Date,MSCI EMU
2010-09,66386.15664008733
2010-10,69039.35179853796
2010-11,65607.76492372596
2010-12,69274.29728567334
2011-01,72256.19658741505
2011-02,73454.1801177243
2011-03,71572.44767283418
2011-04,74260.70752166367
2011-05,72923.89147980958
2011-06,72584.16896391277
2011-07,68819.07171179289
2011-08,59232.45085152898
2011-09,55673.55587103279
2011-10,60618.389780287675
2011-11,59628.44554545033
2011-12,59476.487426325286
2012-01,62097.839163393954
2012-02,64835.402543272365
2012-03,64919.79614358255
2012-04,62031.79293275368
2012-05,57638.14001602136
2012-06,62009.22265590005
2012-07,63504.37984467025
2012-08,65879.2271994051
2012-09,66436.916171134
2012-10,67720.18726448031
2012-11,69926.24479458798
2012-12,71444.1844453386
2013-01,73824.28013401474
2013-02,72789.4874557508
2013-03,73396.98195682083
2013-04,76159.55065949788
2013-05,77935.60646170072
2013-06,73527.52661105835
2013-07,78720.51607425862
2013-08,77578.42796221709
2013-09,82749.18933816582
2013-10,86740.92254373743
2013-11,88238.67755906162
2013-12,88880.76499947201
2014-01,86808.29604945499
2014-02,91159.72037096927
2014-03,91426.59089836713
2014-04,92654.3372560413
2014-05,95479.35313351786
2014-06,94718.95240678496
2014-07,91318.33747168997
2014-08,92682.74364165057
2014-09,93945.61608294734
2014-10,91249.32233734484
2014-11,95462.26118656422
2014-12,93159.1985217934
2015-01,100223.65973007205
2015-02,107495.44349025005
2015-03,110789.3012408411
2015-04,109402.47191386728
2015-05,110257.90723890193
2015-06,105605.01529696575
2015-07,111863.4113455344
2015-08,101602.16774193959
2015-09,96656.50246502199
2015-10,106709.42807236692
2015-11,109403.15174523379
2015-12,103104.91292717839
2016-01,95942.50652756839
2016-02,93713.7873065172
2016-03,96615.99838702242
2016-04,98278.91768421176
2016-05,100117.03921057544
2016-06,94439.01529744909
2016-07,99841.0322056877
2016-08,100624.8928592187
2016-09,101308.83241394718
2016-10,102110.75163233855
2016-11,101414.86304268969
2016-12,108824.32991554988
2017-01,108216.83918212194
2017-02,110865.03043307844
2017-03,116650.74484601612
2017-04,118934.11021261445
2017-05,121933.50523052814
2017-06,118592.03621446238
2017-07,119702.67364251308
2017-08,119174.57250411193
2017-09,123989.35751713747
2017-10,126968.4922443075
2017-11,125067.83326381283
2017-12,123376.09161592225
2018-01,127148.16744014081
2018-02,122213.29114747944
2018-03,119626.903677469
2018-04,125930.62466363335
2018-05,124284.6841674314
2018-06,123729.07760793589
2018-07,127460.36592081796
2018-08,124295.55259703976
2018-09,124564.33144370324
2018-10,116281.4832228779
2018-11,114816.48852801384
2018-12,108248.17752745829
2019-01,115152.04002482738
2019-02,119539.56070719902
2019-03,121397.87392121513
2019-04,127779.7141750081
2019-05,120777.48982284199
2019-06,127198.40659042363
2019-07,127137.19504301735
2019-08,125515.44911150346
2019-09,130649.0207420465
2019-10,132114.7265173452
2019-11,136160.5680494662
2019-12,137057.77619513933
2020-01,135200.31814512712
2020-02,124269.64415718954
2020-03,103000.5156142484
2020-04,110378.78578285291
2020-05,114845.36882553561
2020-06,121056.574991207
2020-07,118837.36895119419
2020-08,123479.9959022389
2020-09,121251.01603634979
2020-10,113837.26906669875
2020-11,133676.38874666777
2020-12,136142.9693235301
2021-01,134901.18401139503
2021-02,139820.97972568704
2021-03,149237.29135730714
2021-04,151689.93612345378
2021-05,156679.00641640575
2021-06,157738.43929401768
2021-07,159747.7670459641
2021-08,163726.7702791672
2021-09,158950.09619933536
2021-10,164336.15684205326
2021-11,158458.47737810714
2021-12,168550.63941149032
2022-01,162841.98197334938
2022-02,154059.92336927555
2022-03,152936.47565585762
2022-04,149946.64372441525
2022-05,151237.81060439622
2022-06,138276.96970815313
2022-07,147450.14073433614
2022-08,140847.70533250246
2022-09,131906.77484247295
2022-10,141230.55392012725
2022-11,152360.44533258895
2022-12,148181.62525703572
2023-01,162796.37209498868
2023-02,164882.98694333612
2023-03,166156.06356885657
2023-04,169907.85172803153
2023-05,165065.32421059598
2023-06,172478.7701771861
