Date,MSCI Europe Momentum
2009-05,39448.50676909319
2009-06,38466.448946383556
2009-07,42224.06206462721
2009-08,43097.570585422756
2009-09,43520.77087195202
2009-10,43254.524542476254
2009-11,43703.77015618523
2009-12,46452.48249113504
2010-01,45043.73669999231
2010-02,45350.04913419688
2010-03,49627.30648498717
2010-04,49764.31473384547
2010-05,47663.64391587379
2010-06,48524.86952113172
2010-07,50251.31554484189
2010-08,49277.97646069986
2010-09,52554.133853381034
2010-10,53996.32464761978
2010-11,55770.236670909355
2010-12,58609.75504521118
2011-01,56794.12039924491
2011-02,58290.892506439224
2011-03,57538.224575120184
2011-04,60908.56386009262
2011-05,60966.22635074502
2011-06,60683.808793376855
2011-07,60090.367210196884
2011-08,53380.17255012862
2011-09,51900.74697920692
2011-10,55254.4308053352
2011-11,56339.46520857665
2011-12,58667.44577237096
2012-01,58275.339413103655
2012-02,60414.242848079266
2012-03,61397.85335313202
2012-04,62571.074595649174
2012-05,60600.88073134892
2012-06,63505.49058941257
2012-07,66863.08075161297
2012-08,66826.51570635589
2012-09,66658.62235819508
2012-10,66996.81122273412
2012-11,69533.10103878553
2012-12,69583.41123935122
2013-01,71600.4772726864
2013-02,74149.29526853497
2013-03,78102.73515810732
2013-04,79206.40239379038
2013-05,78305.69347074575
2013-06,75500.96850643311
2013-07,79047.77617366539
2013-08,76954.81688060662
2013-09,80525.0018687027
2013-10,82927.2061205836
2013-11,84628.79745883794
2013-12,86403.69523595042
2014-01,85614.56376581416
2014-02,90905.62867095767
2014-03,88033.60287317418
2014-04,88565.56435366151
2014-05,92220.16498742471
2014-06,92978.57822219277
2014-07,90917.73765096012
2014-08,92609.51001893247
2014-09,94428.25917181649
2014-10,92305.57352029248
2014-11,96004.74139684063
2014-12,94911.70624798803
2015-01,103941.82643596576
2015-02,109409.45981037868
2015-03,113008.74494936626
2015-04,111394.5985210803
2015-05,114439.54410822157
2015-06,109242.84851055437
2015-07,116389.22882220974
2015-08,106360.39284247885
2015-09,103286.65761852676
2015-10,110261.4329947505
2015-11,113029.4742275271
2015-12,109298.47494037497
2016-01,104140.40957079195
2016-02,102330.01145143507
2016-03,104063.26170499875
2016-04,103878.26426271787
2016-05,107631.76778962293
2016-06,106541.5580823499
2016-07,110698.1359297541
2016-08,108710.23525584282
2016-09,111622.2767732829
2016-10,108231.86217657595
2016-11,108511.92416331313
2016-12,113505.59872154846
2017-01,115069.61727341749
2017-02,118813.98639871793
2017-03,121212.22959728008
2017-04,122195.81489897815
2017-05,124323.69951848286
2017-06,121834.91985028009
2017-07,122714.24730037076
2017-08,122765.92286659927
2017-09,127909.54705436529
2017-10,132014.33784340537
2017-11,127395.47682004403
2017-12,126555.31879636653
2018-01,130424.96645796647
2018-02,125710.03347019538
2018-03,123083.86287680907
2018-04,129229.39063387501
2018-05,131269.9251718048
2018-06,130763.89208713501
2018-07,133370.59808926497
2018-08,133785.309151871
2018-09,135768.9110643519
2018-10,125871.43287748519
2018-11,120161.28008002386
2018-12,114714.36310380581
2019-01,121999.71117477707
2019-02,126507.89467189302
2019-03,131838.6943752176
2019-04,133656.43842983397
2019-05,131211.26758897078
2019-06,137986.85664850456
2019-07,137952.70449363554
2019-08,138589.91135381738
2019-09,142073.871290592
2019-10,143093.6360336443
2019-11,147798.5221649436
2019-12,150065.8546974922
2020-01,153552.5592500044
2020-02,143690.89011967683
2020-03,130521.25722720164
2020-04,140219.1057239153
2020-05,146442.50287012308
2020-06,150955.5264375152
2020-07,152315.42482820686
2020-08,155595.41089902804
2020-09,157051.69965497174
2020-10,150897.0636078763
2020-11,161170.18680698614
2020-12,167163.33587683388
2021-01,168400.7575281917
2021-02,168112.67986470187
2021-03,178404.46180709536
2021-04,183767.18677302764
2021-05,186699.32795477283
2021-06,186973.95982915538
2021-07,193633.77885658882
2021-08,197408.35204695954
2021-09,191740.51224074903
2021-10,200938.65829564625
2021-11,195900.0215059537
2021-12,207087.06949757837
2022-01,192540.01063443793
2022-02,185370.15733440488
2022-03,190085.150537104
2022-04,184447.87241043212
2022-05,181545.15479928473
2022-06,172674.70821361485
2022-07,179367.0291671224
2022-08,173852.22489625379
2022-09,164055.71612443042
2022-10,172391.06903042164
2022-11,180083.55015257793
2022-12,175863.18429159367
2023-01,181885.85626893071
2023-02,186663.8593021796
2023-03,185865.21288867472
2023-04,194917.20373702756
