Date,MSCI Pacific
2009-11,3647.8875608485764
2009-12,3695.4956933795784
2010-01,3645.5290768312175
2010-02,3712.0446331005915
2010-03,3927.278131146789
2010-04,3921.5376600792015
2010-05,3523.5490879169715
2010-06,3472.885271384345
2010-07,3677.624729466098
2010-08,3597.957371607515
2010-09,3871.977092678555
2010-10,3962.5682591428413
2010-11,3981.4702934886377
2010-12,4283.931791743805
2011-01,4268.677885631345
2011-02,4415.768353803142
2011-03,4196.897114124201
2011-04,4291.393581052144
2011-05,4190.366913713627
2011-06,4197.50647627814
2011-07,4281.402781974983
2011-08,3977.601023323439
2011-09,3706.483096079192
2011-10,3901.7073844044394
2011-11,3689.582677859815
2011-12,3695.448153138968
2012-01,3934.413490203816
2012-02,4123.476144562298
2012-03,4111.897775961409
2012-04,4054.4760173103755
2012-05,3646.502719128497
2012-06,3849.4118398256664
2012-07,3891.735282342373
2012-08,3878.462738436222
2012-09,3992.8557619711414
2012-10,3978.6704481788106
2012-11,4061.504119249771
2012-12,4228.323806314076
2013-01,4408.2020151566585
2013-02,4520.038043639715
2013-03,4640.223041668383
2013-04,4959.399581791374
2013-05,4614.437583284221
2013-06,4559.599573638021
2013-07,4630.831134636064
2013-08,4566.453574948722
2013-09,4923.909091452409
2013-10,5004.8458364997905
2013-11,4998.688613673995
2013-12,5000.848116038121
2014-01,4777.49821716827
2014-02,4871.67511031791
2014-03,4875.217943503964
2014-04,4840.528110172164
2014-05,4996.349213356212
2014-06,5156.752625896693
2014-07,5247.420512072366
2014-08,5182.561225435894
2014-09,4969.222195090088
2014-10,5014.973672184504
2014-11,4956.131142342912
2014-12,4865.672748748049
2015-01,4937.809077446032
2015-02,5209.254920502078
2015-03,5236.060529116548
2015-04,5428.847432242678
2015-05,5426.943990388697
2015-06,5295.762063671197
2015-07,5291.6815696846015
2015-08,4878.994362416255
2015-09,4595.990952188106
2015-10,5015.44659502786
2015-11,4963.784350056144
2015-12,5009.6992299156045
2016-01,4588.436481676491
2016-02,4501.254174138252
2016-03,4820.014010887197
2016-04,5000.727330468454
2016-05,4929.583067138277
2016-06,4862.165525396149
2016-07,5185.021300624473
2016-08,5172.191720931089
2016-09,5273.443679164683
2016-10,5281.668450772297
2016-11,5195.222507450416
2016-12,5218.960024336484
2017-01,5447.276093368451
2017-02,5544.332452861996
2017-03,5580.114543382922
2017-04,5627.46443
2017-05,5718.914429
2017-06,5798.689765
2017-07,5960.739343
2017-08,5963.980903
2017-09,6023.199015
2017-10,6235.82267
2017-11,6396.50747
2017-12,6504.668424
2018-01,6786.961049
2018-02,6644.97072
2018-03,6460.421289099145
2018-04,6554.417890245716
2018-05,6518.132381332467
2018-06,6373.159458584598
2018-07,6431.409025701309
2018-08,6402.036103953834
2018-09,6518.189358444718
2018-10,5960.721987140742
2018-11,6032.736370049603
2018-12,5722.915590155155
2019-01,6092.942669550048
2019-02,6168.609185496694
2019-03,6211.035147190822
2019-04,6304.135025925677
2019-05,6080.547098084552
2019-06,6362.030114554198
2019-07,6351.848451744924
2019-08,6182.805476572407
2019-09,6376.826768390126
2019-10,6647.487531872321
2019-11,6677.060847636367
2019-12,6824.851959656567
2020-01,6725.445481624085
2020-02,6142.24929506897
2020-03,5439.640999858741
2020-04,5835.302098468347
2020-05,6065.989124280347
2020-06,6209.93596934717
2020-07,6192.0595547161965
2020-08,6626.648822967597
2020-09,6544.756804095137
2020-10,6460.640986873183
2020-11,7311.030547759432
2020-12,7639.064772021123
2021-01,7603.566192394276
2021-02,7751.701615261834
2021-03,7832.365248661885
2021-04,7857.457584030533
2021-05,7994.578199911537
2021-06,7936.1668769817325
2021-07,7829.658268539668
2021-08,8007.331398221689
2021-09,8059.456299140005
2021-10,7957.522073315685
2021-11,7659.926936660053
2021-12,7840.024979200681
2022-01,7428.444335924607
2022-02,7443.453987961799
2022-03,7596.375637822338
2022-04,7007.215337763893
2022-05,7069.071670937875
2022-06,6499.879366980748
2022-07,6826.073646396676
2022-08,6671.639842764466
2022-09,5974.130672873778
2022-10,6097.824946771009
2022-11,6795.881819375903
2022-12,6818.0763642616985
2023-01,7301.918740994534
2023-02,6950.341523103145
2023-03,7139.4920123624515
2023-04,7161.000874401912
2023-05,7095.523550435238
2023-06,7389.391932976585
