Date,MSCI USA High Dividend Yield
2010-10,35227.66505516975
2010-11,37243.596986843324
2010-12,38086.140772491075
2011-01,37612.610846349395
2011-02,38821.39272589266
2011-03,38254.62248344211
2011-04,38243.207298292655
2011-05,39489.62666625867
2011-06,38828.56135403679
2011-07,38415.2614618979
2011-08,37177.915362887594
2011-09,38203.77869586125
2011-10,39615.38404878232
2011-11,42010.331282976236
2011-12,44946.12641881092
2012-01,44412.91080037968
2012-02,44919.40210303128
2012-03,46252.821465419125
2012-04,46825.63174377787
2012-05,47900.509085689606
2012-06,49570.814569601775
2012-07,51980.32757826071
2012-08,50861.34631384693
2012-09,50610.998054282645
2012-10,49901.61875739941
2012-11,49618.830369340154
2012-12,48750.79894983117
2013-01,50067.426642170285
2013-02,52833.02100304509
2013-03,56580.28093671861
2013-04,56981.94257970788
2013-05,57294.11752874188
2013-06,56508.24812594655
2013-07,58064.0625779897
2013-08,56430.47957003707
2013-09,56216.11593033414
2013-10,58504.76740656451
2013-11,59999.83523857978
2013-12,60111.29761622521
2014-01,58785.179622006806
2014-02,59805.603479753736
2014-03,61540.54087778318
2014-04,62853.50471318911
2014-05,64845.55600418761
2014-06,65743.89021166791
2014-07,66028.83629736815
2014-08,69530.23534507946
2014-09,72445.63878049201
2014-10,74540.14863510738
2014-11,76881.093303351
2014-12,78461.47758576953
2015-01,81510.18136897613
2015-02,85255.41071606916
2015-03,86938.91734043112
2015-04,85158.71338078825
2015-05,87367.06720253189
2015-06,82872.78427811388
2015-07,85856.45874064408
2015-08,79449.71088584537
2015-09,79294.7333072333
2015-10,87363.53979091924
2015-11,91142.39611620255
2015-12,88118.97748333222
2016-01,86218.91540610816
2016-02,87244.39732904317
2016-03,88842.319925649
2016-04,88998.42114185686
2016-05,92463.07635754846
2016-06,95759.24582135813
2016-07,98166.88968685917
2016-08,97518.20524406078
2016-09,97339.5554410666
2016-10,97599.18489621907
2016-11,102388.71698255636
2016-12,105804.94577779436
2017-01,104585.60797937299
2017-02,110945.53302365827
2017-03,110129.86347370157
2017-04,107804.65971753873
2017-05,106827.61057785932
2017-06,105341.96779519705
2017-07,104249.39334931748
2017-08,103735.13970728665
2017-09,106068.4481941959
2017-10,109037.35014367366
2017-11,110914.63161160176
2017-12,111172.96401725148
2018-01,111305.8534975596
2018-02,108477.81082175866
2018-03,105900.10636245337
2018-04,107560.413895729
2018-05,112166.30344562026
2018-06,113096.91431024524
2018-07,117411.37527096506
2018-08,120307.30923625648
2018-09,122686.25531543605
2018-10,120512.95396021244
2018-11,124871.01022348453
2018-12,113747.09658533311
2019-01,119521.4705364756
2019-02,125324.53772080857
2019-03,128266.41117842913
2019-04,130639.32843899517
2019-05,123070.12548077742
2019-06,128762.73678628808
2019-07,132222.0212556541
2019-08,132491.22185986632
2019-09,139161.01393662445
2019-10,136861.50786390677
2019-11,141914.09032109877
2019-12,141980.53466548494
2020-01,141757.5104257226
2020-02,129546.12784154512
2020-03,114614.75942023564
2020-04,127496.23927498472
2020-05,128122.43919005981
2020-06,126224.2445546423
2020-07,123197.80009861955
2020-08,126572.61734196647
2020-09,126455.07439993237
2020-10,123325.41637062204
2020-11,132400.38476410153
2020-12,132180.82126294108
2021-01,132005.98724875093
2021-02,133971.33169973356
2021-03,149102.3621037257
2021-04,148238.93714595548
2021-05,150141.69964885362
2021-06,152997.76650552778
2021-07,155903.55825242648
2021-08,159621.89655185575
2021-09,155273.40142223623
2021-10,160289.87277328223
2021-11,161846.81947024548
2021-12,174616.4507577864
2022-01,173709.45636916114
2022-02,169459.73992015453
2022-03,175483.0042268003
2022-04,178060.71486588448
2022-05,179413.8854900046
2022-06,173574.38419468355
2022-07,183526.79383365408
2022-08,180776.60132418943
2022-09,171011.617035839
2022-10,184755.5308585461
2022-11,189318.4504955929
2022-12,178463.8829442277
2023-01,178765.33694876102
2023-02,176360.56560863406
2023-03,173777.19339831272
2023-04,172814.56809376949
