Date,FTSE EPRA/NAREIT Developed Europe ex UK
2003-12,16501.66121545271
2004-01,16828.908416295133
2004-02,17675.139353608694
2004-03,18322.47390662646
2004-04,17843.079921608587
2004-05,18148.636992665444
2004-06,18954.96230284925
2004-07,19212.400979187645
2004-08,19830.7802618606
2004-09,20295.328090083498
2004-10,20871.380032106954
2004-11,22027.379716163894
2004-12,22761.580080216085
2005-01,23540.845374114015
2005-02,23921.15968860656
2005-03,24004.866742876096
2005-04,25020.40704278767
2005-05,26965.56945860586
2005-06,28268.767207906585
2005-07,29246.82359420815
2005-08,29149.74446963391
2005-09,30510.7474677321
2005-10,28941.371815043454
2005-11,28844.608566145707
2005-12,29522.583059782894
2006-01,31321.284453602428
2006-02,33726.783021956995
2006-03,35669.52372425543
2006-04,34886.15204656315
2006-05,33018.589755269044
2006-06,33928.73287112551
2006-07,35517.69281575647
2006-08,35796.50574620393
2006-09,38134.828087358546
2006-10,39106.145792561685
2006-11,40360.17222822232
2006-12,43594.4232797914
2007-01,45231.08045157216
2007-02,45974.441210242534
2007-03,47174.34761333142
2007-04,46159.43906477282
2007-05,46674.632293126095
2007-06,41953.23855664762
2007-07,38747.311024070375
2007-08,38750.469780835265
2007-09,38387.42333665744
2007-10,38058.28088175609
2007-11,35009.34356039378
2007-12,33654.65807582538
2008-01,32972.05073893302
2008-02,34658.826851383354
2008-03,34217.759115112785
2008-04,34537.004132150825
2008-05,34119.416487832605
2008-06,29790.65621722974
2008-07,29329.47772955606
2008-08,29547.326654441185
2008-09,26688.546490325152
2008-10,21023.000356821587
2008-11,18730.058821189206
2008-12,19758.234148160333
2009-01,19691.2685047447
2009-02,18236.5557226215
2009-03,17771.481434937785
2009-04,20476.53543649592
2009-05,21146.718330113046
2009-06,20334.601965860275
2009-07,22561.736068890823
2009-08,25995.09408854002
2009-09,27153.410194224543
2009-10,27517.93072489264
2009-11,26703.497939012294
2009-12,27704.086790236728
2010-01,27705.771460511336
2010-02,27572.682508817375
2010-03,29489.73198942806
2010-04,27914.038823209634
2010-05,26368.7750138263
2010-06,27290.500237820692
2010-07,29432.874367660068
2010-08,29699.36814672447
2010-09,32672.3900138373
2010-10,33566.10759451634
2010-11,30684.68967358528
2010-12,33652.446946089956
2011-01,33104.29735548968
2011-02,34151.004055481484
2011-03,34730.0041704855
2011-04,35664.048545862956
2011-05,36811.624878546856
2011-06,36162.81623903881
2011-07,35064.832387563656
2011-08,32887.50134952618
2011-09,29894.05285533375
2011-10,31480.27521076847
2011-11,29611.449416768417
2011-12,29772.54601177772
2012-01,30871.688074066667
2012-02,31084.272404343643
2012-03,32598.580397431073
2012-04,31997.363693180676
2012-05,31741.820270901215
2012-06,32969.73431730544
2012-07,35025.7690955712
2012-08,34713.36805152376
2012-09,34639.45314322537
2012-10,36548.395148139505
2012-11,37323.55405824308
2012-12,37484.12419379157
2013-01,37097.597657661405
2013-02,37853.804027175654
2013-03,37765.148253974454
2013-04,39871.14996300507
2013-05,40122.4491112282
2013-06,37308.14163112286
2013-07,38465.69889814057
2013-08,37205.46744280774
2013-09,38792.16169544475
2013-10,40117.41183128604
2013-11,40019.684540352835
2013-12,39501.252017466366
2014-01,39284.61860324274
2014-02,41885.44581383149
2014-03,41477.75874507496
2014-04,43010.77893947867
2014-05,45238.47591190634
2014-06,46243.04722889724
2014-07,45499.329530712435
2014-08,46634.34886815807
2014-09,45371.035182207575
2014-10,45964.48788344286
2014-11,47689.28323454132
2014-12,48563.87066826734
2015-01,55760.69244640093
2015-02,58945.777059344524
2015-03,58488.4061686628
2015-04,56957.06496930073
2015-05,54717.83984030067
2015-06,51974.63700683352
2015-07,55572.992749271805
2015-08,54516.66366542657
2015-09,54628.04017598301
2015-10,59042.41974902574
2015-11,58351.88491186812
2015-12,57689.302250257046
2016-01,55938.31169227676
2016-02,55774.88590686527
2016-03,59813.837460606446
2016-04,58926.668911229775
2016-05,60747.69909152926
2016-06,60630.96638766391
2016-07,64903.38334913581
2016-08,64880.036808362725
2016-09,63595.97706584386
2016-10,59627.065134421886
2016-11,57642.60916871091
2016-12,60350.80789838707
2017-01,58786.58966659135
2017-02,60771.04563230234
2017-03,61074.55066235226
2017-04,62615.422353374895
2017-05,65743.85881696634
2017-06,64786.650645270456
2017-07,64553.18523753975
2017-08,65790.55189851248
2017-09,65907.28460237784
2017-10,66817.79969252758
2017-11,67518.1959157197
2017-12,69455.95879988454
2018-01,68872.29528055778
2018-02,65160.19529763958
2018-03,67121.3047225775
2018-04,69899.54307457288
2018-05,70716.67200163034
2018-06,71113.56319477255
2018-07,72701.12796734134
2018-08,73798.41538367563
2018-09,71370.37514327632
2018-10,68685.52295437321
2018-11,68989.02798442313
2018-12,65510.393409235636
2019-01,71883.99904028386
2019-02,69619.38458529604
2019-03,73915.14808754099
2019-04,72607.74180424905
2019-05,74031.88079140634
2019-06,71417.06822482245
2019-07,73144.71224202967
2019-08,75619.44556397512
2019-09,77860.71347818991
2019-10,78981.34743529727
2019-11,80662.29837095835
2019-12,82413.28892893862
2020-01,84981.40841397637
2020-02,79681.7436584894
2020-03,62592.07581260183
2020-04,64179.64058517062
2020-05,66280.82925474696
2020-06,67494.84937494661
2020-07,67868.39402731575
2020-08,69432.61225911147
2020-09,69596.03804452295
2020-10,65720.51227619326
2020-11,74428.77198454854
2020-12,77183.66379577086
2021-01,74452.11852532162
2021-02,72164.15752956072
2021-03,74498.81160686776
2021-04,78537.76316060894
2021-05,82016.39773579643
2021-06,82716.79395898855
2021-07,87526.18135824105
2021-08,89417.25116085974
2021-09,81339.3480533774
2021-10,86008.65620799149
2021-11,85495.03231098391
2021-12,85845.23042258
2022-01,83557.26942681908
2022-02,80895.76377868906
2022-03,80755.68453405063
2022-04,74615.54431073311
2022-05,72561.0487227029
2022-06,59650.41167519497
2022-07,67261.38396721592
2022-08,60794.39217307541
2022-09,51409.0827823011
2022-10,52856.568310231465
2022-11,54514.17270511947
2022-12,54093.9349712042
2023-01,59113.441237414336
2023-02,57969.46073953388
2023-03,50451.874610605206
2023-04,53113.38025873523
