Date,MSCI Europe Growth
2002-05,190872.99461479156
2002-06,176442.9060875069
2002-07,158659.54769193928
2002-08,156761.5293526493
2002-09,140979.6759269943
2002-10,153619.35301962864
2002-11,156101.9179897979
2002-12,144498.69824230493
2003-01,132868.2504027997
2003-02,129296.01779239421
2003-03,127164.99016410908
2003-04,139671.92626823185
2003-05,138491.44777326382
2003-06,143639.54277901677
2003-07,145429.31219680238
2003-08,149255.19797094306
2003-09,144331.7125423661
2003-10,153421.56678076676
2003-11,155458.0382204387
2003-12,158267.67511223952
2004-01,164346.5387012906
2004-02,168586.4431522524
2004-03,165397.46317606303
2004-04,167057.8237272048
2004-05,166325.4031152007
2004-06,168080.97322713674
2004-07,164032.21098628157
2004-08,162293.86824108977
2004-09,164476.11608398063
2004-10,165723.32538644507
2004-11,169934.85964675224
2004-12,172274.40225926356
2005-01,175867.74258725613
2005-02,180911.67774276593
2005-03,180871.65972835658
2005-04,178184.63022749926
2005-05,188387.95160346743
2005-06,193326.7474615903
2005-07,200504.4219496483
2005-08,201945.36345857952
2005-09,208512.39211202378
2005-10,202601.59982554105
2005-11,207532.64952189242
2005-12,214634.07098507028
2006-01,221879.4674149695
2006-02,224895.39820112684
2006-03,230621.10504654897
2006-04,234383.93958035833
2006-05,222388.2434341245
2006-06,226038.17431500682
2006-07,227406.54209646993
2006-08,232490.15956786484
2006-09,235779.6286244229
2006-10,243931.0212304664
2006-11,243607.58218728573
2006-12,252124.04042479576
2007-01,258712.70515553755
2007-02,253496.64474337286
2007-03,263238.50123489875
2007-04,273301.1840156526
2007-05,281779.80313697
2007-06,280409.87850120035
2007-07,272103.41845043557
2007-08,270903.31898539735
2007-09,277124.30226512376
2007-10,284480.3009738092
2007-11,274421.95461360563
2007-12,270655.201323081
2008-01,242247.14112924619
2008-02,244306.80797464738
2008-03,234654.59486506143
2008-04,247202.24547935335
2008-05,253134.94598750563
2008-06,231680.66653744635
2008-07,227684.86854470923
2008-08,230173.99840104312
2008-09,201902.6173354331
2008-10,181283.73788076846
2008-11,167916.4263680466
2008-12,162013.9745108314
2009-01,160949.61088404807
2009-02,149529.23969347266
2009-03,150378.989567515
2009-04,164253.59452988647
2009-05,173832.42174972224
2009-06,171349.90630331918
2009-07,187822.69712395268
2009-08,191991.07639979513
2009-09,195938.04291076463
2009-10,195156.55929035
2009-11,198495.60134753416
2009-12,210748.797137901
2010-01,206230.71876014027
2010-02,209741.6035567781
2010-03,225481.95366397547
2010-04,223523.88681505527
2010-05,215129.69374460322
2010-06,217497.69004796474
2010-07,224049.14118867283
2010-08,224565.3383381465
2010-09,232128.24971481325
2010-10,236959.13253128278
2010-11,239464.51010537823
2010-12,251811.76600439454
2011-01,248134.4695378448
2011-02,253932.74759292792
2011-03,247717.2322408527
2011-04,256508.0860725352
2011-05,258974.12908820604
2011-06,252837.81012808724
2011-07,250832.22844564586
2011-08,226146.43561497366
2011-09,212580.8635673149
2011-10,229987.78116217555
2011-11,231041.4626230434
2011-12,235762.4059221466
2012-01,243033.80185291983
2012-02,254633.75038236257
2012-03,257416.3211210274
2012-04,259105.1937715946
2012-05,243467.5867394816
2012-06,254364.37239313987
2012-07,266822.2896622267
2012-08,267280.9075341634
2012-09,267136.593787794
2012-10,268055.2327746781
2012-11,277181.4006345229
2012-12,278135.0488106805
2013-01,285518.98729739507
2013-02,292594.5237817953
2013-03,302617.39115281275
2013-04,306167.6684694907
2013-05,307263.6987663845
2013-06,293122.078196434
2013-07,307352.1613714384
2013-08,304226.8466218748
2013-09,317263.2478841906
2013-10,322852.6907825098
2013-11,327288.2071091039
2013-12,330165.10555002256
2014-01,321849.84649836866
2014-02,338106.5026927645
2014-03,335981.6208020709
2014-04,340787.8164628421
2014-05,351981.44733545743
2014-06,349903.96884250327
2014-07,341332.2085052601
2014-08,349656.3653173723
2014-09,353269.7174049225
2014-10,348300.5585851589
2014-11,362879.1149851755
2014-12,357525.8691914337
2015-01,388323.09784718545
2015-02,415591.77316741104
2015-03,425005.90918996657
2015-04,424755.33374912944
2015-05,435037.3613924475
2015-06,414344.52387333964
2015-07,438820.544721294
2015-08,399299.0425090894
2015-09,388194.35970712727
2015-10,423999.66287217767
2015-11,436155.0436388773
2015-12,416516.6478105107
2016-01,391589.7878906761
2016-02,384858.105456194
2016-03,391393.9783429961
2016-04,394958.4269200617
2016-05,404785.1671075379
2016-06,394618.391437369
2016-07,411921.4438265178
2016-08,407894.9831241391
2016-09,410250.8481242453
2016-10,393257.1158828403
2016-11,391869.1216696319
2016-12,410551.4345436319
2017-01,413375.9714187917
2017-02,430244.19376622624
2017-03,441826.35408410797
2017-04,450103.9446150411
2017-05,463722.33609523845
2017-06,448729.2820073939
2017-07,446525.8463906062
2017-08,445721.0037861184
2017-09,458571.2363898454
2017-10,470542.09563768486
2017-11,461511.04961751535
2017-12,463685.54410762765
2018-01,466874.3328839344
2018-02,448211.2622769455
2018-03,442421.06077565934
2018-04,460017.95874299394
2018-05,471268.6414182336
2018-06,470225.45561383583
2018-07,481802.3057361482
2018-08,481440.7416455083
2018-09,479600.93184106407
2018-10,447839.50679231674
2018-11,443322.6821083274
2018-12,420487.0243783402
2019-01,446865.3770525073
2019-02,467261.4169309963
2019-03,484925.61608822056
2019-04,505161.4864582771
2019-05,489318.6313970839
2019-06,514563.27794927766
2019-07,519572.45325648616
2019-08,520624.99088138517
2019-09,531205.7327138373
2019-10,534078.5254438664
2019-11,554172.5908158983
2019-12,560250.6599492681
2020-01,565854.5097018741
2020-02,522105.03505118145
2020-03,472044.02727592486
2020-04,509924.91416013136
2020-05,526630.0882536758
2020-06,539005.477392871
2020-07,541465.1746859528
2020-08,556901.8670195898
2020-09,560377.1479797652
2020-10,530058.334368524
2020-11,577328.7077668284
2020-12,594358.0071611544
2021-01,592976.1304624191
2021-02,596136.7685323372
2021-03,629673.5175013191
2021-04,650341.4486552225
2021-05,672926.9875142205
2021-06,692700.891657394
2021-07,714133.4309057496
2021-08,729645.7154612395
2021-09,702350.4634473793
2021-10,736697.556850599
2021-11,724645.8217632578
2021-12,769327.825321493
2022-01,701204.7792338609
2022-02,678785.1622085628
2022-03,687296.208332423
2022-04,673207.1739500969
2022-05,648435.5697200183
2022-06,611710.7937125849
2022-07,675958.4416804455
2022-08,636111.7820765355
2022-09,594681.3296766607
2022-10,617032.491662782
2022-11,657606.2642870342
2022-12,633910.1357449599
2023-01,679498.0775522091
2023-02,683232.082003235
2023-03,706854.6570550968
2023-04,726440.2117550247
2023-05,714002.7758017345
2023-06,730234.3782503405
