Date,MSCI USA
1997-08,234292.7223299289
1997-09,240103.81773462196
1997-10,229362.19904148177
1997-11,235562.485491628
1997-12,245538.6363379897
1998-01,254468.1261659742
1998-02,271766.72634692315
1998-03,286959.7790810061
1998-04,288403.5797081888
1998-05,278356.20203271
1998-06,292473.4755781505
1998-07,290308.593654934
1998-08,248922.5816559482
1998-09,252945.7649684554
1998-10,262493.2095299034
1998-11,288470.0815939013
1998-12,303583.6084835152
1999-01,327060.86965952115
1999-02,328498.0197248777
1999-03,350959.1590299786
1999-04,368640.6784541058
1999-05,364926.88151585055
1999-06,389331.56732586876
1999-07,363828.55493060156
1999-08,365678.0101099972
1999-09,351768.74161026615
1999-10,382385.82459433225
1999-11,404366.51632073324
1999-12,434771.63792705047
2000-01,422211.36806011427
2000-02,415451.4303136805
2000-03,464633.39425165567
2000-04,472774.35960152437
2000-05,449495.95814448927
2000-06,448103.3908026098
2000-07,455006.6468806539
2000-08,496787.79612251103
2000-09,477331.1176517
2000-10,493536.4152956886
2000-11,440590.5890667457
2000-12,410552.95681438956
2001-01,426115.32701213844
2001-02,389925.58123660734
2001-03,382263.19088423916
2001-04,410003.9042812157
2001-05,431732.92897355056
2001-06,421852.74919375026
2001-07,404791.6024781168
2001-08,361279.6290876867
2001-09,334646.6335143688
2001-10,342888.7537659919
2001-11,375292.3241894413
2001-12,381319.80078145757
2002-01,383603.2110182763
2002-02,375504.34024239983
2002-03,386247.1375450187
2002-04,349808.55001748254
2002-05,333188.1776241707
2002-06,289652.4623393658
2002-07,274105.89377425885
2002-08,274010.3225685592
2002-09,242424.92362912835
2002-10,264338.9634508575
2002-11,278472.0669384603
2002-12,247682.9772410377
2003-01,234349.57254563452
2003-02,231510.47916093149
2003-03,231242.96064577164
2003-04,245250.45709306517
2003-05,243305.44693884777
2003-06,254835.81625694022
2003-07,262067.81833505802
2003-08,276538.7465614054
2003-09,256338.54409678493
2003-10,271670.5120545275
2003-11,265793.2355238364
2003-12,265524.75751318096
2004-01,275705.31315219955
2004-02,278286.54551770986
2004-03,278213.0822378018
2004-04,280293.0429256387
2004-05,278177.13809000165
2004-06,284434.94595255837
2004-07,277397.6454523179
2004-08,277160.4071043763
2004-09,273474.68630477437
2004-10,270506.67938171455
2004-11,269810.2018113481
2004-12,272584.23349640233
2005-01,277786.78172680095
2005-02,278831.3166455651
2005-03,280579.3079038944
2005-04,275658.66371350794
2005-05,299121.90599876194
2005-06,305798.526822404
2005-07,317262.3508875481
2005-08,311610.7441039549
2005-09,318352.3403390833
2005-10,313624.5265084829
2005-11,333339.3857540861
2005-12,332735.00505794305
2006-01,332762.28522173513
2006-02,339916.21883272525
2006-03,337762.36665729294
2006-04,330395.6699707831
2006-05,312371.821697854
2006-06,316534.99082419166
2006-07,316248.6188938581
2006-08,321771.09427029575
2006-09,334940.9043645421
2006-10,345404.8088116285
2006-11,338809.08946652105
2006-12,343705.1514048717
2007-01,355768.97749472025
2007-02,342467.63784128556
2007-03,343390.4396465986
2007-04,350555.74974616483
2007-05,366931.55276367103
2007-06,359407.1282246908
2007-07,343149.70118365
2007-08,348411.257783268
2007-09,349546.80078957416
2007-10,348843.9650500202
2007-11,327011.32470065984
2007-12,326027.66742813616
2008-01,303172.3619547172
2008-02,287994.8791965446
2008-03,275229.36724310834
2008-04,293908.51090422465
2008-05,299214.31538993656
2008-06,270363.5032386952
2008-07,269890.8634264764
2008-08,289852.2888997704
2008-09,271216.9337028567
2008-10,252081.79772800923
2008-11,234032.33836928784
2008-12,216795.98759689508
2009-01,216241.63276599682
2009-02,196719.18883082594
2009-03,202919.51875987372
2009-04,222956.2338766899
2009-05,221491.42223379874
2009-06,221427.27757092525
2009-07,238050.3916582119
2009-08,244016.93907124968
2009-09,247059.89336514444
2009-10,239704.2693182728
2009-11,250195.28152446222
2009-12,266285.64440629515
2010-01,265039.3973974399
2010-02,281192.1121895555
2010-03,300043.52055265586
2010-04,308606.0103413209
2010-05,306962.2817250888
2010-06,291491.9173072942
2010-07,293743.1314898818
2010-08,288398.8961130931
2010-09,292304.43019004766
2010-10,299233.18632531137
2010-11,319364.25196683465
2010-12,331440.6472515009
2011-01,331207.5550730737
2011-02,338798.0936861095
2011-03,330295.7502681736
2011-04,325444.2107435192
2011-05,332546.3500249007
2011-06,325369.6953317915
2011-07,323350.18420196173
2011-08,301448.5857822036
2011-09,299388.03666257585
2011-10,320461.7462756655
2011-11,333468.5940526181
2011-12,349087.70647837594
2012-01,358952.6666975772
2012-02,367324.4030140336
2012-03,381556.47506544844
2012-04,383331.9342017349
2012-05,383305.6385410062
2012-06,392543.934186747
2012-07,407776.54960881046
2012-08,406526.0452859375
2012-09,406606.898422739
2012-10,397333.0859121633
2012-11,400136.6777791893
2012-12,397572.3077201361
2013-01,407612.41659484425
2013-02,426088.9183009071
2013-03,453302.9961316885
2013-04,452826.1407462649
2013-05,464714.4898204176
2013-06,455924.5534730004
2013-07,472863.1888584171
2013-08,461207.9309342071
2013-09,466957.9921914943
2013-10,482827.6148340898
2013-11,497693.3463042654
2013-12,504389.2550699255
2014-01,497179.7668596582
2014-02,509364.44112593174
2014-03,513792.5719387827
2014-04,514566.15229396714
2014-05,536255.1762933674
2014-06,545698.9945716269
2014-07,549241.8253133725
2014-08,579560.1501469102
2014-09,597936.5502636858
2014-10,615251.2753381105
2014-11,633641.7620824695
2014-12,649503.2351744348
2015-01,677842.776459741
2015-02,721647.2299912352
2015-03,743026.7096103998
2015-04,719333.4630197482
2015-05,745198.8221019646
2015-06,716775.3715192728
2015-07,745898.9988577869
2015-08,685156.2102923312
2015-09,667725.6840579452
2015-10,735025.6514108555
2015-11,768127.7792946828
2015-12,733856.1175402998
2016-01,692750.6668600977
2016-02,693321.9504897929
2016-03,708466.7447841165
2016-04,710843.5527556029
2016-05,740005.7261083027
2016-06,745395.1371031983
2016-07,772917.5636474952
2016-08,772765.7687029337
2016-09,771591.4695215236
2016-10,771837.071205311
2016-11,823097.3704060332
2016-12,845932.260641401
2017-01,846274.4257360385
2017-02,892661.7607236494
2017-03,886061.8315257357
2017-04,876055.5089100396
2017-05,864974.0913040509
2017-06,855825.9245359903
2017-07,849804.8708709724
2017-08,845525.3488628138
2017-09,864156.8056905576
2017-10,896705.2360907553
2017-11,907547.3073886635
2017-12,906370.2186493647
2018-01,922690.9926632814
2018-02,906516.2370839833
2018-03,876715.5090217937
2018-04,897872.1709180579
2018-05,949641.3284637142
2018-06,959452.7043705344
2018-07,987290.4283091776
2018-08,1027425.2210220302
2018-09,1038810.3959025242
2018-10,988726.475234023
2018-11,1004351.3805934632
2018-12,906617.2012310138
2019-01,977930.2440601374
2019-02,1017042.8191229078
2019-03,1052534.4658202822
2019-04,1096399.3379038954
2019-05,1033250.3616934003
2019-06,1083569.6121738027
2019-07,1122905.5313017326
2019-08,1114875.2055233316
2019-09,1150025.0618676234
2019-10,1147143.8231674682
2019-11,1208911.2382754812
2019-12,1216441.7636002211
2020-01,1238894.2041489861
2020-02,1145642.97122844
2020-03,1002252.0187746555
2020-04,1142429.3446881725
2020-05,1173794.7614833617
2020-06,1193931.8120503346
2020-07,1195416.6636103475
2020-08,1275266.9401206197
2020-09,1252018.6768307963
2020-10,1220483.9170979967
2020-11,1329636.1713452109
2020-12,1351639.2617600278
2021-01,1353997.4998187122
2021-02,1391077.6790548367
2021-03,1492160.2260869017
2021-04,1526881.2477453174
2021-05,1519258.324707079
2021-06,1603210.69333358
2021-07,1640154.2207267398
2021-08,1696690.6918302267
2021-09,1652181.3776454509
2021-10,1757402.1519890716
2021-11,1782882.0418875387
2021-12,1859399.5848902022
2022-01,1780852.2085933408
2022-02,1722041.2692794343
2022-03,1798321.9515431635
2022-04,1722332.7288677753
2022-05,1690808.1097524154
2022-06,1599525.0623917726
2022-07,1781126.2767346473
2022-08,1745242.4604059358
2022-09,1624315.6866056297
2022-10,1723903.4800741149
2022-11,1736760.9817655506
2022-12,1590199.4899324444
2023-01,1668700.5314401132
2023-02,1661690.5912981527
2023-03,1680205.5109418721
2023-04,1685102.7980895306
2023-05,1743375.7492690526
2023-06,1828308.0638408482
