Date,MSCI India
2009-10,45786.180567567564
2009-11,48900.735592092125
2009-12,52780.071886713864
2010-01,51559.77405126736
2010-02,53781.001945467935
2010-03,59147.962875584235
2010-04,61000.51070221555
2010-05,60725.13766149346
2010-06,63515.91824627169
2010-07,60259.74998464844
2010-08,61022.841009463715
2010-09,65925.13751465417
2010-10,65985.42853431478
2010-11,65751.973442068
2010-12,68825.06008082621
2011-01,58394.448466257665
2011-02,56775.26361139223
2011-03,61424.40667276694
2011-04,58112.26643337819
2011-05,57494.322419186654
2011-06,58235.45683249152
2011-07,57671.65287517532
2011-08,49883.47590311419
2011-09,49903.14872250611
2011-10,52249.32153417613
2011-11,45815.125890594725
2011-12,44659.67855321122
2012-01,53056.029963570116
2012-02,54508.125596964965
2012-03,51940.260826594786
2012-04,50014.001937339184
2012-05,47105.3700556317
2012-06,49846.58163621923
2012-07,50872.0444806252
2012-08,50111.259979383074
2012-09,56024.396473317865
2012-10,53637.32865389057
2012-11,56063.375974125986
2012-12,55169.51796271033
2013-01,56411.57207380074
2013-02,53951.96535912865
2013-03,55394.579273721196
2013-04,56532.33589351285
2013-05,55145.38855912656
2013-06,51191.13633027523
2013-07,49038.22770621469
2013-08,43900.3617075935
2013-09,46976.77257312107
2013-10,51419.21469100506
2013-11,49784.14264932775
2013-12,50758.75179464868
2014-01,49825.12693104469
2014-02,50424.789603996236
2014-03,54913.98520452567
2014-04,54063.49611552346
2014-05,60298.2020724627
2014-06,62458.67145995021
2014-07,64534.142282681816
2014-08,67149.43339399455
2014-09,69380.63822617818
2014-10,72462.73682529543
2014-11,73864.39807738525
2014-12,71419.28322213986
2015-01,82792.70170720918
2015-02,84818.97576512455
2015-03,84941.78919973974
2015-04,76159.00932679448
2015-05,80062.96758432087
2015-06,78726.67716507283
2015-07,81746.46422905078
2015-08,72918.13000445832
2015-09,73328.75454788895
2015-10,75737.70732504311
2015-11,75106.7760657907
2015-12,74768.15409203638
2016-01,69412.35824175824
2016-02,64463.937839823666
2016-03,69713.09575757575
2016-04,69934.18658247829
2016-05,72839.17945131792
2016-06,74151.54076742928
2016-07,78282.48570143076
2016-08,79054.43489040603
2016-09,78127.05721709524
2016-10,79268.05729947012
2016-11,75502.35486600848
2016-12,76116.02754956833
2017-01,77847.66092050211
2017-02,83673.80790789846
2017-03,87896.63155925545
2017-04,87633.60395242451
2017-05,86860.23855271365
2017-06,84737.90084121976
2017-07,88814.86068048094
2017-08,87417.9886680761
2017-09,84328.60413349145
2017-10,91852.26660938306
2017-11,89580.9439783948
2017-12,92828.16926540482
2018-01,92447.25478044471
2018-02,87965.08206975601
2018-03,84074.27192598005
2018-04,89288.06540276513
2018-05,88874.93194290111
2018-06,88319.50334534225
2018-07,93447.18343558282
2018-08,95036.519886705
2018-09,86944.18724948169
2018-10,82721.54440713908
2018-11,90969.97957566689
2018-12,90127.80492576418
2019-01,88099.02179665737
2019-02,88682.61737911701
2019-03,98427.7117222964
2019-04,99129.40927081477
2019-05,99940.92945924132
2019-06,97661.17602811953
2019-07,94470.00021522734
2019-08,92663.43251177964
2019-09,96803.71358251447
2019-10,98591.21904249597
2019-11,99573.08249863412
2019-12,98819.28506320101
2020-01,99653.25841476656
2020-02,93037.50762503417
2020-03,69787.29463307776
2020-04,81650.53604266276
2020-05,77549.86465517241
2020-06,82374.67190569745
2020-07,86024.34966239028
2020-08,88371.41376884421
2020-09,90693.48069695935
2020-10,91854.96108736536
2020-11,97456.76383973288
2020-12,104848.64187107813
2021-01,103553.72155570204
2021-02,109143.67930038778
2021-03,115412.66364179103
2021-04,110980.07584836948
2021-05,119475.23078436193
2021-06,121848.58404577583
2021-07,122920.41359011017
2021-08,137044.52063545716
2021-09,140946.77322739444
2021-10,139072.54176041216
2021-11,138223.21119422684
2021-12,143881.02931308493
2022-01,144086.0021154536
2022-02,137831.96785427275
2022-03,144143.99762183585
2022-04,149295.88201138517
2022-05,138428.97182861943
2022-06,133223.34448830268
2022-07,148420.44687193568
2022-08,157655.1588
2022-09,151540.7544521953
2022-10,152882.42880774662
2022-11,153711.01098689283
2022-12,141344.59024939057
2023-01,135040.49991692053
2023-02,131512.53082211132
2023-03,129914.19111724137
2023-04,134041.34184500502
