Date,FTSE Japanese Government Bond
1995-03,30894.507408892674
1995-04,32356.644902179818
1995-05,33840.80356258882
1995-06,33317.42582356866
1995-07,31734.201912701374
1995-08,29657.971872509246
1995-09,29731.705780406366
1995-10,28646.368257517654
1995-11,29717.165009745513
1995-12,28797.9362906234
1996-01,28733.382869292072
1996-02,28339.69200367619
1996-03,28403.895406456548
1996-04,29345.935334572732
1996-05,28634.667637384784
1996-06,28057.457045223397
1996-07,28047.426513605224
1996-08,28198.164502718646
1996-09,28295.39965618178
1996-10,27788.452787997765
1996-11,28189.474042124235
1996-12,27573.131375962927
1997-01,28309.880423662456
1997-02,29278.72177225393
1997-03,28330.951540431648
1997-04,28448.747783632534
1997-05,30322.227078035143
1997-06,31656.007768411728
1997-07,32612.19844651767
1997-08,31810.67596582619
1997-09,31421.005313281607
1997-10,31039.265081049296
1997-11,29657.761861378654
1997-12,29825.61075737014
1998-01,31033.37476886275
1998-02,31137.610293345548
1998-03,30015.190805112677
1998-04,29803.789600848846
1998-05,28754.20397281056
1998-06,28730.092694912833
1998-07,27488.22687602443
1998-08,28241.446796680226
1998-09,28456.148175853323
1998-10,32885.772945966135
1998-11,31560.462704523343
1998-12,32390.856715405913
1999-01,32649.890444193545
1999-02,33464.84363671275
1999-03,34646.07624204083
1999-04,35672.90066373518
1999-05,35537.21347231403
1999-06,35220.87670646544
1999-07,36086.68259417749
1999-08,38132.47102096411
1999-09,39508.57395441959
1999-10,40731.728781625425
1999-11,43301.274967573285
1999-12,43837.77340199031
2000-01,42990.93851974155
2000-02,42341.734111907936
2000-03,45800.8174433245
2000-04,45794.55711152691
2000-05,45476.34024603304
2000-06,44648.66637931811
2000-07,44835.81629826381
2000-08,47535.559384647386
2000-09,47424.51349921546
2000-10,49098.72223227831
2000-11,47625.814168150915
2000-12,42839.93051631737
2001-01,42978.57786462683
2001-02,43494.115188104974
2001-03,42560.89572747356
2001-04,43054.52188966015
2001-05,47136.42823069623
2001-06,45071.778804276626
2001-07,43329.356455892164
2001-08,43809.221888760105
2001-09,43637.21277227694
2001-10,43095.874081326314
2001-11,42999.37896708526
2001-12,40679.41600904848
2002-01,40928.8692300692
2002-02,40802.48253157418
2002-03,41158.49140004421
2002-04,41246.91608655259
2002-05,41219.454631095454
2002-06,40586.68109409799
2002-07,40948.060247193105
2002-08,41707.250484275675
2002-09,40281.8449377817
2002-10,40252.49338214926
2002-11,40079.144194642315
2002-12,39333.76468952855
2003-01,38236.30652424579
2003-02,38695.750874796366
2003-03,38264.21800355419
2003-04,37370.39063070343
2003-05,35483.05060168188
2003-06,35762.69542285741
2003-07,36264.75203185769
2003-08,37596.462612518466
2003-09,37125.037626994235
2003-10,37785.662640119925
2003-11,37052.28377103987
2003-12,35969.08636157717
2004-01,37122.34748441668
2004-02,36098.323211130184
2004-03,38051.45672720655
2004-04,36658.09287892259
2004-05,35997.04784353571
2004-06,36294.7336208819
2004-07,35814.40816363267
2004-08,36517.71543891826
2004-09,35789.4268396225
2004-10,36267.23216330466
2004-11,35956.89571547292
2004-12,35350.74358941024
2005-01,36711.98573524397
2005-02,35575.4354980814
2005-03,35704.18232166305
2005-04,36826.08178233447
2005-05,37495.54726400499
2005-06,37377.19099112253
2005-07,36599.65978196845
2005-08,36415.26000878047
2005-09,36212.27925080029
2005-10,35390.90571800306
2005-11,35191.80516567378
2005-12,35620.75790016871
2006-01,34789.68385324423
2006-02,35693.97178050437
2006-03,34282.85699142054
2006-04,33843.99373166778
2006-05,33933.598480719476
2006-06,33333.29666472323
2006-07,33391.95977386802
2006-08,33027.19044109338
2006-09,33160.57751060806
2006-10,33122.16547477016
2006-11,32411.127789772865
2006-12,31657.117827244845
2007-01,31687.71944913081
2007-02,31926.65211256197
2007-03,31818.036355926866
2007-04,30712.66777139189
2007-05,30394.090886817005
2007-06,29720.975211686222
2007-07,30584.991004523243
2007-08,31887.840055522945
2007-09,30795.072138823358
2007-10,30343.71821706551
2007-11,31297.40876266442
2007-12,31257.236633541575
2008-01,32581.87683947249
2008-02,32617.658735913
2008-03,32814.26915626528
2008-04,31293.468553833354
2008-05,30793.97208052027
2008-06,30570.770250823294
2008-07,30377.179990539502
2008-08,32361.995185744847
2008-09,34584.24296487714
2008-10,41567.93310045433
2008-11,43038.76105433588
2008-12,42021.15712132743
2009-01,45730.44371351682
2009-02,42458.320290975425
2009-03,40110.145837729404
2009-04,40233.81239205678
2009-05,38716.93199739586
2009-06,38996.226800020406
2009-07,39027.09843621712
2009-08,39816.620280874886
2009-09,40619.502833650185
2009-10,39622.830009990525
2009-11,41263.42696162897
2009-12,39995.50976201739
2010-01,42384.996404809455
2010-02,44082.03634792644
2010-03,42195.35635388676
2010-04,43040.80116246161
2010-05,48301.06995670771
2010-06,50370.359629060345
2010-07,48530.94213993342
2010-08,51693.57975972727
2010-09,48398.45511812127
2010-10,49108.522751705845
2010-11,49834.43122485492
2010-12,50274.734560931734
2011-01,48401.34527129938
2011-02,47983.243111884934
2011-03,46225.46994990735
2011-04,45315.981747032594
2011-05,46940.62785327622
2011-06,46991.53055111921
2011-07,49774.298037796005
2011-08,50305.646199248564
2011-09,53810.58196084393
2011-10,51081.937342679164
2011-11,53150.636983760145
2011-12,55974.906670053504
2012-01,56086.98261007834
2012-02,51752.982908094134
2012-03,51159.69146364758
2012-04,53348.657478846384
2012-05,58492.5601056856
2012-06,55966.766238610646
2012-07,59165.86579088692
2012-08,57565.360964131105
2012-09,56914.216453472036
2012-10,54964.63312555566
2012-11,53232.46132044998
2012-12,49916.45557214533
2013-01,46062.301301969004
2013-02,47750.65078449158
2013-03,48330.25150332968
2013-04,45186.14486567788
2013-05,43762.87943260993
2013-06,44351.210614162555
2013-07,43970.30042592258
2013-08,44609.43430001791
2013-09,43701.606185127814
2013-10,43806.48174353241
2013-11,41965.40416642082
2013-12,40155.7482546575
2014-01,42657.19083111405
2014-02,41718.27106836662
2014-03,41318.10985982257
2014-04,41471.06796660223
2014-05,42446.88968515331
2014-06,42622.5689961568
2014-07,43035.91090327787
2014-08,43443.852524183785
2014-09,42933.005449288816
2014-10,42576.036529936086
2014-11,40719.24812015037
2014-12,42033.66778439257
2015-01,46011.59861472658
2015-02,45177.08438547243
2015-03,47093.04593143437
2015-04,45387.10551659238
2015-05,44482.977597812685
2015-06,44372.601747892644
2015-07,44339.75000675036
2015-08,44778.973285584136
2015-09,45646.72927665166
2015-10,45987.56734106908
2015-11,47072.334833746194
2015-12,47251.76434351021
2016-01,47845.245798027296
2016-02,52134.66313714627
2016-03,50472.88506290834
2016-04,53345.85733043851
2016-05,53175.52830300005
2016-06,58455.47814034145
2016-07,57560.10068533633
2016-08,56554.11736822052
2016-09,57258.28468908853
2016-10,56388.27857876468
2016-11,53335.89680253054
2016-12,52025.217336518836
2017-01,52242.948876290444
2017-02,53645.03318675891
2017-03,53432.28191094128
2017-04,52778.107239683704
2017-05,51407.96462212498
2017-06,49730.79573217381
2017-07,48930.46331455567
2017-08,49005.387285526136
2017-09,47996.453812052045
2017-10,48243.2168904952
2017-11,48013.214700379125
2017-12,47408.28263897987
2018-01,47077.5351093608
2018-02,49409.19868753044
2018-03,49262.680922088875
2018-04,48698.74103327477
2018-05,50902.86785199616
2018-06,49945.96713625822
2018-07,49204.197822484595
2018-08,49607.259184736795
2018-09,48363.06324235185
2018-10,49985.26921926862
2018-11,49977.3588000164
2018-12,51682.45917033603
2019-01,52199.98659928977
2019-02,51558.132581026795
2019-03,53080.94328999437
2019-04,52630.059393147836
2019-05,54783.97355059819
2019-06,54405.023466243714
2019-07,55317.70183819743
2019-08,58247.637124767614
2019-09,56941.527900978755
2019-10,55363.32425618557
2019-11,55063.29835481281
2019-12,54347.15039897114
2020-01,55435.728093588965
2020-02,56798.7903358878
2020-03,55689.31153351128
2020-04,56530.66612530465
2020-05,54950.33236761548
2020-06,54040.21413134896
2020-07,52613.55851860149
2020-08,51539.3715866941
2020-09,52999.21895860481
2020-10,53744.92848120951
2020-11,52546.23495045237
2020-12,51908.46114844087
2021-01,51370.832654130674
2021-02,50002.25011925632
2021-03,50433.351493411436
2021-04,50535.27322404236
2021-05,50571.0835618316
2021-06,50600.00729619983
2021-07,50942.960146566045
2021-08,50889.24463988217
2021-09,50671.62797177831
2021-10,50595.87533414723
2021-11,50736.36204393579
2021-12,50593.120692778815
2022-01,50102.79452920304
2022-02,49728.1633031002
2022-03,49571.14874510121
2022-04,49342.513511523735
2022-05,49215.80000857718
2022-06,48532.64894921317
2022-07,48944.467833789466
2022-08,48819.13165152711
2022-09,48065.73723726882
2022-10,47988.607278953525
2022-11,47615.353373534876
2022-12,46837.167186960956
2023-01,46631.94640501491
2023-02,47414.264553641435
2023-03,48414.199370371825
2023-04,48580.855173160235
