Date,FTSE World Government Bond - Developed Markets (Hedged EUR)
2001-01,46301.15191054593
2001-02,46705.60291341239
2001-03,46995.987350487376
2001-04,46589.731247176445
2001-05,46819.60043164588
2001-06,47107.43010907541
2001-07,47736.46322625701
2001-08,48206.17403535629
2001-09,48589.79240358495
2001-10,49636.27719240792
2001-11,49215.64933309923
2001-12,48914.16796706234
2002-01,49038.354932067065
2002-02,49257.24555481685
2002-03,48850.22006443123
2002-04,49489.422900510355
2002-05,49674.332260794596
2002-06,50370.173822295255
2002-07,51068.007899040625
2002-08,51865.59596920084
2002-09,52702.846929455096
2002-10,52592.44974817368
2002-11,52635.121139008515
2002-12,53565.369295931916
2003-01,53913.32953242966
2003-02,54464.02326310868
2003-03,54427.09268352348
2003-04,54628.78060039811
2003-05,55676.10382385376
2003-06,55420.83500198265
2003-07,54439.15627829717
2003-08,54251.603382935784
2003-09,55054.62648230311
2003-10,54524.81470594618
2003-11,54640.222767149935
2003-12,55138.2923947074
2004-01,55489.43868280933
2004-02,56089.42250595288
2004-03,56361.36138110898
2004-04,55658.58547199925
2004-05,55598.49436867844
2004-06,55637.94025216167
2004-07,55966.66581179214
2004-08,56851.25380501364
2004-09,57139.26103330657
2004-10,57528.659668532266
2004-11,57774.833940623044
2004-12,58157.860472640394
2005-01,58693.92598496341
2005-02,58374.12728818675
2005-03,58646.17466664824
2005-04,59398.80291262327
2005-05,59934.148357555874
2005-06,60448.73021540865
2005-07,60042.79962201394
2005-08,60543.14781898491
2005-09,60239.979719745825
2005-10,59806.124321114534
2005-11,60006.30305565036
2005-12,60452.76456558236
2006-01,60190.14711075425
2006-02,60207.99097252499
2006-03,59561.56773466799
2006-04,59172.91875864326
2006-05,59331.41249602976
2006-06,59241.147609869455
2006-07,59760.296470486115
2006-08,60593.29607395585
2006-09,60901.96824996004
2006-10,61071.726603234965
2006-11,61424.875270518474
2006-12,61003.6457110616
2007-01,60865.56045902815
2007-02,61496.240853664545
2007-03,61366.4018528419
2007-04,61446.15178231475
2007-05,60915.541027072555
2007-06,60638.94637372089
2007-07,61464.31129006484
2007-08,62206.08920549934
2007-09,62308.26972738051
2007-10,62759.199600707834
2007-11,63596.845118436286
2007-12,63650.77126122269
2008-01,64798.65732091529
2008-02,65256.126984377486
2008-03,65366.415662353495
2008-04,64671.59995028575
2008-05,64010.15393659856
2008-06,64068.459667348594
2008-07,64919.00721448341
2008-08,65799.40303454152
2008-09,66081.96536969047
2008-10,66390.31203577846
2008-11,68491.82378274087
2008-12,69986.09184903442
2009-01,68850.59489403172
2009-02,69101.88854935026
2009-03,69836.03177765897
2009-04,69552.87760629872
2009-05,68956.97745301314
2009-06,69511.77458142383
2009-07,69987.36429688871
2009-08,70556.76005184485
2009-09,70913.469600333
2009-10,70832.29926395303
2009-11,71489.02045188667
2009-12,70740.39696427478
2010-01,71175.95882398199
2010-02,71557.36767035512
2010-03,71530.64626541486
2010-04,71802.6640520658
2010-05,72746.54416972284
2010-06,73290.28382491907
2010-07,73702.00454924768
2010-08,75161.28523151646
2010-09,74873.02154086532
2010-10,74572.27010615569
2010-11,73495.66085417748
2010-12,73207.73253737939
2011-01,72860.2852255981
2011-02,72865.73011874207
2011-03,72775.4553686449
2011-04,73275.79370167904
2011-05,74125.07866489641
2011-06,74067.36477035769
2011-07,74805.0590159342
2011-08,76248.71522222464
2011-09,77187.17017461141
2011-10,76626.93801699359
2011-11,76415.19874846368
2011-12,77771.49006602918
2012-01,78272.08486142155
2012-02,78406.33304201839
2012-03,78186.12065173003
2012-04,78645.07976965733
2012-05,79771.03829772124
2012-06,79443.87124011386
2012-07,80257.28106498953
2012-08,80312.60788680935
2012-09,80541.79645963578
2012-10,80608.99946142905
2012-11,81167.36733498126
2012-12,81126.56022821204
2013-01,80738.59186383033
2013-02,81207.4050546758
2013-03,81794.66439927639
2013-04,82593.7616517754
2013-05,81350.64914568442
2013-06,80545.46584414585
2013-07,80794.27378737692
2013-08,80572.57194262344
2013-09,81103.79426195065
2013-10,81784.65250336853
2013-11,81755.52429783565
2013-12,81194.31561046919
2014-01,82487.43827641512
2014-02,82790.77406258076
2014-03,82924.519182398
2014-04,83426.03132391788
2014-05,84097.92324673454
2014-06,84437.82464682174
2014-07,84783.01311706322
2014-08,85909.37606653817
2014-09,85736.98404212295
2014-10,86278.69172632704
2014-11,87261.1201092135
2014-12,88034.51194226835
2015-01,89890.43138941441
2015-02,89207.70886393094
2015-03,89907.98919701636
2015-04,89208.80376092184
2015-05,88597.99919904832
2015-06,87422.38561285626
2015-07,88524.04926444622
2015-08,88342.6218738718
2015-09,89030.18759235111
2015-10,89220.13742436827
2015-11,89237.04421213777
2015-12,88960.00568162762
2016-01,90705.09393427067
2016-02,91783.76474905158
2016-03,92155.28006675912
2016-04,91897.26907044231
2016-05,92410.0063721032
2016-06,94509.722882558
2016-07,94733.8512557778
2016-08,94308.91285606346
2016-09,94128.40281161656
2016-10,92717.8006577273
2016-11,91032.62595754166
2016-12,91059.85042326152
2017-01,90219.8079688773
2017-02,90942.51889437104
2017-03,90688.72966302819
2017-04,91164.97039832549
2017-05,91494.62316802032
2017-06,90992.09504100439
2017-07,91038.1004424962
2017-08,91820.17253998347
2017-09,91072.03238527747
2017-10,91368.3943680866
2017-11,91456.22286184372
2017-12,91275.85091251279
2018-01,90491.78629978083
2018-02,90356.46295006678
2018-03,91240.79448093005
2018-04,90675.66981063214
2018-05,90690.26843717757
2018-06,90824.35879478474
2018-07,90408.12038737652
2018-08,90316.64223698305
2018-09,89695.1648954324
2018-10,89508.89431186217
2018-11,89918.47456189324
2018-12,91138.9394689651
2019-01,91704.1726425684
2019-02,91406.35079710474
2019-03,92948.02494392352
2019-04,92555.24297835655
2019-05,94000.54646210176
2019-06,95078.85231121905
2019-07,95605.46817203495
2019-08,98187.1366372261
2019-09,97343.74044431117
2019-10,96702.25903881853
2019-11,96118.6986705386
2019-12,95276.90043539417
2020-01,97299.40204814785
2020-02,98716.26780194003
2020-03,98658.67227464357
2020-04,99407.09848351835
2020-05,99195.1718001882
2020-06,99421.02636235763
2020-07,100292.49531956196
2020-08,99209.83947429161
2020-09,99914.58817077236
2020-10,99786.40631134136
2020-11,99900.05859178491
2020-12,99910.72150752519
2021-01,99073.49027514465
2021-02,96865.66501675882
2021-03,97964.3778778881
2021-04,96727.54111421686
2021-05,96179.75427345383
2021-06,98011.4655719365
2021-07,99640.69978601103
2021-08,99504.14547327066
2021-09,99080.3562268351
2021-10,98827.65226877536
2021-11,101582.2823706066
2021-12,99871.42948684815
2022-01,99147.84858830445
2022-02,97885.89838780742
2022-03,95365.13716641659
2022-04,94654.11298628578
2022-05,93098.64949288708
2022-06,92351.52474731917
2022-07,96401.0664354813
2022-08,93382.74524697907
2022-09,90909.07171963663
2022-10,89673.80454576701
2022-11,90022.25348172514
2022-12,86580.14304678736
2023-01,87768.32252660855
2023-02,86842.26454365675
2023-03,88050.84869089893
2023-04,87008.64106262775
