Date,MSCI North America
1995-09,1508.6125966893403
1995-10,1481.6255901291706
1995-11,1494.320195290277
1995-12,1552.6323468631297
1996-01,1655.34771050629
1996-02,1680.0163827924612
1996-03,1701.4141377256412
1996-04,1747.8260439302662
1996-05,1729.8060455577238
1996-06,1697.1369457243077
1996-07,1611.547540760041
1996-08,1683.5845738214887
1996-09,1726.5355200103008
1996-10,1773.4198749129093
1996-11,1867.9904904398438
1996-12,1871.5468577816123
1997-01,1849.0329035039103
1997-02,1875.2095248732023
1997-03,1788.1129256352774
1997-04,1751.392333074491
1997-05,1860.2641754287154
1997-06,1900.8878593054303
1997-07,1895.7870228632266
1997-08,1632.692827752586
1997-09,1688.3059187950455
1997-10,1330.1355624142934
1997-11,1288.046027743337
1997-12,1291.3983694691321
1998-01,1211.537412118281
1998-02,1397.9271571439474
1998-03,1381.4086879173362
1998-04,1284.83803696472
1998-05,1140.6760479116897
1998-06,1071.9450418593449
1998-07,1035.1834274828773
1998-08,895.1942569936052
1998-09,976.9572358978643
1998-10,1165.6134881863313
1998-11,1219.8249515674524
1998-12,1205.6378720287544
1999-01,1213.898188303991
1999-02,1201.2248719039785
1999-03,1296.1060955575201
1999-04,1510.1448146037394
1999-05,1402.8756277272312
1999-06,1518.5120861999862
1999-07,1504.3831215950474
1999-08,1469.830342806749
1999-09,1442.6807937360895
1999-10,1469.2168286897327
1999-11,1591.1453195666716
1999-12,1718.992658939111
2000-01,1596.9921797406303
2000-02,1591.841120846614
2000-03,1605.459760662645
2000-04,1539.1465224301287
2000-05,1395.9808875611677
2000-06,1558.8632993056638
2000-07,1551.2461918875003
2000-08,1569.9369535192423
2000-09,1466.480608875101
2000-10,1386.0434144304388
2000-11,1379.5912098069705
2000-12,1451.4422381547013
2001-01,1496.563539999595
2001-02,1445.5334989773648
2001-03,1280.999300126545
2001-04,1354.5136449360934
2001-05,1342.1109983575532
2001-06,1341.8968056925237
2001-07,1304.26720472569
2001-08,1280.1206373239688
2001-09,1091.0491402776659
2001-10,1156.1428544362086
2001-11,1265.0696708577952
2001-12,1308.0710639816004
2002-01,1325.3988875617154
2002-02,1306.7162145128461
2002-03,1364.0470821379997
2002-04,1370.7734112524563
2002-05,1400.7522820247802
2002-06,1326.616482967434
2002-07,1246.26232791485
2002-08,1251.0807085805695
2002-09,1169.0012174699066
2002-10,1233.2844861948317
2002-11,1262.746593681901
2002-12,1224.083789865328
2003-01,1235.010407255683
2003-02,1218.9180078580073
2003-03,1231.568143697347
2003-04,1298.6533578061672
2003-05,1364.4994586794146
2003-06,1413.9390654386384
2003-07,1438.2077199337948
2003-08,1504.1264525029865
2003-09,1567.6704438187455
2003-10,1678.4796466987825
2003-11,1673.7035257028106
2003-12,1784.2957557889301
2004-01,1830.187537402923
2004-02,1900.4404743003083
2004-03,1892.3939700790665
2004-04,1793.3341825984298
2004-05,1797.4517434618317
2004-06,1800.8701990701438
2004-07,1816.361172198661
2004-08,1870.0690143824063
2004-09,1969.1550497651901
2004-10,2046.003782654207
2004-11,2210.5631442372073
2004-12,2292.1049890328172
2005-01,2285.345164045984
2005-02,2388.4660797162205
2005-03,2300.900494665783
2005-04,2298.118085561388
2005-05,2296.5185501648384
2005-06,2405.686339109637
2005-07,2493.199234328404
2005-08,2489.7030735732583
2005-09,2628.3986973675137
2005-10,2471.3020190635357
2005-11,2555.113615540823
2005-12,2608.7524498886382
2006-01,2775.5812360088353
2006-02,2753.999607512324
2006-03,2776.021442837125
2006-04,3000.100888762416
2006-05,2822.7164300655413
2006-06,2839.8876301758933
2006-07,2874.070152310876
2006-08,2962.934630090695
2006-09,2951.246034678132
2006-10,3153.691980743352
2006-11,3301.2739923027334
2006-12,3444.0852145536046
2007-01,3475.9399588826923
2007-02,3535.183185450192
2007-03,3697.376455990713
2007-04,3884.8355120667243
2007-05,3961.639283485825
2007-06,4048.4503678093724
2007-07,4068.599099373514
2007-08,3996.6398500894566
2007-09,4578.399872991529
2007-10,4934.767990689076
2007-11,4606.532232117463
2007-12,4502.333045563361
2008-01,4045.549359847558
2008-02,4118.057404940894
2008-03,3916.1574975914573
2008-04,4232.429555502143
2008-05,4294.271856553047
2008-06,3974.1772230080555
2008-07,3774.277679864004
2008-08,3585.7951201399355
2008-09,2972.804131394683
2008-10,2229.214414213966
2008-11,2107.0254640218122
2008-12,2228.6322709650462
2009-01,2022.4570531826546
2009-02,1921.6958935908478
2009-03,2179.1817847216657
2009-04,2466.051866697525
2009-05,2797.1384605372664
2009-06,2875.0482575908136
2009-07,3209.478388017402
2009-08,3322.0161008211744
2009-09,3662.2386152436975
2009-10,3680.46320123966
2009-11,3767.6520780822325
2009-12,3851.2271150468628
2010-01,3589.6908399968934
2010-02,3701.8416373813398
2010-03,3970.560608271473
2010-04,3964.9900725650573
2010-05,3417.192076836929
2010-06,3404.884570721343
2010-07,3754.1532137372437
2010-08,3680.8450534693707
2010-09,4157.8631738700715
2010-10,4275.278244210678
2010-11,4186.00529351392
2010-12,4502.578694321817
2011-01,4450.823256302315
2011-02,4521.327305999793
2011-03,4626.940612672911
2011-04,4862.774397611448
2011-05,4697.341576295633
2011-06,4615.84286142559
2011-07,4599.82683946207
2011-08,4349.314240347797
2011-09,3704.447701128734
2011-10,4262.738630390288
2011-11,3963.6322624835716
2011-12,3926.8787242136204
2012-01,4305.974044198438
2012-02,4496.890307526643
2012-03,4369.214515190685
2012-04,4436.6406932697855
2012-05,3911.247854748393
2012-06,4155.531249428639
2012-07,4431.445095815977
2012-08,4441.477549074728
2012-09,4612.297366288409
2012-10,4695.581527196661
2012-11,4774.4054913777945
2012-12,4891.847617145566
2013-01,5140.4615086851845
2013-02,5261.294805911573
2013-03,5235.248115052841
2013-04,5448.298375343908
2013-05,4959.451759630494
2013-06,4664.357182010732
2013-07,4816.178199280663
2013-08,4812.649181789795
2013-09,5146.154989122856
2013-10,5375.939577074599
2013-11,5226.048214077334
2013-12,5160.631281779195
2014-01,4874.849115033436
2014-02,5190.320765851413
2014-03,5313.300330782334
2014-04,5436.005838571815
2014-05,5541.59838754432
2014-06,5542.539508479429
2014-07,5749.137887087429
2014-08,5765.486449893201
2014-09,5215.708009380862
2014-10,5465.303053391468
2014-11,5267.90492392791
2014-12,5136.35657300728
2015-01,5137.204544014672
2015-02,5367.7958866080335
2015-03,5297.355184330256
2015-04,5506.18822764265
2015-05,5368.221807052679
2015-06,5166.153316623841
2015-07,5106.694586795438
2015-08,4505.799939214614
2015-09,4341.126481630552
2015-10,4650.999806071291
2015-11,4600.398765560157
2015-12,4701.082055048627
2016-01,4287.949841783635
2016-02,4281.6184970500535
2016-03,4786.046718596303
2016-04,4884.840057770883
2016-05,4778.859015265928
2016-06,4817.3752795199725
2016-07,5151.978214489789
2016-08,5076.66322630445
2016-09,5211.645195902778
2016-10,5102.135980669768
2016-11,5098.266711443452
2016-12,5070.041802153682
2017-01,5358.147889692686
2017-02,5523.362237693082
2017-03,5666.117411187723
2017-04,5693.119976
2017-05,5637.776679
2017-06,5753.484887
2017-07,6000.783235
2017-08,6016.323014
2017-09,5964.194208
2017-10,6047.564033
2017-11,6152.074772
2017-12,6382.282032
2018-01,6628.285682
2018-02,6410.806446
2018-03,6144.01451
2018-04,6335.345238168937
2018-05,6356.7384242631215
2018-06,6253.044959286743
2018-07,6374.417779331922
2018-08,6259.98166532085
2018-09,6218.654829157623
2018-10,5674.189927750998
2018-11,5839.084090545971
2018-12,5724.9031231189065
2019-01,6137.02177300351
2019-02,6368.150571104531
2019-03,6425.779031817543
2019-04,6535.719682579492
2019-05,6355.113619009685
2019-06,6757.119556969737
2019-07,6708.53937062754
2019-08,6321.73243235228
2019-09,6405.775918284441
2019-10,6598.482346730982
2019-11,6611.953028887357
2019-12,6775.970328297264
2020-01,6663.911442769907
2020-02,6151.325512680231
2020-03,4906.054146327408
2020-04,5481.219355972365
2020-05,5459.233794841123
2020-06,5896.576861449643
2020-07,6047.374048855149
2020-08,6396.552629021977
2020-09,6013.204086056577
2020-10,5979.1587950765
2020-11,6857.963541980189
2020-12,7219.889452564751
2021-01,7270.461879314768
2021-02,7479.596115556078
2021-03,7553.116916858403
2021-04,7871.806296446197
2021-05,8040.270971830837
2021-06,7912.671550485873
2021-07,7794.638323175769
2021-08,7847.745443921823
2021-09,7564.827104927128
2021-10,7809.186991847029
2021-11,7316.94464252089
2021-12,7557.840878557718
2022-01,7134.283801574441
2022-02,7335.006955724986
2022-03,7842.649898727812
2022-04,7378.920883041176
2022-05,7349.44756275809
2022-06,6737.616211743942
2022-07,6996.144397975051
2022-08,6874.038789251894
2022-09,6143.061852298568
2022-10,6173.084963879682
2022-11,7078.110719111194
2022-12,7108.603110998582
2023-01,7721.674845795796
2023-02,7222.089439775133
2023-03,7262.026149733727
2023-04,7275.363814057891
2023-05,6841.880973325358
2023-06,7131.486732694408
