Date,MSCI Pacific ex-Japan
1986-05,36321.290817858855
1986-06,34980.51691026931
1986-07,32019.064805357513
1986-08,33256.493259891366
1986-09,35028.2048874547
1986-10,39725.18087340735
1986-11,40290.84845050937
1986-12,42620.58030873288
1987-01,41227.554412649755
1987-02,45792.24646102196
1987-03,47221.7339868733
1987-04,47731.432319045874
1987-05,50493.39313684296
1987-06,53535.998229267265
1987-07,60137.56884400034
1987-08,64349.0456363744
1987-09,65137.3280327923
1987-10,36510.00014942532
1987-11,35772.60020178319
1987-12,36649.420835947574
1988-01,36680.850035689415
1988-02,37587.240161851434
1988-03,41574.69451904584
1988-04,43342.58155665722
1988-05,46880.418367477054
1988-06,49486.55125092136
1988-07,54091.341689444205
1988-08,52326.218026527444
1988-09,51073.18563288607
1988-10,53099.568007544374
1988-11,50793.526218935775
1988-12,51124.95953738733
1989-01,58718.71956477785
1989-02,54858.59496573502
1989-03,56175.87460276523
1989-04,58380.35719198928
1989-05,58145.49914710902
1989-06,56781.739136031916
1989-07,59201.17057758391
1989-08,62730.225017737386
1989-09,65473.60255757722
1989-10,60895.14588394835
1989-11,60094.13492213735
1989-12,60179.99804098026
1990-01,58060.75194089305
1990-02,56568.14044853772
1990-03,56818.97348659048
1990-04,53204.30382627574
1990-05,57300.77396627737
1990-06,59519.77622890369
1990-07,60820.05843011926
1990-08,53710.4100429919
1990-09,48882.2617770094
1990-10,46865.76592104731
1990-11,45533.7574176206
1990-12,46074.530806869174
1991-01,48964.48256591383
1991-02,52749.139638058485
1991-03,58828.10300554721
1991-04,64057.17459526327
1991-05,65151.74263889301
1991-06,67323.57329189802
1991-07,71341.34958155749
1991-08,68903.42140905955
1991-09,67701.23045166339
1991-10,70144.09356545107
1991-11,66870.33019338606
1991-12,66283.02056760248
1992-01,68274.60315535172
1992-02,71990.91484843806
1992-03,73402.19917454892
1992-04,76191.59518673546
1992-05,79811.456815137
1992-06,76751.08994190845
1992-07,71255.1846148703
1992-08,65500.88415169662
1992-09,65931.85642499266
1992-10,70826.12653991177
1992-11,74010.96011627893
1992-12,74567.39948951956
1993-01,76590.93053717533
1993-02,84538.67219524038
1993-03,86401.1736111293
1993-04,87739.10645259387
1993-05,91323.49865560245
1993-06,91136.39814066957
1993-07,98357.59236925066
1993-08,106598.51656626008
1993-09,104338.18668426802
1993-10,122633.98726082935
1993-11,122168.65610882742
1993-12,147470.36776488065
1994-01,145367.2311881902
1994-02,137760.28642826743
1994-03,120587.28194013085
1994-04,126551.67154254657
1994-05,127921.88695924137
1994-06,120269.20721447298
1994-07,122704.74450460987
1994-08,131100.5913958947
1994-09,126290.75849086719
1994-10,125874.13724039998
1994-11,117508.94697818054
1994-12,118063.26934910935
1995-01,105670.77721594162
1995-02,114276.80989516908
1995-03,110995.3666798894
1995-04,110315.46547562526
1995-05,119624.51378877851
1995-06,116384.67971439245
1995-07,119782.53943404237
1995-08,120145.42826207617
1995-09,123251.57411343922
1995-10,119201.90671081866
1995-11,120521.68599157516
1995-12,127247.3144666311
1996-01,137352.71101782602
1996-02,140242.39514870924
1996-03,141980.30951100102
1996-04,147139.83272383167
1996-05,147433.87913330062
1996-06,143571.02856596658
1996-07,134300.98025893388
1996-08,139075.07863726252
1996-09,143901.9756202527
1996-10,148312.61361447195
1996-11,154260.35571091282
1996-12,158018.6640279269
1997-01,160407.44850186573
1997-02,169812.2136816657
1997-03,163851.62716509713
1997-04,161407.1422440704
1997-05,170961.9548523711
1997-06,176703.74357897276
1997-07,181179.24064942327
1997-08,160532.97703600925
1997-09,161692.70212492612
1997-10,125121.15069771833
1997-11,118710.55401722789
1997-12,122272.41414128042
1998-01,117394.30467166987
1998-02,135201.23262431182
1998-03,134139.5665427727
1998-04,123960.04113938725
1998-05,108416.42746392678
1998-06,102664.7819989784
1998-07,99419.37257390993
1998-08,85661.82889779077
1998-09,89160.09927042732
1998-10,102485.44849157076
1998-11,110395.19155325448
1998-12,108456.77435004042
1999-01,112812.37322122038
1999-02,115388.79238024593
1999-03,127750.83754926937
1999-04,150935.96174024837
1999-05,142157.5474677434
1999-06,155836.4455650776
1999-07,149154.13453400164
1999-08,147448.5779480238
1999-09,143530.1382305897
1999-10,149188.2921935668
1999-11,167322.15096236815
1999-12,181742.4444212515
2000-01,173297.69678193692
2000-02,174162.86077054887
2000-03,178669.06012664668
2000-04,180169.9693854959
2000-05,159637.10965054983
2000-06,173654.62571881234
2000-07,178718.98902433887
2000-08,187782.73426789307
2000-09,178293.28829770547
2000-10,175544.12577384914
2000-11,169417.28898760641
2000-12,166407.1906836419
2001-01,171801.9008816408
2001-02,166831.67932529177
2001-03,154928.54245180718
2001-04,163021.15034026463
2001-05,169094.1548707932
2001-06,169195.81721228996
2001-07,159285.78752043657
2001-08,149547.27797072424
2001-09,127953.36251863248
2001-10,136961.76365507295
2001-11,152414.01619313602
2001-12,159132.4583267576
2002-01,164528.6637932151
2002-02,162031.25072389684
2002-03,167889.98793260177
2002-04,163421.19229561568
2002-05,160287.42559101677
2002-06,143012.6976441601
2002-07,136987.82973925534
2002-08,136932.13865107717
2002-09,127754.14912454119
2002-10,134785.8565072757
2002-11,137284.67762453077
2002-12,125996.83238919992
2003-01,123255.69511225613
2003-02,122132.09450138871
2003-03,122311.28144105997
2003-04,126252.75585952762
2003-05,124969.08661451007
2003-06,134164.229368429
2003-07,137787.9530469852
2003-08,149380.4595794786
2003-09,146187.019570785
2003-10,156947.15684476218
2003-11,151878.78979581787
2003-12,153815.57598587815
2004-01,160909.1714772964
2004-02,166775.91173133047
2004-03,168902.77783992692
2004-04,163813.16138029986
2004-05,160893.35652191355
2004-06,161919.1513469419
2004-07,164957.6234894475
2004-08,169080.70257810428
2004-09,173935.2194818658
2004-10,176088.68792497824
2004-11,182511.0546656795
2004-12,184774.51798494227
2005-01,192511.7981138262
2005-02,198138.3670362902
2005-03,195392.5802888955
2005-04,195275.93836181622
2005-05,205159.3947333539
2005-06,219437.4481638616
2005-07,227401.95999033347
2005-08,225476.98625036475
2005-09,241401.6149995404
2005-10,227349.3175509827
2005-11,240410.8447541834
2005-12,245003.78017538274
2006-01,253767.1346595622
2006-02,257343.61529482584
2006-03,254714.96656032276
2006-04,265786.0242434259
2006-05,243754.10452334976
2006-06,248541.65744700847
2006-07,250476.88507736314
2006-08,256912.31886402084
2006-09,260040.89202219548
2006-10,277155.6899599462
2006-11,279338.7993592061
2006-12,292213.6873618787
2007-01,299834.8371963695
2007-02,299382.8681201993
2007-03,310895.83220542007
2007-04,319787.44422215846
2007-05,330037.0053459412
2007-06,336241.1094957003
2007-07,332935.98843099654
2007-08,327596.96036538185
2007-09,363030.9946109221
2007-10,384067.8249063596
2007-11,351253.62465150433
2007-12,344363.6616324703
2008-01,306350.3138630271
2008-02,306206.48010413616
2008-03,279614.5231472915
2008-04,307508.840026092
2008-05,312976.2605442763
2008-06,285094.7730422287
2008-07,273410.3431861422
2008-08,275663.3733417679
2008-09,235757.00387364705
2008-10,198241.77982723922
2008-11,188109.98675783232
2008-12,182033.70370860677
2009-01,179386.50481224983
2009-02,172816.2644013761
2009-03,186215.40609997133
2009-04,211256.46170637765
2009-05,225640.22392287874
2009-06,231409.0590975966
2009-07,258255.5155250592
2009-08,264861.11184763233
2009-09,284615.06304039113
2009-10,282999.55690072844
2009-11,285418.5419005958
2009-12,304303.4665674691
2010-01,292576.0614433162
2010-02,310596.7133006856
2010-03,335450.4052687959
2010-04,339112.50691138656
2010-05,316217.6757418985
2010-06,316068.1843941931
2010-07,328242.8498254611
2010-08,330733.87752416916
2010-09,347148.0729585972
2010-10,351576.25031637534
2010-11,366996.4340706052
2010-12,384068.4555973801
2011-01,370505.42344667873
2011-02,372572.1720144526
2011-03,371309.15237538645
2011-04,373088.36365501187
2011-05,372309.2728393212
2011-06,364203.89551750297
2011-07,367854.23000896897
2011-08,343320.484975369
2011-09,312978.421489517
2011-10,347346.94108480075
2011-11,337038.635535187
2011-12,346352.62780017115
2012-01,372959.57123117935
2012-02,381858.26983614225
2012-03,373483.7998069245
2012-04,383325.4254054645
2012-05,360041.1575426503
2012-06,376957.7233871373
2012-07,412002.3850880156
2012-08,402309.7859678358
2012-09,407512.2234035312
2012-10,412870.00570689427
2012-11,420032.0385002462
2012-12,423688.52043637214
2013-01,433533.7461260117
2013-02,458034.3813335816
2013-03,467323.166274479
2013-04,476408.8688487037
2013-05,435873.40762206446
2013-06,407735.72783749015
2013-07,414827.5285084578
2013-08,415874.78331774415
2013-09,435826.12320961116
2013-10,450753.05887171905
2013-11,439154.58363944304
2013-12,428121.8629006637
2014-01,412646.65396842966
2014-02,430000.6806029518
2014-03,441010.93627401337
2014-04,449187.8412189636
2014-05,466094.4494182927
2014-06,464650.2504320032
2014-07,492024.3446435887
2014-08,500607.29145127186
2014-09,474674.2152692892
2014-10,499740.89313907654
2014-11,483278.79449616873
2014-12,484631.4716028731
2015-01,520561.0931506524
2015-02,547183.0149535649
2015-03,564181.8781844848
2015-04,562586.0820491755
2015-05,560739.332565602
2015-06,529257.0831492125
2015-07,533761.4790542688
2015-08,460643.3789203961
2015-09,444321.6832881083
2015-10,484082.0508195214
2015-11,498639.7926302773
2015-12,495324.65335323673
2016-01,450434.06446549465
2016-02,451187.8426232868
2016-03,482368.2054530123
2016-04,491551.1813577023
2016-05,491624.0897628937
2016-06,498108.90269031044
2016-07,532184.7236547858
2016-08,523591.6860340352
2016-09,536168.1258131348
2016-10,535216.6074951098
2016-11,550453.4937954088
2016-12,552494.6822041904
2017-01,572276.5413309088
2017-02,598799.3357943032
2017-03,608942.2960047026
2017-04,598467.2445875226
2017-05,577289.8534322256
2017-06,579476.7343621647
2017-07,588153.473194056
2017-08,584879.923391747
2017-09,580804.5156812862
2017-10,597430.853822835
2017-11,596947.4187227234
2017-12,612050.9915178019
2018-01,611971.9111665563
2018-02,603751.9803934508
2018-03,573640.2158774417
2018-04,603361.4806915718
2018-05,625079.7572865013
2018-06,617253.4291581581
2018-07,625056.0966639008
2018-08,618375.9694715713
2018-09,618330.7503970475
2018-10,577061.0207485355
2018-11,591694.3572171876
2018-12,575735.4247436045
2019-01,615145.1760432092
2019-02,642392.1610343357
2019-03,658743.4361014421
2019-04,671029.4915892704
2019-05,656426.8807508395
2019-06,684130.6288665853
2019-07,693166.4913964585
2019-08,660106.7068780281
2019-09,677942.5605959856
2019-10,681754.6869035795
2019-11,693859.1374907957
2019-12,695362.376051133
2020-01,695132.1444224248
2020-02,646137.4402898027
2020-03,516350.37959350634
2020-04,581130.0531085101
2020-05,565295.0489374711
2020-06,607334.0256857955
2020-07,588710.6182392016
2020-08,617936.8910221172
2020-09,592460.9909367203
2020-10,589619.4425859941
2020-11,660394.9258471148
2020-12,678920.3450170829
2021-01,691283.2532219383
2021-02,712159.8809724882
2021-03,743503.3715259039
2021-04,751980.9435375754
2021-05,760598.6974364136
2021-06,768685.6607490843
2021-07,756775.2098604008
2021-08,765742.4987627203
2021-09,754425.0437366916
2021-10,774380.6664355064
2021-11,743611.4352229682
2021-12,770771.8486980447
2022-01,738663.2906786073
2022-02,756607.0543500168
2022-03,816160.252221242
2022-04,808777.0574400097
2022-05,792554.533863805
2022-06,749567.5763181198
2022-07,792756.3511553783
2022-08,794441.7587953755
2022-09,728344.6444955391
2022-10,719651.1173240539
2022-11,788421.2231004339
2022-12,770502.2041485126
2023-01,824053.1770120334
2023-02,786347.3000624824
2023-03,772108.9151048544
2023-04,766062.6266512236
2023-05,740522.7658646889
2023-06,759089.6891709074
