Date,S&P MidCap 400
2002-09,44322.61132377698
2002-10,46224.38790368713
2002-11,48588.38141187785
2002-12,44103.72031302936
2003-01,41512.50834179618
2003-02,40651.72796690304
2003-03,40569.18937862367
2003-04,42592.02373459436
2003-05,43425.96573902564
2003-06,45499.75573754178
2003-07,47567.893388335564
2003-08,51504.949248538716
2003-09,47560.79353959737
2003-10,51289.090068478086
2003-11,51429.784947642394
2003-12,49664.135220353215
2004-01,51748.319606943776
2004-02,52845.84933716881
2004-03,53912.48153469547
2004-04,53351.83733557097
2004-05,53337.96399945984
2004-06,54744.910486667766
2004-07,52693.25344517045
2004-08,52242.863860258185
2004-09,52498.30044966392
2004-10,51964.69951898347
2004-11,52748.37250065342
2004-12,53641.76555572906
2005-01,54622.56379139215
2005-02,55509.56404897392
2005-03,56135.69483549776
2005-04,53983.104206761745
2005-05,60139.736832774106
2005-06,62750.254181723285
2005-07,66040.67946333869
2005-08,64742.463439565276
2005-09,66085.36928688585
2005-10,64767.53538760003
2005-11,69398.45613056734
2005-12,69712.23434167092
2006-01,71864.13880918233
2006-02,72719.9566985092
2006-03,73125.69717651785
2006-04,71593.5708993106
2006-05,66605.97637502752
2006-06,67433.29183625411
2006-07,65233.07867157113
2006-08,65547.3679398299
2006-09,66983.99298551523
2006-10,69570.69056260932
2006-11,69067.34965855206
2006-12,68887.88633030301
2007-01,72581.39699352706
2007-02,71691.17400125442
2007-03,72072.39516982426
2007-04,72698.03668377017
2007-05,77203.59214720178
2007-06,75226.45548734466
2007-07,70926.38529322036
2007-08,71590.17010878828
2007-09,71027.43022041032
2007-10,71544.17899676863
2007-11,66494.67308603109
2007-12,66547.41312620699
2008-01,61821.83050424629
2008-02,59483.8399914492
2008-03,56472.893895627625
2008-04,61889.355367754186
2008-05,65298.28016261417
2008-06,59719.26108853659
2008-07,59186.35487250315
2008-08,63778.677068749545
2008-09,58667.414984148636
2008-10,51477.95916447258
2008-11,46816.272230631424
2008-12,44888.468153854774
2009-01,45208.948768419
2009-02,41386.84853445444
2009-03,42879.61290897608
2009-04,49378.07219426469
2009-05,47767.78364735144
2009-06,47942.37586284697
2009-07,52117.394878562256
2009-08,53882.84290214501
2009-09,55522.6042466727
2009-10,52439.591540198686
2009-11,53754.56980235078
2009-12,59574.44611626793
2010-01,59475.560731336234
2010-02,64400.667781599936
2010-03,69461.46814490137
2010-04,73314.13306630013
2010-05,73608.75122368583
2010-06,68986.15976266153
2010-07,69466.50385148451
2010-08,67847.18323541168
2010-09,70161.57310652082
2010-10,71487.02979597342
2010-11,78474.6859564064
2010-12,81339.76587571282
2011-01,80965.68591260811
2011-02,83864.23088319458
2011-03,83664.30803636284
2011-04,82159.50051514179
2011-05,83729.22760385413
2011-06,81638.84542625198
2011-07,79820.20787666886
2011-08,73166.29706288288
2011-09,70009.70251568449
2011-10,76801.03881720595
2011-11,79896.33371240982
2011-12,82544.12176654088
2012-01,86414.3270524266
2012-02,88508.31376789967
2012-03,90759.67638718484
2012-04,91528.53748046859
2012-05,91191.38910023542
2012-06,91535.20135706091
2012-07,93773.5697105128
2012-08,94521.69588574897
2012-09,93977.7041132434
2012-10,92779.62507941706
2012-11,94875.54751216137
2012-12,95420.73293299464
2013-01,99622.16234723601
2013-02,103826.08322729357
2013-03,111545.06499361663
2013-04,109952.62955427477
2013-05,113007.44800730233
2013-06,110293.92709392023
2013-07,115406.69132793839
2013-08,111417.8046162017
2013-09,114880.36326099925
2013-10,117960.64976586666
2013-11,119784.44987691876
2013-12,121872.56754967451
2014-01,121711.7539224694
2014-02,124912.04129861422
2014-03,125600.01615634504
2014-04,123084.14475196062
2014-05,127506.50737014288
2014-06,132285.25604092405
2014-07,129271.75650023215
2014-08,137809.8893407244
2014-09,137867.32246472445
2014-10,143453.75627473145
2014-11,146586.313317594
2014-12,151958.22262823887
2015-01,161363.74166330844
2015-02,170610.5868926702
2015-03,180589.31370246367
2015-04,170663.6100886147
2015-05,177576.51612330013
2015-06,171805.53974479533
2015-07,175523.02209804795
2015-08,162064.46791415606
2015-09,157012.98312024536
2015-10,168659.04443546472
2015-11,178019.4585907089
2015-12,165774.91765073972
2016-01,155868.34088200412
2016-02,158533.01882056808
2016-03,164523.6580957071
2016-04,166274.4637736007
2016-05,173914.0116896662
2016-06,175454.81586361735
2016-07,182803.39545929956
2016-08,183400.97902068103
2016-09,181760.18231911643
2016-10,180371.9175728384
2016-11,200508.32096001992
2016-12,206723.97527786062
2017-01,206009.33556567875
2017-02,214564.60534004023
2017-03,211854.1066656221
2017-04,208953.46509852775
2017-05,202544.55504933785
2017-06,202379.24530926917
2017-07,198679.26138586432
2017-08,194008.43045732778
2017-09,201929.16193305553
2017-10,209478.09015045437
2017-11,213312.33212397355
2017-12,211210.5145168172
2018-01,209188.1439650818
2018-02,203893.45346888053
2018-03,204000.06303657786
2018-04,207547.20019492015
2018-05,223131.39697798647
2018-06,224858.19694422002
2018-07,227304.60670535732
2018-08,236277.63905668762
2018-09,235201.39307567646
2018-10,217599.84774068417
2018-11,223583.4899440221
2018-12,196707.0164606708
2019-01,216565.19260785237
2019-02,227169.89814003106
2019-03,229515.81841982552
2019-04,239106.24138273057
2019-05,221368.81426292064
2019-06,233491.59663786978
2019-07,241119.5249154762
2019-08,233412.88358174733
2019-09,243809.67065189587
2019-10,240706.84653155156
2019-11,251750.07539634546
2019-12,253017.26392514736
2020-01,250467.77983277256
2020-02,228242.43906023583
2020-03,182382.073543755
2020-04,209779.8826906141
2020-05,219868.564660743
2020-06,221398.38001255
2020-07,218901.77832004306
2020-08,224845.88678194844
2020-09,221857.1098328051
2020-10,226873.2188501034
2020-11,253158.52232713532
2020-12,263274.6105061109
2021-01,270207.3273881244
2021-02,288942.176464654
2021-03,312649.1800306404
2021-04,317071.08033632115
2021-05,314595.90151972376
2021-06,319679.3297351177
2021-07,320593.893444842
2021-08,328414.7292577847
2021-09,322319.70291734894
2021-10,339357.10521273816
2021-11,337565.1441523814
2021-12,355866.4289204583
2022-01,335241.8076465438
2022-02,337674.8749613012
2022-03,345372.4831150673
2022-04,337902.16614466475
2022-05,334933.2478829469
2022-06,312212.4689665198
2022-07,352501.6662503403
2022-08,348329.3607760212
2022-09,324480.6508642565
2022-10,352609.3345383088
2022-11,357522.26141448575
2022-12,328532.83860304893
2023-01,353319.6806261818
2023-02,353906.8653996069
2023-03,334484.4737967535
2023-04,328661.1475456356
