Date,MSCI ACWI ex NORWAY
2021-10,4641.643536612185
2021-11,4531.745371
2021-12,4714.36679095126
2022-01,4483.344509546573
2022-02,4368.377449610626
2022-03,4465.281774721275
2022-04,4109.437911867942
2022-05,4116.84485424989
2022-06,3771.7821224740364
2022-07,4036.5855085637595
2022-08,3889.35377836931
2022-09,3519.428355583769
2022-10,3732.3536099345233
2022-11,4023.638552382423
2022-12,3866.7198954941127
2023-01,4145.562430170503
2023-02,4028.005531039364
2023-03,4155.573033430071
2023-04,4217.264402806458
2023-05,4175.551178692763
2023-06,4419.792084054888
