Date,MSCI EM LATIN AMERICA
2009-01,4048.7781773604042
2009-02,3837.058856644542
2009-03,4258.228578904709
2009-04,5001.421853124205
2009-05,6035.5044964223
2009-06,5901.779677422336
2009-07,6435.293211899425
2009-08,6573.0561821595975
2009-09,7363.770589289626
2009-10,7486.799859025396
2009-11,8118.8814671859045
2009-12,8286.039955343456
2010-01,7551.026475457438
2010-02,7868.264145784503
2010-03,8424.253223920967
2010-04,8396.284825132558
2010-05,7674.754036388283
2010-06,7418.187821860008
2010-07,8302.795194689868
2010-08,8121.578073750272
2010-09,8975.451809303771
2010-10,9264.818171854055
2010-11,8949.664614615893
2010-12,9519.624623444226
2011-01,9097.649025208866
2011-02,9276.646241124421
2011-03,9608.859105925138
2011-04,9658.204895762066
2011-05,9401.548351369762
2011-06,9370.518726011716
2011-07,9052.437519973708
2011-08,8567.927338267573
2011-09,7073.593620517907
2011-10,8313.107022282675
2011-11,7818.659395832145
2011-12,7697.048870122276
2012-01,8669.502266716672
2012-02,9116.671266173702
2012-03,8824.652556767376
2012-04,8496.749278076972
2012-05,7383.5041252593055
2012-06,7670.43931944844
2012-07,7773.218289431102
2012-08,7732.69657362877
2012-09,8031.448154106368
2012-10,8000.341342005973
2012-11,7869.205871899387
2012-12,8381.908461562332
2013-01,8696.297731589388
2013-02,8456.907082931973
2013-03,8459.140393808104
2013-04,8438.612753399284
2013-05,7858.769887205322
2013-06,7152.035205472
2013-07,7080.143912916155
2013-08,6859.2614529392895
2013-09,7448.248696807678
2013-10,7806.099067112043
2013-11,7459.701206206455
2013-12,7279.338122966114
2014-01,6591.768461294246
2014-02,6714.057255426689
2014-03,7307.76634791037
2014-04,7509.684207623796
2014-05,7506.799478291105
2014-06,7818.368485302605
2014-07,7900.951930019808
2014-08,8530.136883071706
2014-09,7392.995006967624
2014-10,7384.992281004379
2014-11,7046.103928994099
2014-12,6403.693025622769
2015-01,6008.30129493864
2015-02,6262.71546335566
2015-03,5795.874012684998
2015-04,6394.252212946439
2015-05,5945.709415873105
2015-06,6005.242508448026
2015-07,5503.941238255597
2015-08,4926.052201760196
2015-09,4548.826270393122
2015-10,4826.785944383088
2015-11,4625.636635928643
2015-12,4430.171288505924
2016-01,4227.177768255139
2016-02,4387.3928445257425
2016-03,5282.007083184437
2016-04,5598.450392315889
2016-05,4995.585718733718
2016-06,5568.049033498363
2016-07,5875.847320654243
2016-08,5917.79249941156
2016-09,5869.482760471661
2016-10,6453.661770223114
2016-11,5770.042483034645
2016-12,5824.298892324146
2017-01,6268.409602155948
2017-02,6493.888824224258
2017-03,6530.938539013135
2017-04,6533.992739
2017-05,6382.613634
2017-06,6425.575586
2017-07,6958.595891
2017-08,7281.880941
2017-09,7397.146973
2017-10,7131.519884
2017-11,6918.479461
2017-12,7231.100534
2018-01,8183.239739
2018-02,7890.851201
2018-03,7817.527214
2018-04,7720.1635169587535
2018-05,6638.597491197622
2018-06,6436.562790923795
2018-07,7031.290083831076
2018-08,6445.473009022261
2018-09,6749.024822076332
2018-10,6982.829154250461
2018-11,6831.485975446518
2018-12,6780.499674428498
2019-01,7795.121501862683
2019-02,7507.305726400226
2019-03,7318.737455856881
2019-04,7352.1894998951875
2019-05,7207.475771313993
2019-06,7653.020090780075
2019-07,7663.524413157073
2019-08,7041.958991665228
2019-09,7227.127132467658
2019-10,7549.30402350407
2019-11,7239.596852705371
2019-12,7993.485373991705
2020-01,7546.481719044877
2020-02,6637.672333621878
2020-03,4350.3881624890355
2020-04,4625.740696857198
2020-05,4927.222011624205
2020-06,5186.574400724133
2020-07,5754.916773935414
2020-08,5398.285895153391
2020-09,5122.691994171669
2020-10,5065.052511897195
2020-11,6174.053258000956
2020-12,6911.704682783994
2021-01,6447.700932743619
2021-02,6255.702537972495
2021-03,6547.232900045423
2021-04,6791.084339115791
2021-05,7336.212118940791
2021-06,7535.14419247229
2021-07,7230.1930488596345
2021-08,7292.009032029253
2021-09,6539.7081209478
2021-10,6195.238691163229
2021-11,6014.1058594661645
2021-12,6377.348427532733
2022-01,6848.3231890944935
2022-02,7179.856823368916
2022-03,8120.489525834273
2022-04,7069.604034587488
2022-05,7652.683050837101
2022-06,6355.542558525947
2022-07,6626.689906414087
2022-08,6812.714785860699
2022-09,6591.89188744275
2022-10,7230.34797292716
2022-11,7268.8552769212065
2022-12,6983.977283857083
2023-01,7675.613103220086
2023-02,7200.6815943120255
2023-03,7266.135066942738
2023-04,7463.37433867876
2023-05,7408.604393159147
2023-06,8305.502040522277
