Date,MSCI ACWI ex FRANCE
2014-01,2021.0902561283738
2014-02,2116.9579305445795
2014-03,2128.0415068928105
2014-04,2147.7844556759205
2014-05,2196.5240115428132
2014-06,2241.689449466386
2014-07,2219.325478547438
2014-08,2270.1786194646425
2014-09,2197.708775962551
2014-10,2217.7294507897245
2014-11,2254.413794860853
2014-12,2214.1775968520733
2015-01,2178.3469570348366
2015-02,2299.916412707349
2015-03,2266.3732404811576
2015-04,2331.459060904808
2015-05,2331.4825898218432
2015-06,2277.771300497951
2015-07,2295.1872544767843
2015-08,2138.957135821324
2015-09,2062.8078753747086
2015-10,2224.8607848628662
2015-11,2209.216251868484
2015-12,2171.470758289708
2016-01,2039.9237759580608
2016-02,2027.3169016805043
2016-03,2179.9444426358964
2016-04,2213.08599821515
2016-05,2217.6671733417265
2016-06,2209.3234820563493
2016-07,2304.3113526893067
2016-08,2313.8615620301143
2016-09,2328.547623515595
2016-10,2288.774979871733
2016-11,2309.279654981883
2016-12,2357.513069278952
2017-01,2424.2070959815724
2017-02,2495.2984180186077
2017-03,2523.3925592501596
2017-04,2560.553068
2017-05,2616.499949
2017-06,2631.08536
2017-07,2705.568353
2017-08,2716.656058
2017-09,2767.839874
2017-10,2826.566316
2017-11,2884.367491
2017-12,2933.770902
2018-01,3098.446369
2018-02,2970.297693
2018-03,2907.774014
2018-04,2933.072908022672
2018-05,2943.378909494058
2018-06,2929.0003970252073
2018-07,3017.6544708785673
2018-08,3045.7996316615045
2018-09,3059.4538793438005
2018-10,2832.9311632415656
2018-11,2878.9490977743485
2018-12,2674.859612
2019-01,2888.845619373409
2019-02,2965.99544373801
2019-03,3006.011173763495
2019-04,3107.704849646181
2019-05,2925.7100381145997
2019-06,3116.658445044547
2019-07,3129.810193344169
2019-08,3056.3212583210193
2019-09,3121.681461462328
2019-10,3207.0004165179475
2019-11,3287.5037685056645
2019-12,3405.297621460516
2020-01,3371.217548912003
2020-02,3101.1779093241353
2020-03,2688.754848303349
2020-04,2983.579139114808
2020-05,3114.513659768072
2020-06,3212.6883744254656
2020-07,3386.306659519772
2020-08,3596.257901783773
2020-09,3483.044055400462
2020-10,3401.6550256540213
2020-11,3811.958719694568
2020-12,3992.480559142875
2021-01,3978.467550281006
2021-02,4068.7190515500474
2021-03,4179.620449011659
2021-04,4361.796833977035
2021-05,4427.449798251181
2021-06,4491.624348
2021-07,4522.526124946778
2021-08,4639.738272428176
2021-09,4449.867415793081
2021-10,4679.031821481326
2021-11,4570.315436
2021-12,4750.57358291252
2022-01,4516.577545186689
2022-02,4403.858915654221
2022-03,4505.504326675264
2022-04,4144.4180303934945
2022-05,4150.032565149395
2022-06,3804.2285957483787
2022-07,4071.84321542333
2022-08,3926.6164336503243
2022-09,3551.3079324424625
2022-10,3763.1818463363666
2022-11,4052.467853120462
2022-12,3890.0356282667017
2023-01,4164.91850781241
2023-02,4043.385940807415
2023-03,4170.830007083972
2023-04,4228.1991815073925
2023-05,4194.707827341247
2023-06,4439.039795507361
