Date,MSCI ARABIAN MARKETS & AFRICA COMBINED
2008-11,523.5141856350901
2008-12,549.5108344031689
2009-01,482.7313044877277
2009-02,454.30296718741624
2009-03,506.88784982350364
2009-04,576.5124581958119
2009-05,654.9928641860397
2009-06,661.3154902106603
2009-07,687.5245326009818
2009-08,716.4653364995717
2009-09,746.1088032011802
2009-10,739.5621251875323
2009-11,739.4057615025014
2009-12,754.2794013928986
2010-01,734.785908248374
2010-02,751.2846354987756
2010-03,819.9097862526892
2010-04,833.1069469144637
2010-05,759.1561113191261
2010-06,739.2809853941916
2010-07,804.699401918536
2010-08,789.5763471839407
2010-09,873.127781215116
2010-10,889.6966766001972
2010-11,873.4447912250696
2010-12,964.3761253416727
2011-01,879.4651845155851
2011-02,890.9493562759628
2011-03,935.995109399709
2011-04,982.4054440574841
2011-05,946.260965955495
2011-06,929.1847087956352
2011-07,917.1093604128574
2011-08,889.6185931588603
2011-09,805.1284453095902
2011-10,853.8964851140463
2011-11,844.8491081212935
2011-12,840.465594761209
2012-01,889.3226605820446
2012-02,952.1553880223723
2012-03,952.4145815349933
2012-04,954.2195428438351
2012-05,871.7839686034685
2012-06,885.3586162692587
2012-07,911.5824370926442
2012-08,919.7087181532772
2012-09,942.563215685592
2012-10,927.3424206247894
2012-11,914.2241687880035
2012-12,978.5477625333205
2013-01,965.9336690679372
2013-02,953.6641438290528
2013-03,954.8178288142047
2013-04,961.1782632976405
2013-05,951.2178253010837
2013-06,930.8378773379669
2013-07,970.6182604476627
2013-08,954.9127592855476
2013-09,1006.9754653938193
2013-10,1046.3966802432833
2013-11,1037.2657345907892
2013-12,1057.2920835625553
2014-01,1016.2084298873428
2014-02,1080.9580745843205
2014-03,1136.1152587029494
2014-04,1151.9311175298442
2014-05,1186.249982880431
2014-06,1168.8062813803713
2014-07,1220.3130342507693
2014-08,1264.227542720928
2014-09,1203.9975600646198
2014-10,1195.9542965368983
2014-11,1153.3221532386976
2014-12,1087.0302820782056
2015-01,1121.457396344724
2015-02,1152.2713166834346
2015-03,1116.014044559358
2015-04,1204.7307726529311
2015-05,1137.9592584453758
2015-06,1132.1044175730342
2015-07,1096.8255815177552
2015-08,993.427954738985
2015-09,955.0709594139122
2015-10,974.8019289467176
2015-11,926.1262790851164
2015-12,869.9190000266633
2016-01,800.6415158028186
2016-02,825.0724728282645
2016-03,912.8267240461518
2016-04,962.0623318044998
2016-05,895.6660144688119
2016-06,927.5606443815233
2016-07,975.6391617739048
2016-08,930.884280748208
2016-09,945.9420543438782
2016-10,954.5842181245988
2016-11,936.7663274066389
2016-12,979.1545063841717
2017-01,998.0504250311102
2017-02,1004.4393996904133
2017-03,1004.5549912174026
2017-04,1033.226725
2017-05,1049.350265
2017-06,1050.943936
2017-07,1088.485501
2017-08,1118.184447
2017-09,1075.153699
2017-10,1077.034872
2017-11,1126.120931
2017-12,1196.624579
2018-01,1245.67291
2018-02,1229.997177
2018-03,1212.441715
2018-04,1223.6635796926357
2018-05,1175.9478103392337
2018-06,1155.6642379973032
2018-07,1203.5207205312201
2018-08,1128.2776487577758
2018-09,1113.4857248869173
2018-10,1057.4525758570371
2018-11,1090.1890774203343
2018-12,1090.5965171246687
2019-01,1194.298573245266
2019-02,1161.5288476453306
2019-03,1170.9561398620215
2019-04,1252.3105968154487
2019-05,1170.1788211520209
2019-06,1218.6473552123632
2019-07,1208.8785605473092
2019-08,1123.336980633353
2019-09,1116.8285205575146
2019-10,1118.3351088646016
2019-11,1124.0826484310164
2019-12,1205.3365410088727
2020-01,1149.9531357298888
2020-02,1041.6124442590647
2020-03,834.7940589161675
2020-04,922.2518244736049
2020-05,933.67670144648
2020-06,982.6568946435515
2020-07,1012.677492575618
2020-08,1044.446741897659
2020-09,1051.9950405824422
2020-10,1042.8268801372428
2020-11,1133.940441494784
2020-12,1179.5546639997087
2021-01,1212.3241830955194
2021-02,1244.561571674845
2021-03,1326.6058789083745
2021-04,1365.229354951687
2021-05,1415.430627162224
2021-06,1394.4889159344618
2021-07,1397.0098931520615
2021-08,1438.2011055363444
2021-09,1437.6649080213117
2021-10,1473.058213035162
2021-11,1400.8569068951315
2021-12,1457.4882969849727
2022-01,1557.9214264454283
2022-02,1622.7027504209764
2022-03,1721.8814764213682
2022-04,1699.1464244595893
2022-05,1614.4474354688987
2022-06,1443.0270268639051
2022-07,1503.5309783554383
2022-08,1497.3501315776198
2022-09,1387.5363532392032
2022-10,1425.4080725285885
2022-11,1456.6147521423122
2022-12,1391.1072834436418
2023-01,1424.4858854517026
2023-02,1344.2508284020241
2023-03,1374.7290468495473
2023-04,1425.8411709377242
2023-05,1335.062957886128
2023-06,1393.0274661950996
