Date,ARABIAN MARKETS COMBINED
2018-01,863.597385
2018-02,840.340473
2018-03,889.195309
2018-04,921.9829421735838
2018-05,919.8165441735756
2018-06,929.2401217220466
2018-07,961.4952466305166
2018-08,941.2681446387896
2018-09,937.5349732984835
2018-10,945.8023934978262
2018-11,927.6637261949687
2018-12,935.8867074264748
2019-01,1003.1999190063055
2019-02,998.2075910194405
2019-03,1030.108731293566
2019-04,1094.9951581896546
2019-05,1027.464084940107
2019-06,1051.225937342536
2019-07,1064.640512157319
2019-08,1003.806031190575
2019-09,994.9174151029398
2019-10,971.5510440911463
2019-11,979.298351934098
2019-12,1031.5717156108026
2020-01,1017.0599611083082
2020-02,948.5840167277122
2020-03,794.6052655515342
2020-04,865.0728537129594
2020-05,869.3890888165797
2020-06,889.5073093329936
2020-07,901.263018597478
2020-08,955.9009613721104
2020-09,971.8780670750476
2020-10,952.7171832352084
2020-11,1024.9417394546183
2020-12,1028.1733835998848
2021-01,1057.88180909728
2021-02,1084.996978521575
2021-03,1162.2084694527043
2021-04,1219.0407552491224
2021-05,1235.8500030651005
2021-06,1270.9491630757352
2021-07,1287.3054676666416
2021-08,1346.2125401866779
2021-09,1377.001461360271
2021-10,1427.9359940374363
2021-11,1355.8071052487294
2021-12,1409.5291209071763
2022-01,1509.7945300581528
2022-02,1570.4687754111014
2022-03,1657.2104086307363
2022-04,1719.8694136418524
2022-05,1593.810232199445
2022-06,1436.4675615129063
2022-07,1519.865629862394
2022-08,1534.688914380328
2022-09,1428.49310963559
2022-10,1466.356105613715
2022-11,1409.5849884848856
2022-12,1341.4613459905293
2023-01,1361.1557536700025
2023-02,1296.8525593017496
2023-03,1321.874722103917
2023-04,1387.764426414457
2023-05,1340.2410647045563
2023-06,1378.8298212708237
