Date,MSCI AC PACIFIC ex JAPAN
2009-08,680.8939321634609
2009-09,745.692949693977
2009-10,745.3816864869158
2009-11,762.69787437487
2009-12,790.1821211795403
2010-01,739.7863632214828
2010-02,749.5493582028399
2010-03,805.0020075475073
2010-04,815.3471065544401
2010-05,726.2273874900144
2010-06,728.9974076449224
2010-07,788.0573235594261
2010-08,775.1711241901967
2010-09,864.7073423976384
2010-10,888.9770446294277
2010-11,875.1146763724629
2010-12,933.9743566756388
2011-01,931.8367182042814
2011-02,916.3031265746828
2011-03,959.5112815464659
2011-04,1005.3214366044753
2011-05,984.0080882600931
2011-06,961.8472228824653
2011-07,967.4759270282285
2011-08,888.7099033824655
2011-09,763.8021312571302
2011-10,868.020926701897
2011-11,805.201752948748
2011-12,809.0326961976765
2012-01,886.1861493959213
2012-02,933.0708928796654
2012-03,906.4535768651156
2012-04,914.6028630687979
2012-05,820.2414326489636
2012-06,851.2916171606485
2012-07,887.1368800993214
2012-08,883.7235624416129
2012-09,930.5906821319422
2012-10,937.9565377368427
2012-11,958.5083031721971
2012-12,990.2440296486085
2013-01,1015.0695146695607
2013-02,1030.763132798585
2013-03,1013.3799486247835
2013-04,1038.19408281337
2013-05,993.1463333854892
2013-06,935.60876853124
2013-07,958.6820828380768
2013-08,958.1731675714723
2013-09,1013.3198676890197
2013-10,1057.182922653584
2013-11,1047.8192912974941
2013-12,1031.7739780520158
2014-01,978.6410520875188
2014-02,1024.0053220018608
2014-03,1037.8699750484855
2014-04,1050.2149609662229
2014-05,1079.7794996736075
2014-06,1096.7068039551766
2014-07,1137.6671269936317
2014-08,1145.3423924871918
2014-09,1057.7319129596906
2014-10,1085.7574838300916
2014-11,1069.3666080288642
2014-12,1050.2271157674738
2015-01,1061.1375397345596
2015-02,1096.143067966352
2015-03,1096.5634358712216
2015-04,1170.73635355468
2015-05,1135.5390782565717
2015-06,1088.3215919380282
2015-07,1028.3978457249525
2015-08,923.1386732180363
2015-09,899.9353347869799
2015-10,972.6467753488969
2015-11,950.1395897223109
2015-12,951.8451908846833
2016-01,876.527046961204
2016-02,873.6158445977276
2016-03,973.6707959482245
2016-04,972.6384208480025
2016-05,954.8559937917894
2016-06,976.6770706549989
2016-07,1031.415958928273
2016-08,1053.9923438147325
2016-09,1075.5324887274314
2016-10,1056.5995458907
2016-11,1037.8462989559384
2016-12,1026.0624913513607
2017-01,1086.8539667532968
2017-02,1122.1760750191554
2017-03,1154.0938146841356
2017-04,1171.929082
2017-05,1204.240466
2017-06,1230.316324
2017-07,1292.058678
2017-08,1308.055798
2017-09,1308.353892
2017-10,1357.915873
2017-11,1367.841395
2017-12,1408.562193
2018-01,1507.339609
2018-02,1438.837554
2018-03,1408.728801
2018-04,1419.2451219704435
2018-05,1411.2341499916959
2018-06,1355.9248992004523
2018-07,1365.0541514103197
2018-08,1347.5279952261546
2018-09,1339.0174794835204
2018-10,1197.842287434098
2018-11,1245.0403664801743
2018-12,1207.8776940479847
2019-01,1306.736108223498
2019-02,1339.7056514789124
2019-03,1351.6383489194684
2019-04,1377.3004398358682
2019-05,1272.4828336826877
2019-06,1362.767275753963
2019-07,1350.6575681844583
2019-08,1290.0423761515933
2019-09,1311.8645231791836
2019-10,1364.5655175917254
2019-11,1371.5670950614967
2019-12,1457.4200598662517
2020-01,1399.52733804936
2020-02,1344.555373455927
2020-03,1170.0500682368581
2020-04,1278.9661282566562
2020-05,1277.664865626052
2020-06,1384.4678443984014
2020-07,1491.8319006870404
2020-08,1549.5486626151155
2020-09,1510.641041309091
2020-10,1548.66444025787
2020-11,1690.2355668621592
2020-12,1797.6890745117128
2021-01,1871.5751487899338
2021-02,1890.4648822750416
2021-03,1843.0373165281305
2021-04,1902.289288752688
2021-05,1916.6032121314377
2021-06,1912.4501363184418
2021-07,1771.5156330223103
2021-08,1792.4948009390782
2021-09,1710.3943002217459
2021-10,1745.8426581891063
2021-11,1668.522453
2021-12,1696.6666894506832
2022-01,1622.9118679009005
2022-02,1611.36947494912
2022-03,1592.0672326064735
2022-04,1499.5384331427792
2022-05,1515.8335774550544
2022-06,1432.1056665595192
2022-07,1415.2985929517502
2022-08,1403.8442414551394
2022-09,1214.0857895991896
2022-10,1148.929667809285
2022-11,1377.6284420671095
2022-12,1383.0063563872063
2023-01,1527.443371732067
2023-02,1419.639427666768
2023-03,1462.8895434386698
2023-04,1426.354902628049
2023-05,1381.8730169689532
2023-06,1422.250405099281
