Date,MSCI ACWI ex TURKEY
2006-11,1533.2471541938041
2006-12,1567.7938202054459
2007-01,1583.611252413734
2007-02,1575.875595226384
2007-03,1608.0547845761294
2007-04,1680.2982517075088
2007-05,1731.6926749458019
2007-06,1727.197742284642
2007-07,1700.8159528780534
2007-08,1697.028384289619
2007-09,1788.3694949998683
2007-10,1858.273270672464
2007-11,1776.9825610494895
2007-12,1757.6524633820059
2008-01,1614.6118222323594
2008-02,1619.9195868975278
2008-03,1597.3759847508068
2008-04,1687.4232118756495
2008-05,1715.8327079064563
2008-06,1575.6357600899062
2008-07,1534.4666368501807
2008-08,1502.2955387953716
2008-09,1315.1906106155423
2008-10,1055.2626896101485
2008-11,986.664640236881
2008-12,1022.8843092374235
2009-01,935.8117490777779
2009-02,844.7789741908027
2009-03,914.8269818324978
2009-04,1023.4303980278369
2009-05,1126.5388321793525
2009-06,1120.5723694653664
2009-07,1219.385463608298
2009-08,1263.4515883840636
2009-09,1321.8512330700169
2009-10,1301.7124351769332
2009-11,1356.085667240339
2009-12,1384.1746816333045
2010-01,1324.4507311103102
2010-02,1342.187813911179
2010-03,1428.9632868806466
2010-04,1431.9099988075952
2010-05,1297.475837123593
2010-06,1257.8584077699354
2010-07,1360.3928402146835
2010-08,1313.3144967593853
2010-09,1439.2371653504774
2010-10,1491.4746247831367
2010-11,1459.2023541999833
2010-12,1566.8433065934826
2011-01,1592.1650237445133
2011-02,1639.3373534827267
2011-03,1638.1571772062075
2011-04,1705.9223514830423
2011-05,1671.2020470059847
2011-06,1645.488208927887
2011-07,1619.3124767421625
2011-08,1501.9078242005974
2011-09,1360.3290732380403
2011-10,1506.780731863973
2011-11,1462.4795830167377
2011-12,1460.2477903200142
2012-01,1545.271260355249
2012-02,1623.7431131311846
2012-03,1635.339454570076
2012-04,1617.738079966923
2012-05,1474.2241080632648
2012-06,1547.4159698868525
2012-07,1569.0294641221133
2012-08,1603.8671287131224
2012-09,1655.1676959159017
2012-10,1644.1708606129005
2012-11,1666.0261665824291
2012-12,1704.3809906001165
2013-01,1783.5187601953887
2013-02,1784.1200745838757
2013-03,1817.3175409922817
2013-04,1870.4947554429314
2013-05,1867.1125527189313
2013-06,1813.7973197718343
2013-07,1901.6018984173627
2013-08,1863.1971907646541
2013-09,1959.9040377447388
2013-10,2039.06867256767
2013-11,2069.019062560657
2013-12,2106.0979568254106
2014-01,2022.6371122156065
2014-02,2121.3993127988474
2014-03,2131.4637760461846
2014-04,2152.649798860832
2014-05,2200.008700248543
2014-06,2242.5689290976716
2014-07,2215.8354112435404
2014-08,2265.937427361669
2014-09,2193.705361178996
2014-10,2209.2900044867015
2014-11,2246.955017974584
2014-12,2204.714699248961
2015-01,2170.7060185003675
2015-02,2293.1487733868175
2015-03,2259.1773203756698
2015-04,2325.87342357339
2015-05,2324.6256774096455
2015-06,2270.8869622703646
2015-07,2291.6668999708513
2015-08,2135.6119425138777
2015-09,2059.2262011147927
2015-10,2221.2660097734793
2015-11,2204.075080136229
2015-12,2165.3689096741
2016-01,2035.069491666741
2016-02,2022.085035814439
2016-03,2173.0833090914166
2016-04,2206.3419268958564
2016-05,2211.4761489832476
2016-06,2199.176307561066
2016-07,2294.929528541035
2016-08,2303.7358342541534
2016-09,2318.900140442349
2016-10,2280.069434793518
2016-11,2298.982309839811
2016-12,2349.5558163101227
2017-01,2414.28186922787
2017-02,2483.0136244053588
2017-03,2515.0395336232796
2017-04,2555.112041
2017-05,2613.772204
2017-06,2626.621683
2017-07,2700.868708
2017-08,2712.38448
2017-09,2766.251491
2017-10,2824.400649
2017-11,2880.720566
2017-12,2927.751238
2018-01,3093.560943
2018-02,2964.754022
2018-03,2903.26827
2018-04,2933.038717795034
2018-05,2939.635387402907
2018-06,2924.9976847182797
2018-07,3014.4214301602374
2018-08,3040.1708651845297
2018-09,3054.3019644986143
2018-10,2825.9824340459054
2018-11,2868.41833652035
2018-12,2667.503874
2019-01,2878.7489172515784
2019-02,2957.2001356088304
2019-03,2996.5972918976113
2019-04,3099.5008046627495
2019-05,2918.1367977262644
2019-06,3110.5612028917067
2019-07,3120.540640508152
2019-08,3048.113220235081
2019-09,3113.4609531945284
2019-10,3199.706123937984
2019-11,3279.098117070481
2019-12,3395.9699397913178
2020-01,3359.2605168621194
2020-02,3089.374027942133
2020-03,2674.267903472341
2020-04,2962.1907382893432
2020-05,3092.7903024124143
2020-06,3192.891236236303
2020-07,3363.273538613477
2020-08,3570.626371712954
2020-09,3456.766589533484
2020-10,3373.737157553479
2020-11,3790.687444170984
2020-12,3967.826049659892
2021-01,3950.7894243889714
2021-02,4043.5724495150516
2021-03,4154.061519117133
2021-04,4337.445160490118
2021-05,4407.275653821573
2021-06,4466.874135
2021-07,4498.867075110386
2021-08,4612.776047535903
2021-09,4424.330499211209
2021-10,4651.371416206149
2021-11,4540.926954
2021-12,4724.035818738947
2022-01,4492.782741098244
2022-02,4378.075262267618
2022-03,4475.405074647378
2022-04,4118.669182043601
2022-05,4126.511306034572
2022-06,3780.3857919147854
2022-07,4045.8189354829683
2022-08,3898.1266518854395
2022-09,3526.515258274167
2022-10,3739.985011137072
2022-11,4031.523123717625
2022-12,3874.159475505885
2023-01,4153.268842554929
2023-02,4035.465007726158
2023-03,4162.979781133712
2023-04,4224.973990467422
2023-05,4182.749407347161
2023-06,4427.726990940777
