Date,MSCI ARABIAN MARKETS DOMESTIC
2021-01,1290.1107483041642
2021-02,1322.7088186339188
2021-03,1414.3373266108676
2021-04,1487.4949651153709
2021-05,1510.7553612024606
2021-06,1554.7645801058952
2021-07,1570.8965292658286
2021-08,1641.6739260498373
2021-09,1679.3956777329356
2021-10,1738.298980020518
2021-11,1642.2009980581593
2021-12,1711.2293777048378
2022-01,1834.6229870925988
2022-02,1910.6774176954668
2022-03,2014.5831625658404
2022-04,2105.7305842644328
2022-05,1956.134556671047
2022-06,1759.9211231065458
2022-07,1862.4191792573731
2022-08,1888.557090292938
2022-09,1757.8354879695266
2022-10,1800.7005995058134
2022-11,1724.2853066017865
2022-12,1652.8982995970855
2023-01,1663.400243281508
2023-02,1581.3399672213898
2023-03,1627.5013052518136
2023-04,1710.375921825457
2023-05,1650.392415950129
2023-06,1702.6087165722809
