Date,MSCI GCC COUNTRIES DOMESTIC ex SA
2022-08,1598.5197496567534
2022-09,1509.897677958501
2022-10,1534.7292854761722
2022-11,1539.9912704079134
2022-12,1457.7092854717425
2023-01,1400.1121869595456
2023-02,1406.2582257231138
2023-03,1382.685416211846
2023-04,1438.1270892446814
2023-05,1374.4129227987169
2023-06,1406.4567991450303
