Date,MSCI EAFE
1996-06,2599.0276195012384
1996-07,2523.714803292807
1996-08,2529.8958842784277
1996-09,2597.743781816384
1996-10,2571.8063041032615
1996-11,2674.776104001932
1996-12,2641.0111393416714
1997-01,2549.1931094910415
1997-02,2591.502716124625
1997-03,2601.5258463413766
1997-04,2615.9587382272075
1997-05,2786.8384962986124
1997-06,2941.159329080306
1997-07,2989.345079324426
1997-08,2766.7015070794378
1997-09,2922.3139778631626
1997-10,2698.3307694535592
1997-11,2671.445579088928
1997-12,2695.3619092188355
1998-01,2819.2570046862984
1998-02,3000.812153702896
1998-03,3093.8898158077513
1998-04,3119.082964938624
1998-05,3104.6524378017575
1998-06,3128.8460404781836
1998-07,3161.261658090514
1998-08,2770.313143370099
1998-09,2686.1038044004727
1998-10,2966.8613214046322
1998-11,3119.593060120419
1998-12,3243.4145505888046
1999-01,3234.5712362093464
1999-02,3158.2309818044596
1999-03,3290.827205882824
1999-04,3424.924059656446
1999-05,3249.29511900695
1999-06,3376.7250919648986
1999-07,3477.8697818315063
1999-08,3491.3484146529977
1999-09,3527.2688122028426
1999-10,3660.1574106070866
1999-11,3788.081857765961
1999-12,4128.811187346106
2000-01,3867.191316760086
2000-02,3972.0260638806817
2000-03,4126.764414441753
2000-04,3910.344333730428
2000-05,3815.6072105639087
2000-06,3965.7206954669714
2000-07,3800.2342281817064
2000-08,3833.997645110357
2000-09,3648.072567525039
2000-10,3562.6400290743486
2000-11,3429.802203292527
2000-12,3552.511187146963
2001-01,3550.8363965656176
2001-02,3284.8961081768975
2001-03,3067.4014277258716
2001-04,3282.5389434805847
2001-05,3169.290933360519
2001-06,3040.863073159119
2001-07,2985.777118756409
2001-08,2910.7610807070782
2001-09,2616.595781703091
2001-10,2683.5040981607035
2001-11,2782.5991862300116
2001-12,2799.18732655256
2002-01,2650.6664439276606
2002-02,2669.387049297258
2002-03,2815.1200497591544
2002-04,2835.50668372359
2002-05,2873.9731509226262
2002-06,2760.6414380872716
2002-07,2488.321265660343
2002-08,2483.2617685839004
2002-09,2217.1917092952767
2002-10,2336.528015285106
2002-11,2442.871491183353
2002-12,2360.9125982369396
2003-01,2262.530297784134
2003-02,2210.8095883079195
2003-03,2169.0286643549566
2003-04,2384.1053046368615
2003-05,2530.7757047337786
2003-06,2593.411995823286
2003-07,2656.578123864438
2003-08,2721.1939191204683
2003-09,2805.620250462795
2003-10,2980.67026069129
2003-11,3047.3629646150353
2003-12,3285.57498511224
2004-01,3332.278683127234
2004-02,3409.769949669831
2004-03,3430.2925276709516
2004-04,3355.6055546424504
2004-05,3370.137417946992
2004-06,3445.3477112629103
2004-07,3334.0095885289957
2004-08,3349.488760405243
2004-09,3437.522377524642
2004-10,3554.9486617245643
2004-11,3798.7832636709845
2004-12,3965.613281718123
2005-01,3893.1495827991557
2005-02,4062.257497693277
2005-03,3961.7767444849515
2005-04,3873.09866857929
2005-05,3879.023573096746
2005-06,3932.047474557984
2005-07,4052.836476211225
2005-08,4156.415545662064
2005-09,4342.374835254595
2005-10,4215.853499448922
2005-11,4320.100164876804
2005-12,4521.406698720878
2006-01,4799.333056308413
2006-02,4789.503335453673
2006-03,4949.705573322898
2006-04,5189.761599206243
2006-05,4994.462573163697
2006-06,4996.294401038979
2006-07,5046.324731870685
2006-08,5186.454274484114
2006-09,5195.4788123037715
2006-10,5398.01485552616
2006-11,5560.8326731370325
2006-12,5735.742514220259
2007-01,5774.994766583148
2007-02,5822.433933591493
2007-03,5973.605100413009
2007-04,6244.508120786359
2007-05,6362.213943887057
2007-06,6372.029364311654
2007-07,6278.867912336492
2007-08,6182.248084527831
2007-09,6514.177808339335
2007-10,6770.854664493641
2007-11,6549.95704805399
2007-12,6402.909845128995
2008-01,5812.047149224192
2008-02,5897.11687775762
2008-03,5837.903320284364
2008-04,6162.27282915911
2008-05,6233.993284343181
2008-06,5725.399225986246
2008-07,5542.112680068825
2008-08,5318.980618666492
2008-09,4551.750674255507
2008-10,3633.501424312645
2008-11,3438.8103105075293
2008-12,3645.9360906448646
2009-01,3288.719146070209
2009-02,2952.375789483529
2009-03,3140.9574295133543
2009-04,3548.0765196681755
2009-05,3974.303038049248
2009-06,3952.8612217420427
2009-07,4314.255338609208
2009-08,4549.4454374167135
2009-09,4724.497307131323
2009-10,4665.678972301366
2009-11,4760.244662385295
2009-12,4829.422845755275
2010-01,4616.954614615841
2010-02,4585.758437724606
2010-03,4874.919145106505
2010-04,4790.739857205193
2010-05,4246.167053021945
2010-06,4204.85861179623
2010-07,4604.001998602421
2010-08,4461.68758188867
2010-09,4899.896033677589
2010-10,5077.170306167334
2010-11,4834.022994003177
2010-12,5225.887268329053
2011-01,5349.894632075616
2011-02,5527.526095546818
2011-03,5406.146338798621
2011-04,5734.641543547785
2011-05,5573.71052042457
2011-06,5505.289799069055
2011-07,5418.700365434408
2011-08,4930.0590897168
2011-09,4461.866939851559
2011-10,4892.316485233999
2011-11,4656.2596696504725
2011-12,4612.710468911741
2012-01,4859.631905248253
2012-02,5139.968361708992
2012-03,5119.189945525529
2012-04,5024.8961164661105
2012-05,4454.410373388558
2012-06,4768.428352769308
2012-07,4823.088045684901
2012-08,4953.131337032056
2012-09,5101.398509064705
2012-10,5144.257932176893
2012-11,5269.063612200402
2012-12,5438.2959222352565
2013-01,5726.115382612483
2013-02,5673.235936864942
2013-03,5722.909970669324
2013-04,6027.96563632143
2013-05,5888.985156196066
2013-06,5681.140433437949
2013-07,5981.358654284787
2013-08,5902.883701995725
2013-09,6340.63259755351
2013-10,6553.940567093999
2013-11,6605.243540006803
2013-12,6705.112789436937
2014-01,6435.696021749636
2014-02,6795.158038448532
2014-03,6756.7173954618265
2014-04,6860.030142172288
2014-05,6980.50890351872
2014-06,7049.9630174707745
2014-07,6911.9443983582405
2014-08,6901.9091554505785
2014-09,6638.926177709878
2014-10,6542.74396202027
2014-11,6632.525199535684
2014-12,6404.508506786496
2015-01,6436.383846282578
2015-02,6821.876843086541
2015-03,6724.451117078475
2015-04,7004.415040870821
2015-05,6976.603562952494
2015-06,6780.922056165421
2015-07,6922.013454811693
2015-08,6413.541487141736
2015-09,6090.196675198694
2015-10,6566.638670148406
2015-11,6465.258510756328
2015-12,6379.335273842731
2016-01,5918.617904104607
2016-02,5812.244572795297
2016-03,6195.506164937521
2016-04,6381.654878356468
2016-05,6331.64756027208
2016-06,6121.747210059949
2016-07,6432.4973293081675
2016-08,6437.892178288918
2016-09,6519.886597771874
2016-10,6386.988205065831
2016-11,6260.543789864158
2016-12,6475.802147668905
2017-01,6664.012657859589
2017-02,6760.369067795406
2017-03,6954.211115318465
2017-04,7136.303898
2017-05,7408.008096
2017-06,7396.985733
2017-07,7610.7483
2017-08,7608.93084
2017-09,7801.335525
2017-10,7920.453071
2017-11,8004.600948
2017-12,8134.65472
2018-01,8543.128928
2018-02,8158.811478
2018-03,8019.727602
2018-04,8211.503120090356
2018-05,8038.037113338746
2018-06,7942.2439410663665
2018-07,8138.286112440526
2018-08,7982.132729950714
2018-09,8054.834542650111
2018-10,7414.298456885535
2018-11,7406.004276088216
2018-12,7048.072174248877
2019-01,7512.350776390805
2019-02,7704.7319104615535
2019-03,7761.725865078253
2019-04,7987.550403386165
2019-05,7615.344253621718
2019-06,8069.601078409695
2019-07,7968.019939329159
2019-08,7762.666681867464
2019-09,7988.983332907305
2019-10,8276.827705367396
2019-11,8371.386148573438
2019-12,8644.840233072315
2020-01,8465.031746911543
2020-02,7700.991041320219
2020-03,6680.918299643027
2020-04,7118.007425230641
2020-05,7432.387553012093
2020-06,7688.250092377462
2020-07,7869.120419565106
2020-08,8274.683891651186
2020-09,8063.322347487292
2020-10,7742.2235777131355
2020-11,8943.28408414523
2020-12,9360.559079136838
2021-01,9261.58196934849
2021-02,9470.596886330342
2021-03,9697.485065939854
2021-04,9997.375729291094
2021-05,10332.859716061386
2021-06,10219.382521061718
2021-07,10297.326347153508
2021-08,10479.910171322867
2021-09,10183.52045241253
2021-10,10436.474675526555
2021-11,9952.196059259917
2021-12,10462.772590566268
2022-01,9957.964376813983
2022-02,9782.882439505915
2022-03,9857.012243715651
2022-04,9227.686750778184
2022-05,9310.009971689286
2022-06,8448.195540769371
2022-07,8870.015117472985
2022-08,8449.668042891515
2022-09,7663.164143432458
2022-10,8075.912837057084
2022-11,8986.80486768372
2022-12,8996.588119156246
2023-01,9726.177732806445
2023-02,9524.266812700256
2023-03,9772.436006435672
2023-04,10058.456995364073
2023-05,9645.837093148217
2023-06,10087.586430989977
