Date,MSCI FM EMEA
2011-01,647.0377915163016
2011-02,614.9435653313491
2011-03,619.5355846871589
2011-04,659.275853666921
2011-05,631.2110644594892
2011-06,619.3199278010253
2011-07,601.6824251784968
2011-08,574.5223362146116
2011-09,550.5717235093306
2011-10,569.4996133478695
2011-11,553.6962874056062
2011-12,552.3868570507623
2012-01,551.9933020444863
2012-02,570.6130641887758
2012-03,584.6006095104967
2012-04,588.4528569571542
2012-05,560.5469995353976
2012-06,559.4900336263624
2012-07,566.4169740045753
2012-08,577.4776610464268
2012-09,603.0932622239421
2012-10,602.5404235446107
2012-11,614.1612979997011
2012-12,620.87669154031
2013-01,666.4737527440025
2013-02,671.0997153696366
2013-03,674.8121432758563
2013-04,702.698712247921
2013-05,734.8377304303167
2013-06,694.5883878815977
2013-07,730.8511576518008
2013-08,711.9871031797069
2013-09,737.0687332957143
2013-10,751.7870189757265
2013-11,759.6398799937875
2013-12,780.3981845614891
2014-01,793.3244644775816
2014-02,818.6811918451956
2014-03,837.8728328215146
2014-04,889.8847149585778
2014-05,950.3231961663108
2014-06,939.3818954096298
2014-07,950.360061690269
2014-08,953.3376515999803
2014-09,950.3663331443153
2014-10,893.6682147338095
2014-11,848.1563692834412
2014-12,807.2753041031112
2015-01,765.1411909634853
2015-02,780.4950915395028
2015-03,768.6888959948297
2015-04,801.2963031589396
2015-05,775.3485815387742
2015-06,773.5212161155815
2015-07,745.9235229882376
2015-08,702.8653692910815
2015-09,712.0156271934964
2015-10,701.6740623401316
2015-11,681.7663900269467
2015-12,680.7481784726466
2016-01,620.7859826108929
2016-02,641.0349914791811
2016-03,671.1014684788788
2016-04,687.2366710429129
2016-05,692.8703930272753
2016-06,647.2471759674096
2016-07,653.0793895132232
2016-08,644.878376652293
2016-09,663.4333948458635
2016-10,665.354453200349
2016-11,661.0397071708516
2016-12,683.2609054009433
2017-01,722.9471725983408
2017-02,714.7172599178728
2017-03,719.0381957524295
2017-04,724.417946
2017-05,760.602547
2017-06,771.18228
2017-07,813.956073
2017-08,829.859826
2017-09,822.971025
2017-10,813.454997
2017-11,816.442035
2017-12,823.861977
2018-01,875.267975
2018-02,873.335234
2018-03,881.808441
2018-04,870.2970016435503
2018-05,832.4087919359662
2018-06,846.3138242451137
2018-07,869.1790512304771
2018-08,853.0573375243307
2018-09,842.9207264375034
2018-10,821.7312204500082
2018-11,830.505870272302
2018-12,812.9388645846952
2019-01,821.8723532476504
2019-02,840.276006157011
2019-03,875.3508167917523
2019-04,898.187020506526
2019-05,906.7969397036258
2019-06,935.0533731051801
2019-07,957.8110706453697
2019-08,940.8591867516801
2019-09,915.8743503505734
2019-10,927.9552649326747
2019-11,947.4421155152322
2019-12,1006.4731325861635
2020-01,1013.234240754897
2020-02,955.476485184069
2020-03,746.518117281582
2020-04,786.1579087389025
2020-05,819.1277905681677
2020-06,843.0914548822743
2020-07,839.7604065145932
2020-08,906.6915411438864
2020-09,910.7765342840044
2020-10,910.1969192395263
2020-11,944.8998545956622
2020-12,988.4329886947365
2021-01,1003.5125946261335
2021-02,974.962504130946
2021-03,982.9670480651563
2021-04,1047.5199155386224
2021-05,1093.6229773497096
2021-06,1113.312971661067
2021-07,1139.7085027578087
2021-08,1173.1892277389488
2021-09,1182.860557709631
2021-10,1227.5104799792205
2021-11,1149.732035706663
2021-12,1174.1798534602576
2022-01,1130.2401927805895
2022-02,1071.3939928413256
2022-03,1088.4960098373867
2022-04,1085.9338475587492
2022-05,1024.2317758577549
2022-06,984.0581281940373
2022-07,1020.0407723150871
2022-08,1021.2461932415481
2022-09,940.4783707136903
2022-10,948.2192657110825
2022-11,1001.8107588032686
2022-12,1000.7271329541556
2023-01,1027.073376081514
2023-02,1040.3616079038532
2023-03,1034.703267068989
2023-04,1052.772214079461
2023-05,1043.1442223141205
2023-06,1055.8176142847935
