Date,MSCI EM EASTERN EUROPE ex RUSSIA
2015-06,3491.972917333892
2015-07,3436.523124109886
2015-08,3309.324278168076
2015-09,3166.145620620839
2015-10,3137.285112513821
2015-11,2883.223687954129
2015-12,2857.420103698595
2016-01,2715.3970613062215
2016-02,2754.7798420922177
2016-03,3241.7777099167592
2016-04,3086.5945990227874
2016-05,2862.3172681462115
2016-06,2789.262442709179
2016-07,2914.4904991265003
2016-08,2934.647008375769
2016-09,2909.1400245106765
2016-10,3027.505857047524
2016-11,2807.695885995897
2016-12,3018.0133585800186
2017-01,3270.8149168338628
2017-02,3382.2322013520093
2017-03,3410.0914999817005
2017-04,3735.918409
2017-05,3833.063922
2017-06,3904.300262
2017-07,4170.64395
2017-08,4436.58696
2017-09,4279.228055
2017-10,4428.004168
2017-11,4381.179043
2017-12,4544.875639
2018-01,4933.410955
2018-02,4489.618444
2018-03,4295.843834676939
2018-04,4331.037449216907
2018-05,3867.496190860207
2018-06,3813.238473739575
2018-07,4163.752755149867
2018-08,4188.445031910302
2018-09,4160.935198514676
2018-10,3807.775097415795
2018-11,4083.1306953373355
2018-12,4074.5894648733647
2019-01,4298.325822146842
2019-02,4181.39344568797
2019-03,4118.486058719793
2019-04,4162.656769130632
2019-05,4003.6463687187425
2019-06,4205.10001605462
2019-07,4072.6671331191455
2019-08,3760.919368956093
2019-09,3783.6788652561263
2019-10,4030.6894535602232
2019-11,3918.610239685876
2019-12,4096.217839866535
2020-01,3820.0400874411594
2020-02,3307.949958159468
2020-03,2570.0701524009482
2020-04,2796.768992184158
2020-05,3005.770556069256
2020-06,3076.0461084479243
2020-07,3244.1309619404333
2020-08,3332.167642234732
2020-09,2982.7138251950373
2020-10,2633.445025240133
2020-11,3350.134881155931
2020-12,3659.532955756721
2021-01,3661.2091998365827
2021-02,3602.856415913745
2021-03,3494.3704642032744
2021-04,3747.020889497306
2021-05,4267.362286095136
2021-06,4103.825113221461
2021-07,4166.139977071617
2021-08,4450.33226160488
2021-09,4282.544255469486
2021-10,4421.478749866903
2021-11,3989.024292909708
2021-12,4180.759791599411
2022-01,4173.61746562931
2022-02,3586.9294265188632
2022-03,3754.1859973482287
2022-04,3177.457110091099
2022-05,3189.754717558834
2022-06,2870.4075845538505
2022-07,2880.1258876680067
2022-08,2585.530961596469
2022-09,2242.37139775316
2022-10,2535.4055705034143
2022-11,2954.4867882669782
2022-12,3107.0045386896813
2023-01,3361.2757955664356
2023-02,3309.0583139038945
2023-03,3237.004291150686
2023-04,3626.9325213822067
2023-05,3471.472285781323
2023-06,3893.8211660336538
