Date,MSCI ACWI ex HONG KONG
2006-08,1416.1939199499284
2006-09,1433.1085476533594
2006-10,1487.3437811437916
2006-11,1529.810657454131
2006-12,1563.867889169084
2007-01,1579.6942802114804
2007-02,1572.2548003764998
2007-03,1604.510795828884
2007-04,1676.8992791100184
2007-05,1728.4578433980407
2007-06,1723.7782596594345
2007-07,1696.7343322978431
2007-08,1692.6581868691194
2007-09,1782.6491297987168
2007-10,1851.3895558309096
2007-11,1770.1537714486828
2007-12,1750.791625179858
2008-01,1608.4450540710354
2008-02,1614.1708801687496
2008-03,1591.9653941531424
2008-04,1681.5609058182322
2008-05,1710.1163284503953
2008-06,1570.6752121422141
2008-07,1530.222178345257
2008-08,1498.3698767721846
2008-09,1312.3619212801805
2008-10,1052.8088892940957
2008-11,983.8099145189999
2008-12,1019.9485206695329
2009-01,932.3302702402602
2009-02,841.1950574887246
2009-03,911.2976309647554
2009-04,1019.28120266378
2009-05,1121.2609100110062
2009-06,1115.549985375003
2009-07,1213.58363769513
2009-08,1258.8674756065882
2009-09,1316.5950105397321
2009-10,1295.9698809110007
2009-11,1350.5593072703039
2009-12,1378.9299840367555
2010-01,1319.9115909934137
2010-02,1336.8898025106396
2010-03,1423.6764723591266
2010-04,1427.1743556264241
2010-05,1292.724012152278
2010-06,1252.6001424095973
2010-07,1355.219048724541
2010-08,1307.7769293908589
2010-09,1432.7515388962825
2010-10,1485.0429749186835
2010-11,1451.972936587315
2010-12,1559.906139826047
2011-01,1584.7236964691504
2011-02,1632.6431730615816
2011-03,1631.457828108896
2011-04,1699.4388606395767
2011-05,1664.0216726092056
2011-06,1638.8759051487814
2011-07,1612.0840802423384
2011-08,1494.7724423589473
2011-09,1355.373156609261
2011-10,1500.6891069686276
2011-11,1457.217799289662
2011-12,1454.45892928621
2012-01,1538.890166442419
2012-02,1616.5101809938576
2012-03,1628.9910607840877
2012-04,1611.088590535015
2012-05,1468.2313889824143
2012-06,1541.553723126961
2012-07,1562.816177347736
2012-08,1597.8321305996776
2012-09,1648.0104922506505
2012-10,1637.0547716460503
2012-11,1658.421497183561
2012-12,1697.0730992278848
2013-01,1775.4996639729318
2013-02,1776.1638945089749
2013-03,1810.2337214361075
2013-04,1863.23519366928
2013-05,1860.0218545044797
2013-06,1806.9462760922238
2013-07,1894.1625510650952
2013-08,1855.3310105518867
2013-09,1951.7373294987074
2013-10,2031.0534270032974
2013-11,2060.7534561201537
2013-12,2097.3762715336343
2014-01,2014.311803672744
2014-02,2112.66240028796
2014-03,2123.78442496476
2014-04,2144.7759417687494
2014-05,2191.688727980855
2014-06,2234.1893684019
2014-07,2206.0701283232484
2014-08,2256.494959582275
2014-09,2185.198961571236
2014-10,2199.708591550041
2014-11,2237.6920194457193
2014-12,2195.9885163971026
2015-01,2160.4949539939817
2015-02,2283.260090222199
2015-03,2248.6554412920523
2015-04,2313.471200888896
2015-05,2312.3675027238514
2015-06,2259.0760442618616
2015-07,2280.1797174980015
2015-08,2126.3273390410545
2015-09,2049.9197518552783
2015-10,2211.201867248829
2015-11,2194.4775251935625
2015-12,2155.2347394057783
2016-01,2026.5250925564374
2016-02,2013.607315646807
2016-03,2163.7104233806403
2016-04,2197.0706371748915
2016-05,2201.9695152709915
2016-06,2189.455363477889
2016-07,2283.8714085970814
2016-08,2292.489046511319
2016-09,2306.752625937984
2016-10,2268.0084195172267
2016-11,2287.010427808823
2016-12,2339.6071014009676
2017-01,2402.842052046932
2017-02,2471.5407758117362
2017-03,2502.891455582259
2017-04,2542.627584
2017-05,2600.718272
2017-06,2613.581387
2017-07,2687.305215
2017-08,2698.511191
2017-09,2752.399591
2017-10,2810.734932
2017-11,2865.987765
2017-12,2912.797108
2018-01,3078.081953
2018-02,2949.656531
2018-03,2888.47454
2018-04,2916.900218622395
2018-05,2922.9277324291606
2018-06,2909.825457501926
2018-07,2999.002303458448
2018-08,3024.9747621534325
2018-09,3039.624644300182
2018-10,2813.721203087547
2018-11,2854.4705865140404
2018-12,2652.305509
2019-01,2862.6008583884463
2019-02,2939.376691438486
2019-03,2978.1679657918003
2019-04,3081.1620256271754
2019-05,2901.2660156376655
2019-06,3092.4483418366117
2019-07,3103.9384868663224
2019-08,3033.8704225445777
2019-09,3100.032273826566
2019-10,3185.029513756762
2019-11,3265.4986463729424
2019-12,3381.706834613187
2020-01,3346.3820746420633
2020-02,3075.1775721574695
2020-03,2661.4836745910943
2020-04,2948.9479350346924
2020-05,3082.925241155698
2020-06,3180.6301616189066
2020-07,3351.9538449848073
2020-08,3557.861443778516
2020-09,3445.096148318908
2020-10,3361.806926456505
2020-11,3777.7994015756312
2020-12,3954.4621431086516
2021-01,3936.591768571526
2021-02,4028.1155108831917
2021-03,4138.689036624829
2021-04,4321.846378609564
2021-05,4391.5388884090125
2021-06,4452.065001
2021-07,4485.37155522114
2021-08,4600.1989844492455
2021-09,4412.853045745879
2021-10,4640.513744655191
2021-11,4531.181718
2021-12,4715.002962431878
2022-01,4482.4198950707105
2022-02,4368.074963738465
2022-03,4465.965982721926
2022-04,4109.232631807064
2022-05,4116.174412523099
2022-06,3767.9380890355064
2022-07,4035.7013050128835
2022-08,3888.6622832402504
2022-09,3518.3737948596563
2022-10,3736.250788463732
2022-11,4024.0209002058937
2022-12,3863.9571516507676
2023-01,4142.898767934572
2023-02,4026.9406555678543
2023-03,4154.456338391893
2023-04,4216.406969158963
2023-05,4176.5078703288655
2023-06,4421.487322822126
