Date,MSCI WORLD ex UK
2002-03,2617.8705488085825
2002-04,2518.7360932975066
2002-05,2530.2527971041263
2002-06,2371.5034246090017
2002-07,2166.787398261316
2002-08,2174.832571680536
2002-09,1934.4061122472226
2002-10,2076.43443721189
2002-11,2195.2960584466646
2002-12,2081.972513231776
2003-01,2029.9596891854535
2003-02,1994.952098499844
2003-03,1989.0403722847254
2003-04,2163.0437280845226
2003-05,2286.703342198985
2003-06,2329.6936735563727
2003-07,2381.4923689916395
2003-08,2441.651500170051
2003-09,2448.9570460883724
2003-10,2592.3235627042754
2003-11,2627.9827199020083
2003-12,2789.686240573865
2004-01,2841.692585721345
2004-02,2880.48992923703
2004-03,2868.6149504178493
2004-04,2807.0299808020586
2004-05,2830.4323965839794
2004-06,2896.8602777000933
2004-07,2795.377403789505
2004-08,2808.4576826674697
2004-09,2858.1220042790087
2004-10,2928.877544083265
2004-11,3079.8548722237288
2004-12,3200.6582995546064
2005-01,3123.158520641004
2005-02,3217.014457563602
2005-03,3158.94123847819
2005-04,3088.0955299073853
2005-05,3156.407925594926
2005-06,3182.5144819587995
2005-07,3302.521398828569
2005-08,3319.7860499501653
2005-09,3410.6266164192407
2005-10,3331.329821276685
2005-11,3456.4781943822927
2005-12,3531.236714643229
2006-01,3683.249954879031
2006-02,3681.7900088491233
2006-03,3761.571270446306
2006-04,3864.643195503266
2006-05,3729.2279060634214
2006-06,3725.03295737642
2006-07,3741.2836555071194
2006-08,3841.3276741444365
2006-09,3896.6784311189713
2006-10,4034.1227477032417
2006-11,4135.298697717821
2006-12,4217.964413036872
2007-01,4275.912008111291
2007-02,4253.576548364801
2007-03,4325.548866164639
2007-04,4519.080411818231
2007-05,4656.881156734333
2007-06,4610.878194772634
2007-07,4511.505295777172
2007-08,4514.623835454251
2007-09,4737.388426677781
2007-10,4866.732703857698
2007-11,4678.233042764621
2007-12,4627.512515060128
2008-01,4282.260337388211
2008-02,4254.697671828727
2008-03,4222.281760858264
2008-04,4441.955708539264
2008-05,4526.969006707212
2008-06,4158.808082224785
2008-07,4066.47284411846
2008-08,4019.905842604489
2008-09,3557.0769759295877
2008-10,2883.583444001081
2008-11,2698.9909437053702
2008-12,2804.956951109204
2009-01,2552.8510172543697
2009-02,2287.980521119768
2009-03,2471.314677608473
2009-04,2747.734520614594
2009-05,2986.6154532684413
2009-06,2977.2271681877364
2009-07,3227.8026890043598
2009-08,3357.545192531488
2009-09,3497.0975810943823
2009-10,3423.9348118677276
2009-11,3570.3792078730053
2009-12,3632.423440266779
2010-01,3485.85490236493
2010-02,3547.6269325941657
2010-03,3770.384451972181
2010-04,3777.8109921381015
2010-05,3425.029655412776
2010-06,3304.747077848382
2010-07,3559.59769750143
2010-08,3421.448838535224
2010-09,3743.293298512981
2010-10,3882.843936544882
2010-11,3812.9059557806145
2010-12,4094.861939316508
2011-01,4189.690527648076
2011-02,4334.758078063887
2011-03,4300.964368058273
2011-04,4473.826022786534
2011-05,4386.51368934329
2011-06,4325.128928315976
2011-07,4239.321984889283
2011-08,3943.784210669383
2011-09,3605.514449617495
2011-10,3972.9618549201537
2011-11,3879.5920112568574
2011-12,3878.5129812917935
2012-01,4080.7024818069694
2012-02,4281.04348209309
2012-03,4350.04102824928
2012-04,4293.0396057188555
2012-05,3939.9497878463617
2012-06,4134.735582324848
2012-07,4189.6678375935
2012-08,4294.477872928961
2012-09,4416.351674321818
2012-10,4381.807921001107
2012-11,4439.839367203485
2012-12,4525.104961407956
2013-01,4763.054132655228
2013-02,4786.82011459846
2013-03,4907.2911363270305
2013-04,5066.00744850092
2013-05,5072.3872118033305
2013-06,4963.572500487668
2013-07,5220.061979862634
2013-08,5102.608260193717
2013-09,5357.068225672296
2013-10,5570.406391169345
2013-11,5676.530939577428
2013-12,5795.481871073949
2014-01,5585.692609545154
2014-02,5857.276250998871
2014-03,5888.553327592799
2014-04,5932.852668142255
2014-05,6062.423249692781
2014-06,6180.527704102317
2014-07,6081.5514614350095
2014-08,6228.941544343564
2014-09,6077.3231643417375
2014-10,6134.8623581064085
2014-11,6267.57799077245
2014-12,6175.223147168514
2015-01,6060.657373565092
2015-02,6416.799074093076
2015-03,6344.771844254639
2015-04,6473.045486544184
2015-05,6503.853210645387
2015-06,6362.479802915784
2015-07,6479.319565324164
2015-08,6057.891395483816
2015-09,5841.32626556281
2015-10,6309.180936547675
2015-11,6290.426601104298
2015-12,6193.758382690511
2016-01,5825.141845057578
2016-02,5786.096646384664
2016-03,6192.2279636614785
2016-04,6285.403717083727
2016-05,6332.079537481365
2016-06,6276.75715573088
2016-07,6550.818486731274
2016-08,6559.355312495884
2016-09,6594.848601740243
2016-10,6484.537420890252
2016-11,6586.570039037119
2016-12,6738.699202828129
2017-01,6908.405186657488
2017-02,7107.366175878597
2017-03,7185.526970735321
2017-04,7292.71435
2017-05,7441.609364
2017-06,7485.716443
2017-07,7666.307115
2017-08,7686.1151
2017-09,7856.037594
2017-10,8013.825498
2017-11,8203.416197
2017-12,8296.839453
2018-01,8750.067609
2018-02,8405.015161
2018-03,8217.262825
2018-04,8296.378476722244
2018-05,8365.388238063708
2018-06,8369.988100867447
2018-07,8646.649852157854
2018-08,8789.379336303273
2018-09,8835.511465181156
2018-10,8185.565499878415
2018-11,8297.747131523543
2018-12,7650.251830665348
2019-01,8251.574084574448
2019-02,8502.047756530063
2019-03,8621.180445190017
2019-04,8939.036794249188
2019-05,8432.99491119925
2019-06,9000.702044920137
2019-07,9060.394210162902
2019-08,8893.60548215771
2019-09,9077.06014257223
2019-10,9309.35752970738
2019-11,9579.020505706736
2019-12,9858.144159759695
2020-01,9819.27477723464
2020-02,9012.82446153112
2020-03,7839.412715832256
2020-04,8723.845144532575
2020-05,9167.438474552931
2020-06,9419.145516903825
2020-07,9887.72814689652
2020-08,10566.16781781288
2020-09,10212.873158575048
2020-10,9910.847861423561
2020-11,11166.185923832765
2020-12,11637.586127082614
2021-01,11520.847916988729
2021-02,11814.659541444831
2021-03,12217.912856739973
2021-04,12793.838027088936
2021-05,12971.063449185793
2021-06,13191.948499
2021-07,13436.56428077292
2021-08,13784.91067240328
2021-09,13206.343586802624
2021-10,13967.586308347463
2021-11,13685.253591016057
2021-12,14257.458461350798
2022-01,13468.496187011766
2022-02,13112.853789454972
2022-03,13496.66427924876
2022-04,12353.921544545196
2022-05,12363.866710820625
2022-06,11297.240149514117
2022-07,12219.53580154129
2022-08,11721.542225248388
2022-09,10634.610658753914
2022-10,11406.62416500383
2022-11,12186.924660782384
2022-12,11653.684565592159
2023-01,12484.532134446354
2023-02,12174.514868196326
2023-03,12580.807726996769
2023-04,12788.206672150201
2023-05,12703.280263614333
2023-06,13488.54912278
