Date,MSCI AC FAR EAST ex JAPAN ex HK
2006-01,395.7171014307191
2006-02,394.4830322128618
2006-03,398.5818893641582
2006-04,428.25818474099395
2006-05,398.57711219955877
2006-06,395.59124343430955
2006-07,395.13882474118543
2006-08,406.51490262852707
2006-09,420.42555099555375
2006-10,432.0518928803077
2006-11,468.1946823530852
2006-12,487.3572383257551
2007-01,477.04325665771444
2007-02,483.92740980902187
2007-03,495.3172709441775
2007-04,514.7254003063084
2007-05,547.2662054008686
2007-06,581.1735422132471
2007-07,624.6897500139344
2007-08,616.5726276347033
2007-09,685.3238043023979
2007-10,752.6342059439088
2007-11,675.3392929897745
2007-12,663.8965169263938
2008-01,569.840273934403
2008-02,619.6695840401676
2008-03,587.8511765452013
2008-04,633.557256560773
2008-05,616.2133860052722
2008-06,547.8206287495826
2008-07,539.4087690758412
2008-08,497.18663245862354
2008-09,416.7449324460071
2008-10,316.8263255562362
2008-11,297.01902428359153
2008-12,330.37627227761277
2009-01,307.9785651538344
2009-02,288.54480235856175
2009-03,333.94003816438925
2009-04,388.79885504949164
2009-05,440.68845583627274
2009-06,440.58394276503753
2009-07,500.3606484820452
2009-08,485.7388595761284
2009-09,527.7378116460434
2009-10,525.0470356851505
2009-11,538.1886811300961
2009-12,563.9841611336641
2010-01,529.906640839217
2010-02,529.6173080153537
2010-03,567.7645976777156
2010-04,583.2691825933038
2010-05,532.6362137765518
2010-06,538.8131720662888
2010-07,574.6954023463202
2010-08,566.9498415179369
2010-09,625.1181535178534
2010-10,642.8770265356112
2010-11,635.1791207253125
2010-12,673.2160572888947
2011-01,675.9977762549189
2011-02,647.6002275072171
2011-03,689.2191306470721
2011-04,721.1352690644973
2011-05,712.3500691656797
2011-06,694.1674793206862
2011-07,705.175214536125
2011-08,634.1821093371955
2011-09,548.5319527174465
2011-10,616.498177842857
2011-11,570.4470949667739
2011-12,577.0219784332445
2012-01,634.0059882771346
2012-02,670.7757820776976
2012-03,652.8436098935355
2012-04,655.968681962394
2012-05,594.9313473607376
2012-06,609.2208075904908
2012-07,627.0030755717805
2012-08,621.8345360562288
2012-09,659.702873460811
2012-10,658.9633593301428
2012-11,675.4369796188882
2012-12,701.4080180618921
2013-01,706.1747409712802
2013-02,712.1204599037632
2013-03,696.0365266562088
2013-04,705.5704667330069
2013-05,698.6116562104411
2013-06,659.4248025965994
2013-07,672.8939445432984
2013-08,669.2691724408901
2013-09,702.9343149167061
2013-10,732.2346071318677
2013-11,735.0053075365659
2013-12,722.4005643643183
2014-01,686.2393654304761
2014-02,708.8185491849092
2014-03,714.1609568353704
2014-04,718.7202609062201
2014-05,742.8030904860846
2014-06,761.0520672529409
2014-07,789.7894990377446
2014-08,796.0213344644171
2014-09,747.3192088135381
2014-10,754.593690532741
2014-11,755.3137036291132
2014-12,745.7766166770342
2015-01,756.4407815454173
2015-02,773.8195447786771
2015-03,780.7185465641141
2015-04,847.144883493218
2015-05,817.7471489400775
2015-06,783.327603771958
2015-07,720.7760631659684
2015-08,653.0982061058779
2015-09,640.2678453088798
2015-10,696.2037144896468
2015-11,673.6474684582129
2015-12,667.0971803037112
2016-01,617.3154289650391
2016-02,616.0085483004405
2016-03,685.3950442948529
2016-04,676.0922798025385
2016-05,663.9476221609015
2016-06,685.5577116584207
2016-07,716.3151182012555
2016-08,745.4483450102919
2016-09,757.9391966197463
2016-10,745.0391680257821
2016-11,726.4769145535452
2016-12,715.4503912872657
2017-01,759.8366230782198
2017-02,784.831393415139
2017-03,807.9618956251469
2017-04,824.710174
2017-05,864.859074
2017-06,883.42324
2017-07,931.166347
2017-08,946.287328
2017-09,949.986269
2017-10,997.89608
2017-11,1002.103808
2017-12,1026.935228
2018-01,1114.493137
2018-02,1058.680503
2018-03,1047.187367
2018-04,1046.726710396283
2018-05,1033.2402338462027
2018-06,979.9833898375197
2018-07,981.2190872706101
2018-08,970.7651988944145
2018-09,966.0720388392775
2018-10,857.0229408804959
2018-11,894.6100406549314
2018-12,864.3577708597093
2019-01,938.066829609017
2019-02,954.8791372043206
2019-03,963.1328127565466
2019-04,984.3950901204878
2019-05,886.2943765898679
2019-06,953.7315343244267
2019-07,944.4452912271416
2019-08,907.0876232098667
2019-09,923.7391143534946
2019-10,965.7994503688827
2019-11,971.4167866780155
2019-12,1046.7218650062678
2020-01,995.2691719589736
2020-02,970.791254633375
2020-03,870.2557121056146
2020-04,943.4113166768292
2020-05,942.3613575908236
2020-06,1020.8927853851845
2020-07,1116.3414812474405
2020-08,1151.7130346520446
2020-09,1136.216929624548
2020-10,1174.3793131921395
2020-11,1264.6733745539334
2020-12,1348.0157922527876
2021-01,1417.0642032554044
2021-02,1423.7031250376285
2021-03,1375.3309661253154
2021-04,1414.9979097444777
2021-05,1418.6356940131527
2021-06,1420.8703233757449
2021-07,1292.6587875165294
2021-08,1309.12526246301
2021-09,1246.7106240183407
2021-10,1268.4319690894122
2021-11,1219.249544
2021-12,1232.3226997131464
2022-01,1185.8436592495982
2022-02,1162.2842309933942
2022-03,1114.3290622691245
2022-04,1049.1565221996646
2022-05,1065.0434844217516
2022-06,1017.0105410488898
2022-07,988.6729866816879
2022-08,983.9789509362668
2022-09,843.417351870541
2022-10,779.998051501093
2022-11,950.0097472565209
2022-12,952.826092547753
2023-01,1058.2637880365921
2023-02,981.9488853435575
2023-03,1022.9701133226806
2023-04,987.3840470120151
2023-05,966.4655989576295
2023-06,989.0680511906625
