Date,MSCI ACWI ex POLAND
2018-03,2904.322577
2018-04,2933.6834897068647
2018-05,2940.356304547624
2018-06,2925.6708430051117
2018-07,3014.5394211877247
2018-08,3039.5770678707677
2018-09,3054.1140958971637
2018-10,2826.018118656906
2018-11,2868.4601875747626
2018-12,2667.297798
2019-01,2878.8323141687906
2019-02,2957.405843484793
2019-03,2996.575415634669
2019-04,3099.425874449656
2019-05,2918.0852172036152
2019-06,3110.520821671533
2019-07,3120.890598430382
2019-08,3048.527461239691
2019-09,3114.1126188595476
2019-10,3200.031437778928
2019-11,3279.7759669218053
2019-12,3396.6686772659423
2020-01,3360.1792968784025
2020-02,3090.344250654685
2020-03,2675.200251718306
2020-04,2963.171717725942
2020-05,3093.738891186242
2020-06,3193.9641549750904
2020-07,3364.1271688507654
2020-08,3571.3606850984793
2020-09,3457.760922019759
2020-10,3374.9451103490105
2020-11,3791.777120225011
2020-12,3969.1051640143496
2021-01,3952.051421665341
2021-02,4044.946550060789
2021-03,4155.3504750743505
2021-04,4338.578332097816
2021-05,4407.976228248772
2021-06,4467.762017
2021-07,4499.815108886134
2021-08,4613.720890150304
2021-09,4425.145700389687
2021-10,4652.189804712602
2021-11,4541.965299
2021-12,4725.026134585107
2022-01,4493.780012459374
2022-02,4379.42774790868
2022-03,4476.749794833384
2022-04,4120.5017999972115
2022-05,4128.160118860954
2022-06,3782.004933898853
2022-07,4047.6345008535623
2022-08,3900.4552172706058
2022-09,3528.7945201272487
2022-10,3742.4435029843007
2022-11,4034.171989062847
2022-12,3876.6971583263003
2023-01,4155.562115972527
2023-02,4037.9763227312746
2023-03,4165.474329015934
2023-04,4226.942780829124
2023-05,4184.790155913342
2023-06,4429.326756450987
