Date,MSCI EFM AFRICA
2019-02,1135.4352958086652
2019-03,1118.2030595375884
2019-04,1202.3865328131692
2019-05,1122.051766578506
2019-06,1188.9670422262939
2019-07,1156.9683487646164
2019-08,1066.3148149308822
2019-09,1056.5291428348996
2019-10,1089.0112535885607
2019-11,1090.880519540435
2019-12,1190.7774379023322
2020-01,1099.6649807360195
2020-02,966.716740459575
2020-03,727.2950102875681
2020-04,816.3034285039697
2020-05,834.4102148649292
2020-06,911.6143065436145
2020-07,959.8229894972086
2020-08,955.5396624783824
2020-09,947.9501263471175
2020-10,955.2798667666093
2020-11,1052.3068449118953
2020-12,1148.539916422638
2021-01,1179.6276537248434
2021-02,1209.2653062796603
2021-03,1274.049471899096
2021-04,1277.8475371959762
2021-05,1362.7766853690252
2021-06,1265.6136051417946
2021-07,1248.892407491211
2021-08,1259.6090033185187
2021-09,1207.9479353419592
2021-10,1212.4733959751527
2021-11,1157.5581377502476
2021-12,1204.8174214460682
2022-01,1276.3614914623813
2022-02,1324.4664291573174
2022-03,1411.5124425195731
2022-04,1248.5126684606937
2022-05,1253.846603426454
2022-06,1102.9100684972445
2022-07,1106.1217624540425
2022-08,1065.464036351181
2022-09,976.7227772188991
2022-10,1001.3526273261929
2022-11,1184.0770296475894
2022-12,1142.923331970964
2023-01,1190.6878689823307
2023-02,1106.4677176324296
2023-03,1135.5280987778008
2023-04,1147.1004959760464
2023-05,1005.2041556314543
2023-06,1087.5535253018315
