Date,MSCI ACWI ex ISRAEL
2016-01,2032.9912173138828
2016-02,2020.2312777868347
2016-03,2171.735787022211
2016-04,2205.0244775062392
2016-05,2209.9254431185373
2016-06,2197.763081701032
2016-07,2293.0608015853345
2016-08,2302.1158152236794
2016-09,2317.4827564896373
2016-10,2278.9884290470045
2016-11,2297.7002813544573
2016-12,2348.371388876565
2017-01,2413.1851423188846
2017-02,2481.882921776568
2017-03,2513.943303472808
2017-04,2554.340795
2017-05,2613.162553
2017-06,2625.78728
2017-07,2700.406245
2017-08,2712.931003
2017-09,2766.271785
2017-10,2824.569567
2017-11,2880.683539
2017-12,2927.800718
2018-01,3093.648517
2018-02,2964.908795
2018-03,2903.368852
2018-04,2932.737562674831
2018-05,2938.618273127101
2018-06,2923.7349827328076
2018-07,3012.8048612723733
